episode_id,timesteps,policy_update,rollout_step,mode,map_set,opponent,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,near_misses_per_episode,time_to_first_score,mean_inter_robot_dist
65,1368,0,171,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.23999999463558197,1,0,3,11.0,10.144043816460503
66,1392,0,174,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,17,0.20000000298023224,1,0,2,11.0,10.937252269071692
67,1408,0,176,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,16,0.3199999928474426,1,0,0,11.0,11.089130401611328
68,1408,0,176,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,17,0.20000000298023224,1,0,0,12.0,11.023280424230238
69,1416,0,177,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.1599999964237213,1,0,3,11.0,10.111841837565104
70,1464,0,183,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.3199999928474426,1,0,2,12.0,9.94268798828125
71,1472,0,184,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.36000001430511475,1,0,0,12.0,10.027009662828947
72,1472,0,184,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.2800000011920929,1,0,4,12.0,9.50427888569079
73,1536,0,192,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,21,0.20000000298023224,1,0,4,14.0,10.242626371837797
74,1536,0,192,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.2800000011920929,1,0,3,11.0,10.477428012424046
75,1552,0,194,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.20000000298023224,1,0,0,11.0,11.315134684244791
76,1552,0,194,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,18,0.3199999928474426,1,0,0,11.0,8.97450680202908
77,1568,0,196,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.20000000298023224,1,0,6,11.0,10.228138973838405
78,1616,0,202,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.20000000298023224,1,0,4,12.0,10.482153150770399
79,1616,0,202,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.2800000011920929,1,0,2,11.0,9.133550543534128
80,1648,0,206,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,22,0.3199999928474426,1,0,2,12.0,9.03973319313743
81,1680,0,210,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.2800000011920929,1,0,0,11.0,10.449499342176649
82,1680,0,210,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.20000000298023224,1,0,1,11.0,10.970814175075954
83,1696,0,212,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.2800000011920929,1,0,3,11.0,9.752339680989584
84,1704,0,213,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.2800000011920929,1,0,4,12.0,10.452666433233963
85,1712,0,214,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.4000000059604645,1,0,2,11.0,10.619745890299479
86,1760,0,220,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.1599999964237213,1,0,3,11.0,11.507575988769531
87,1776,0,222,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,20,0.1599999964237213,1,0,0,14.0,11.154456329345702
88,1800,0,225,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.1599999964237213,1,0,0,12.0,10.376823023745889
89,1824,0,228,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.3199999928474426,1,0,8,11.0,8.809283786349827
90,1832,0,229,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.2800000011920929,1,0,0,12.0,10.647835179379111
91,1856,0,232,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.2800000011920929,1,0,2,11.0,9.939702084189967
92,1856,0,232,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,20,0.23999999463558197,1,0,1,14.0,10.501435089111329
93,1872,0,234,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,20,0.3199999928474426,1,0,3,11.0,9.643867492675781
94,1904,0,238,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.3199999928474426,1,0,3,11.0,10.138985527886284
95,1920,0,240,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.2800000011920929,1,0,1,11.0,10.411681281195747
96,1944,0,243,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.20000000298023224,1,0,4,11.0,11.110891554090712
97,1968,0,246,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.23999999463558197,1,0,2,11.0,10.89804416232639
98,1976,0,247,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.23999999463558197,1,0,2,11.0,11.252190483940971
99,2000,0,250,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.20000000298023224,1,0,1,11.0,9.719495137532553
100,2008,0,251,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,17,0.1599999964237213,1,0,3,11.0,9.737056058995863
101,2016,0,252,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,20,0.36000001430511475,1,0,4,13.0,9.427230072021484
102,2064,1,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,18,0.20000000298023224,1,0,2,12.0,8.357595655653212
103,2072,1,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,21,0.20000000298023224,1,0,1,14.0,10.517222086588541
104,2096,1,6,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.3199999928474426,1,0,1,12.0,10.060595863743833
105,2128,1,10,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,20,0.2800000011920929,1,0,2,12.0,10.689504241943359
106,2144,1,12,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,21,0.20000000298023224,1,0,0,14.0,10.167390369233631
107,2152,1,13,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.36000001430511475,1,0,4,12.0,10.463478489925986
108,2152,1,13,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.20000000298023224,1,0,0,11.0,11.41416507297092
109,2168,1,15,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.20000000298023224,1,0,2,12.0,10.342091610557155
110,2208,1,20,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.20000000298023224,1,0,6,11.0,10.368867662217882
111,2216,1,21,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.23999999463558197,1,0,1,11.0,10.905206468370226
112,2240,1,24,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.23999999463558197,1,0,2,11.0,11.913691202799479
113,2272,1,28,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,15,0.23999999463558197,1,0,0,11.0,12.794488525390625
114,2280,1,29,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.23999999463558197,0,1,8,12.0,9.343476144891037
115,2288,1,30,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.1599999964237213,1,0,0,12.0,12.292908562554253
116,2304,1,32,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.20000000298023224,1,0,0,12.0,11.07965730365954
117,2312,1,33,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.23999999463558197,1,0,6,11.0,9.346516927083334
118,2352,1,38,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.23999999463558197,1,0,7,11.0,10.275572035047743
119,2368,1,40,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.11999999731779099,1,0,1,12.0,10.438792981599507
120,2384,1,42,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.20000000298023224,1,0,4,11.0,10.013406541612413
121,2424,1,47,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,15,0.23999999463558197,1,0,1,11.0,12.930995686848958
122,2432,1,48,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.1599999964237213,1,0,0,12.0,13.599728232935854
123,2432,1,48,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,20,0.20000000298023224,1,0,2,11.0,10.402552795410156
124,2464,1,52,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.20000000298023224,1,0,3,12.0,9.282752589175576
125,2464,1,52,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,22,0.11999999731779099,0,1,6,12.0,9.744662198153408
126,2496,1,56,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,18,0.3199999928474426,1,0,3,11.0,9.358085632324219
127,2520,1,59,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,17,0.11999999731779099,1,0,1,13.0,11.982989142922793
128,2536,1,61,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,21,0.36000001430511475,1,0,1,13.0,11.419725690569196
129,2560,1,64,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,17,0.2800000011920929,1,0,1,11.0,9.587898703182445
130,2576,1,66,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.20000000298023224,1,0,0,11.0,10.496197170681423
131,2584,1,67,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.2800000011920929,1,0,1,12.0,9.546699925472861
132,2600,1,69,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,17,0.4000000059604645,1,0,0,11.0,10.109273573931526
133,2632,1,73,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,21,0.2800000011920929,1,0,0,14.0,11.131227765764509
134,2648,1,75,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.20000000298023224,1,0,5,11.0,9.633593910618833
135,2672,1,78,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,4,12.0,10.36886195132607
136,2688,1,80,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.2800000011920929,1,0,0,12.0,11.768515335886102
137,2696,1,81,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,15,0.20000000298023224,1,0,0,11.0,11.036365763346355
138,2712,1,83,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,3,12.0,10.501590929533306
139,2720,1,84,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,15,0.23999999463558197,1,0,0,11.0,11.268360392252605
140,2736,1,86,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,2,12.0,10.262906526264391
141,2784,1,92,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.20000000298023224,1,0,3,12.0,9.348369397615132
142,2800,1,94,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.1599999964237213,1,0,2,12.0,10.261893021432977
143,2824,1,97,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.2800000011920929,1,0,3,12.0,9.459968165347451
144,2840,1,99,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.3199999928474426,1,0,4,12.0,10.456656205026727
145,2848,1,100,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.3199999928474426,1,0,2,11.0,9.830183330335116
146,2864,1,102,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.20000000298023224,1,0,4,12.0,9.329104774876646
147,2880,1,104,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,20,0.23999999463558197,1,0,5,12.0,9.789069366455077
148,2880,1,104,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.1599999964237213,1,0,4,11.0,11.310078938802084
149,2904,1,107,FIXED_OPPONENT,train,SCRIPTED:OP3,0,1,3,-2,15,0.23999999463558197,1,0,1,11.0,10.089103190104167
150,2952,1,113,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.1599999964237213,1,0,1,12.0,11.182249370374178
151,2968,1,115,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.3199999928474426,1,0,0,11.0,11.882227579752604
152,2992,1,118,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.3199999928474426,1,0,2,12.0,10.469810084292764
153,3000,1,119,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.23999999463558197,1,0,1,12.0,10.507997211657072
154,3024,1,122,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,20,0.20000000298023224,0,1,3,13.0,10.080935668945312
155,3024,1,122,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.20000000298023224,1,0,5,11.0,8.69669935438368
156,3032,1,123,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.3199999928474426,1,0,2,12.0,10.243257221422697
157,3056,1,126,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.20000000298023224,1,0,0,12.0,10.549407958984375
158,3104,1,132,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.20000000298023224,1,0,2,12.0,9.586365549187912
159,3120,1,134,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.20000000298023224,1,0,4,12.0,10.658337241724917
160,3136,1,136,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.23999999463558197,1,0,1,11.0,10.279774136013454
161,3136,1,136,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.23999999463558197,1,0,0,11.0,11.775353824391084
162,3168,1,140,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,17,0.20000000298023224,1,0,3,13.0,11.225793277516084
163,3176,1,141,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.23999999463558197,1,0,2,12.0,9.748999344675164
164,3192,1,143,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,21,0.23999999463558197,1,0,4,14.0,10.835316249302455
165,3200,1,144,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.1599999964237213,1,0,1,11.0,9.750226338704428
166,3272,1,153,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,17,0.23999999463558197,1,0,2,11.0,9.599541159237132
167,3272,1,153,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,17,0.20000000298023224,1,0,0,11.0,11.268236945657168
168,3272,1,153,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,21,0.23999999463558197,1,0,3,13.0,11.560929797944569
169,3288,1,155,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,21,0.1599999964237213,1,0,6,13.0,10.316505068824405
170,3312,1,158,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.1599999964237213,1,0,4,11.0,11.022682189941406
171,3320,1,159,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.3199999928474426,1,0,2,11.0,10.227611965603298
172,3328,1,160,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.20000000298023224,1,0,0,11.0,11.815923354204964
173,3336,1,161,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,17,0.36000001430511475,1,0,1,11.0,9.908805398380055
174,3392,1,168,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,15,0.3199999928474426,1,0,0,11.0,10.249295043945313
175,3416,1,171,FIXED_OPPONENT,train,SCRIPTED:OP3,0,1,3,-2,18,0.2800000011920929,1,0,6,12.0,10.336170620388454
176,3424,1,172,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.1599999964237213,1,0,3,12.0,10.754412199321546
177,3440,1,174,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.23999999463558197,1,0,3,12.0,9.854249653063322
178,3456,1,176,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.36000001430511475,1,0,2,11.0,10.13623046875
179,3464,1,177,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,17,0.20000000298023224,1,0,4,11.0,9.243641572840074
180,3472,1,178,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,2,13.0,10.35440384714227
181,3488,1,180,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.2800000011920929,1,0,2,12.0,10.918110094572368
182,3536,1,186,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,18,0.2800000011920929,1,0,2,11.0,9.154520670572916
183,3568,1,190,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.1599999964237213,1,0,3,11.0,10.5358742161801
184,3584,1,192,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,20,0.20000000298023224,1,0,3,12.0,10.55828857421875
185,3584,1,192,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.4000000059604645,1,0,2,12.0,9.739229838053385
186,3600,1,194,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.1599999964237213,1,0,1,11.0,11.367577446831596
187,3600,1,194,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.1599999964237213,1,0,0,11.0,12.7455031451057
188,3608,1,195,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,17,0.2800000011920929,1,0,2,11.0,11.146985222311582
189,3632,1,198,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.23999999463558197,1,0,1,11.0,10.147682189941406
190,3688,1,205,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,5,12.0,10.668929250616776
191,3712,1,208,FIXED_OPPONENT,train,SCRIPTED:OP3,0,1,3,-2,16,0.2800000011920929,1,0,0,11.0,12.830643653869629
