update,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_total_mean,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,strategy_entropy,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_q_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_fraction,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_resample_fraction_rollout,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,strategy_kl,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,episode_z_0_count,episode_z_0_win_rate,episode_z_0_blue_score_mean,episode_z_0_red_score_mean,episode_z_0_win_margin_mean,episode_z_1_count,episode_z_1_win_rate,episode_z_1_blue_score_mean,episode_z_1_red_score_mean,episode_z_1_win_margin_mean,episode_z_2_count,episode_z_2_win_rate,episode_z_2_blue_score_mean,episode_z_2_red_score_mean,episode_z_2_win_margin_mean,episode_z_3_count,episode_z_3_win_rate,episode_z_3_blue_score_mean,episode_z_3_red_score_mean,episode_z_3_win_margin_mean,strategy_resample_adv_mean_z0,strategy_resample_adv_std_z0,strategy_resample_adv_n_z0,strategy_resample_adv_mean_z1,strategy_resample_adv_std_z1,strategy_resample_adv_n_z1,strategy_resample_adv_mean_z2,strategy_resample_adv_std_z2,strategy_resample_adv_n_z2,strategy_resample_adv_mean_z3,strategy_resample_adv_std_z3,strategy_resample_adv_n_z3
1,16384,879,447,303,129,0.5085324232081911,0.5,0.5,-0.010389395989477634,0.23115311563014984,-0.06637461483478546,0.522291898727417,879,447,303,129,0.5085324232081911,0.19795221843003413,2.63481228668942,2.4368600682593855,-0.004927635192871094,0.004852294921875,0.01090087927877903,0.0013983012177050114,0.02762145921587944,0.0115966796875,1.15966796875,-0.07652588188648224,-0.010389395989477634,-0.017430378851713613,0.935978182281057,0.8426289558410645,0.04911285266280174,0.8701530694961548,0.9346119165420532,1.0006412267684937,1.0974161624908447,-0.06637461442966697,0.5222918983828332,16384.0001,2.9829498007893562,0.007075441322740517,0.061614990234375,0.25261984175692004,0.00045904,1.3673508763313293,-0.017354987932304975,0.013447443833570105,0.10224927771681298,0.14770129990484393,0.0,0.0,0.01894681423921914,0.05413818359375,4.0,2.0,0.0,0.0,0.05413818359375,,,,,0.0,0.229248046875,0.2386474609375,0.28021240234375,0.25189208984375,203,0.46798029556650245,2.600985221674877,2.502463054187192,0.09852216748768473,208,0.4951923076923077,2.6201923076923075,2.480769230769231,0.13942307692307693,246,0.532520325203252,2.6747967479674797,2.394308943089431,0.2804878048780488,222,0.5315315315315315,2.635135135135135,2.3828828828828827,0.25225225225225223,-0.28843003511428833,0.6041090488433838,205.0,-0.22524306178092957,0.5959907174110413,211.0,-0.08673959970474243,0.574873149394989,248.0,-0.17069731652736664,0.6221632361412048,223.0
2,32768,1763,909,583,271,0.5155984117980714,0.6,0.605,-0.008665148168802261,0.2320624589920044,0.16707557439804077,0.5299708843231201,884,462,280,142,0.5226244343891403,0.2251131221719457,2.664027149321267,2.4389140271493215,-0.028305888175964355,0.00677490234375,0.012402343563735485,0.001263489481061697,0.028147216886281967,0.01483154296875,1.483154296875,-0.07521972060203552,-0.008665148168802261,-0.035434609616239524,0.9221858759036009,0.8287714719772339,0.050257254391908646,0.860751211643219,0.9139763116836548,0.9908273816108704,1.067244291305542,0.050350479627970166,0.5389375885682015,32768.000100000005,3.0143234400913634,0.014199320897968465,0.12858072916666666,0.37776909700070305,0.00041808000000000004,1.3416799073931815,-0.019961402906782607,0.012597256545297735,0.14794185534975995,0.13338997853041543,0.0,0.0,0.02134067648165356,0.05380073635057471,4.0,2.0,0.0,0.0,0.053955078125,,,,,0.0,0.15081787109375,0.20697021484375,0.35186767578125,0.29034423828125,134,0.5671641791044776,2.708955223880597,2.3955223880597014,0.31343283582089554,185,0.5459459459459459,2.675675675675676,2.4,0.2756756756756757,310,0.532258064516129,2.670967741935484,2.4161290322580644,0.25483870967741934,255,0.47058823529411764,2.623529411764706,2.5176470588235293,0.10588235294117647,0.47549325227737427,0.6282504200935364,133.0,0.45244884490966797,0.6648620963096619,183.0,0.4679115116596222,0.658654510974884,312.0,0.22448574006557465,0.580278754234314,256.0
3,49152,2648,1373,888,387,0.5185045317220544,0.58,0.505,-0.009707558900117874,0.23338855803012848,0.05517788231372833,0.5098151564598083,885,464,305,116,0.5242937853107345,0.21581920903954802,2.63954802259887,2.4237288135593222,0.007846415042877197,0.00616455078125,0.01118164137005806,0.0011153090745210648,0.028142552822828293,0.01214599609375,1.214599609375,-0.07562255859375,-0.009707558900117874,-0.03306895053807508,0.8939879106150733,0.8156956434249878,0.04639190435409546,0.8348139524459839,0.8906960487365723,0.9489163756370544,1.0152678489685059,0.05195961385328243,0.5294130278742983,49152.000100000005,2.9852702661796853,0.014990012329589162,0.1328667534722222,0.4241644290310365,0.00037712,1.3553267474527713,-0.012132119665641206,0.00641546622827936,0.007657834432191319,0.09174074845143104,0.0,0.0,0.021987649422414875,0.054036458333333336,4.0,2.0,0.0,0.0,0.05401611328125,,,,,0.0,0.17706298828125,0.2230224609375,0.39300537109375,0.2069091796875,157,0.4713375796178344,2.611464968152866,2.4585987261146496,0.15286624203821655,195,0.5435897435897435,2.651282051282051,2.4256410256410255,0.22564102564102564,350,0.5428571428571428,2.645714285714286,2.402857142857143,0.24285714285714285,183,0.5136612021857924,2.639344262295082,2.431693989071038,0.20765027322404372,-0.20413732528686523,0.6250424385070801,157.0,-0.10086115449666977,0.5351740121841431,196.0,-0.2511363923549652,0.6063632965087891,350.0,-0.049132369458675385,0.6575899720191956,182.0
4,65536,3536,1805,1231,500,0.5104638009049773,0.36,0.46,-0.011185036040842533,0.23247410356998444,-0.0451379269361496,0.5291662812232971,888,432,343,113,0.4864864864864865,0.12725225225225226,2.588963963963964,2.4617117117117115,0.016249477863311768,0.001983642578125,0.009796142578125,0.0011414443142712116,0.02864379808306694,0.01007080078125,1.007080078125,-0.07517089694738388,-0.011185036040842533,-0.03172444231922225,0.9511819676477082,0.8673226237297058,0.04163303226232529,0.9027037024497986,0.9484254121780396,0.9984654188156128,1.0630263090133667,0.0276852286929642,0.5310184484263121,65536.0001,2.987823413342846,0.015969351475716244,0.1348254145408163,0.4281050866963912,0.00033616,1.3722196549785382,-0.002228631376912168,0.00113879044301382,0.0,0.03976973436503189,0.0,0.0,0.01858695689588785,0.05442841198979592,4.0,2.0,0.0,0.0,0.05419921875,,,,,0.0,0.17022705078125,0.26629638671875,0.28961181640625,0.27386474609375,151,0.5231788079470199,2.6821192052980134,2.4304635761589406,0.25165562913907286,237,0.5063291139240507,2.607594936708861,2.430379746835443,0.17721518987341772,259,0.4555984555984556,2.528957528957529,2.494208494208494,0.03474903474903475,241,0.47717842323651455,2.5767634854771786,2.4771784232365146,0.0995850622406639,-0.007577403448522091,0.5978503823280334,151.0,-0.18315835297107697,0.5966021418571472,236.0,-0.17542700469493866,0.6542639136314392,257.0,-0.15577252209186554,0.6019566059112549,244.0
5,81920,4423,2257,1550,616,0.5102871354284423,0.68,0.53,-0.00966152735054493,0.23089724779129028,-0.011009665206074715,0.5234977006912231,887,452,319,116,0.5095828635851184,0.18376550169109357,2.6223224351747465,2.4385569334836528,0.020157158374786377,0.00457763671875,0.01137084886431694,0.0011063928250223398,0.027993792667984962,0.01324462890625,1.324462890625,-0.07562255859375,-0.00966152735054493,-0.035531382142965286,0.9362246163037359,0.8698567152023315,0.036790039390325546,0.8838880062103271,0.9408667087554932,0.9794010519981384,1.0109448432922363,0.019946249922603413,0.5297490074467572,81920.0001,2.949668582604856,0.017068161769313927,0.1420001594387755,0.41086985687820277,0.0002952,1.3802950090291548,-0.0002773203911218881,0.00015049334470924286,0.0,0.016083135890585312,0.0,0.0,0.01459501999221286,0.05430883290816327,4.0,2.0,0.0,0.0,0.05413818359375,,,,,0.0,0.213623046875,0.224609375,0.2928466796875,0.2689208984375,189,0.5132275132275133,2.6296296296296298,2.4285714285714284,0.20105820105820105,199,0.542713567839196,2.6231155778894473,2.4170854271356785,0.20603015075376885,258,0.4883720930232558,2.5968992248062017,2.4612403100775193,0.13565891472868216,241,0.5020746887966805,2.6431535269709543,2.4398340248962658,0.2033195020746888,0.07995069026947021,0.6096774339675903,190.0,0.038981564342975616,0.6297357082366943,200.0,0.06012997776269913,0.6162227392196655,258.0,0.06312724202871323,0.608563244342804,239.0
6,98304,5305,2676,1877,752,0.5044297832233742,0.5,0.485,-0.012694470584392548,0.23170699179172516,-0.05326583981513977,0.518491268157959,882,419,327,136,0.47505668934240364,0.11791383219954649,2.5952380952380953,2.4773242630385486,0.04314541816711426,0.00146484375,0.00762939453125,0.0012990073300898075,0.02844715490937233,0.008056640625,0.8056640625,-0.07648926228284836,-0.012694470584392548,-0.03826658482188886,0.8979263080740875,0.7840538024902344,0.0376603938639164,0.8594450354576111,0.8898755311965942,0.9397873282432556,0.9946552515029907,0.007744234978725416,0.5285940344812534,98304.0001,2.9301913324392066,0.01632147535290745,0.13887455778301888,0.4241998724217685,0.00025424000000000003,1.382763424009647,-0.0025812821754443846,0.0007483717545062733,0.0,0.03276609537259034,0.0,0.0,0.016317003854673426,0.05393204599056604,4.0,2.0,0.0,0.0,0.0538330078125,,,,,0.0,0.22808837890625,0.20281982421875,0.30615234375,0.262939453125,201,0.5074626865671642,2.6318407960199006,2.4378109452736316,0.19402985074626866,179,0.4692737430167598,2.5865921787709496,2.4916201117318435,0.09497206703910614,269,0.4721189591078067,2.591078066914498,2.483271375464684,0.10780669144981413,233,0.45493562231759654,2.575107296137339,2.4935622317596566,0.0815450643776824,0.024804405868053436,0.5786466002464294,202.0,-0.026569446548819542,0.6377308368682861,178.0,-0.1142864003777504,0.5931453704833984,269.0,-0.10448658466339111,0.6080300807952881,233.0
7,114688,6193,3125,2187,881,0.5046019699660907,0.4,0.445,-0.010213883593678474,0.23283515870571136,-0.013630906119942665,0.5221712589263916,888,449,310,129,0.5056306306306306,0.17905405405405406,2.6272522522522523,2.4481981981981984,0.02866429090499878,0.004547119140625,0.01126709021627903,0.0012277436908334494,0.02818048559129238,0.01214599609375,1.214599609375,-0.07657470554113388,-0.010213883593678474,-0.03922616507400546,0.9325210462536728,0.8543282747268677,0.03433644399046898,0.8872769474983215,0.9326835870742798,0.9779250621795654,1.0119551420211792,0.0046906433958639245,0.5277342897273826,114688.0001,2.8988160375963177,0.015354017009182522,0.13037966008771928,0.4515440850927119,0.00021328000000000002,1.3851342473113746,-0.0005708142008686155,0.00021589780510068298,0.0,0.01836829870975028,0.0,0.0,0.013543148369838795,0.05451617324561404,4.0,3.0,0.0,0.0,0.05419921875,,,,,0.0,0.230224609375,0.256103515625,0.256103515625,0.257568359375,205,0.4975609756097561,2.604878048780488,2.44390243902439,0.16097560975609757,227,0.5154185022026432,2.647577092511013,2.444933920704846,0.2026431718061674,227,0.5242290748898678,2.60352422907489,2.4229074889867843,0.18061674008810572,229,0.4847161572052402,2.650655021834061,2.480349344978166,0.1703056768558952,0.0524110421538353,0.604680061340332,204.0,0.043868374079465866,0.601713240146637,228.0,0.014054793864488602,0.6270190477371216,228.0,0.07717256247997284,0.6464007496833801,228.0
8,131072,7075,3546,2507,1022,0.5012014134275619,0.5,0.5,-0.011674465611577034,0.23142212629318237,-0.03817231208086014,0.5192008018493652,882,421,320,141,0.47732426303854875,0.1417233560090703,2.6122448979591835,2.4705215419501134,0.040265560150146484,0.001861572265625,0.0098876953125,0.0011665625497698784,0.028608810156583786,0.01031494140625,1.031494140625,-0.0769043043255806,-0.011674465611577034,-0.03655886598954014,0.9143649526670867,0.8222732543945312,0.03640591353178024,0.8710038661956787,0.9162380695343018,0.9601991772651672,0.9902474880218506,-0.0006672260346388533,0.5268659019495636,131072.0001,2.888055581672519,0.013281310772678504,0.11586626838235294,0.4799685595082302,0.00017231999999999998,1.383095201324014,-0.0028547085467161004,0.00047667190975008615,0.0,0.025298636588297337,0.0,0.0,0.016996034594508363,0.0537875306372549,4.0,3.0,0.0,0.0,0.0538330078125,,,,,0.0,0.27203369140625,0.2159423828125,0.2349853515625,0.27703857421875,240,0.4708333333333333,2.629166666666667,2.4541666666666666,0.175,188,0.43617021276595747,2.5691489361702127,2.5319148936170213,0.03723404255319149,209,0.48325358851674644,2.6076555023923444,2.4688995215311005,0.13875598086124402,245,0.5102040816326531,2.63265306122449,2.440816326530612,0.19183673469387755,-0.03911115601658821,0.6232873797416687,240.0,-0.06899555772542953,0.5987865924835205,191.0,-0.002773165237158537,0.6172590255737305,206.0,0.11293182522058487,0.5801790356636047,245.0
9,147456,7962,3983,2828,1151,0.5002511931675458,0.5,0.515,-0.01121564395725727,0.23137278854846954,-0.058358870446681976,0.507182240486145,887,437,321,129,0.4926719278466742,0.12852311161217586,2.5986471251409244,2.4701240135287486,0.05228656530380249,0.003143310546875,0.009350585751235485,0.0015467893099412322,0.028700120747089386,0.0103759765625,1.03759765625,-0.07596435397863388,-0.01121564395725727,-0.05409247819140243,0.8589326590299606,0.772453248500824,0.03562210127711296,0.8121166825294495,0.8582719564437866,0.9064350128173828,0.9486883878707886,-0.0070774087427409055,0.5250284404221003,147456.0001,2.8890184511741004,0.01684860223334302,0.15997314453125,0.49265751459946233,0.00013136,1.3797167154649894,-0.00019429104731200075,5.056536318015503e-05,0.0,0.00940172467315148,0.0,0.0,0.01662777436771042,0.05413818359375,4.0,3.0,0.0,0.0,0.05413818359375,,,,,0.0,0.2576904296875,0.2203369140625,0.24072265625,0.28125,229,0.537117903930131,2.6244541484716155,2.4148471615720526,0.2096069868995633,196,0.4642857142857143,2.566326530612245,2.510204081632653,0.05612244897959184,213,0.4788732394366197,2.6338028169014085,2.488262910798122,0.14553990610328638,249,0.4859437751004016,2.570281124497992,2.4738955823293174,0.0963855421686747,0.023811420425772667,0.5710779428482056,228.0,0.01800413988530636,0.5577689409255981,194.0,0.0337851382791996,0.6017522215843201,214.0,-0.013342051766812801,0.5630043148994446,251.0
10,163840,8849,4443,3123,1283,0.5020906317097977,0.56,0.485,-0.008431155234575272,0.23283544182777405,0.015925532206892967,0.5131635069847107,887,460,295,132,0.5186020293122886,0.21307779030439683,2.645997745208568,2.4329199549041713,0.023523449897766113,0.00604248046875,0.01309814490377903,0.0013307251501828432,0.02881063148379326,0.01702880859375,1.702880859375,-0.07670898735523224,-0.008431155234575272,-0.04800153112106879,0.9161548869063457,0.8193963170051575,0.04135535657405853,0.8644376993179321,0.920798122882843,0.9637386202812195,1.036695957183838,-0.004777114649181506,0.5238994911933011,163840.0001,2.830515928566456,0.01206745984745794,0.12211100260416667,0.5611006037021676,9.039999999999999e-05,1.3804004453122616,-0.000638039252377931,9.145986809596292e-05,0.0,0.011109621246383409,0.0,0.0,0.014922324711127052,0.0540771484375,4.0,3.0,0.0,0.0,0.0540771484375,,,,,0.0,0.24755859375,0.2032470703125,0.24896240234375,0.30023193359375,220,0.5181818181818182,2.6227272727272726,2.4272727272727272,0.19545454545454546,183,0.5191256830601093,2.6065573770491803,2.4371584699453552,0.16939890710382513,220,0.5590909090909091,2.672727272727273,2.4,0.2727272727272727,264,0.48484848484848486,2.6704545454545454,2.462121212121212,0.20833333333333334,0.07695556432008743,0.5854879021644592,220.0,0.14311546087265015,0.6201485991477966,182.0,0.15609736740589142,0.5811291337013245,220.0,0.15878406167030334,0.5876374244689941,264.0
