update,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_total_mean,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,strategy_entropy,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_q_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_fraction,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_resample_fraction_rollout,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,strategy_kl,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,episode_z_0_count,episode_z_0_win_rate,episode_z_0_blue_score_mean,episode_z_0_red_score_mean,episode_z_0_win_margin_mean,episode_z_1_count,episode_z_1_win_rate,episode_z_1_blue_score_mean,episode_z_1_red_score_mean,episode_z_1_win_margin_mean,episode_z_2_count,episode_z_2_win_rate,episode_z_2_blue_score_mean,episode_z_2_red_score_mean,episode_z_2_win_margin_mean,episode_z_3_count,episode_z_3_win_rate,episode_z_3_blue_score_mean,episode_z_3_red_score_mean,episode_z_3_win_margin_mean
1,16384,884,453,302,129,0.5124434389140271,0.56,0.52,-0.012736910954117775,0.22975771129131317,-0.07393951714038849,0.5155501365661621,884,453,302,129,0.5124434389140271,0.2228506787330317,2.6346153846153846,2.411764705882353,-0.0025975704193115234,0.005279541015625,0.00742187537252903,0.0012308729346841574,0.0271670613437891,0.00457763671875,0.457763671875,-0.07624511420726776,-0.012736910954117775,-0.01936812302058873,0.9429360392192999,0.8220467567443848,0.050240736454725266,0.8806314468383789,0.9438298940658569,1.006488561630249,1.0578678846359253,-0.07393951668909748,0.51555014996083,16384.0001,2.9998617321252823,0.007307876519310715,0.06377156575520833,0.23258087093320987,0.00045904,1.3674840852618217,-0.007641791116298979,0.011567705572474551,0.04002150219942754,0.13776468706956127,0.0,0.0,0.018498136205986764,0.05438232421875,4.0,2.0,0.0,0.0,0.05438232421875,,,,,0.0,0.2125244140625,0.23779296875,0.2822265625,0.2674560546875,191,0.4816753926701571,2.5916230366492146,2.4659685863874348,0.1256544502617801,211,0.5355450236966824,2.6635071090047395,2.3791469194312795,0.2843601895734597,249,0.5381526104417671,2.646586345381526,2.3815261044176705,0.26506024096385544,233,0.4892703862660944,2.630901287553648,2.429184549356223,0.2017167381974249
2,32768,1770,906,610,254,0.511864406779661,0.58,0.52,-0.009649526327848434,0.23325267434120178,0.13930274546146393,0.534949779510498,886,453,308,125,0.5112866817155757,0.21331828442437922,2.6320541760722347,2.4187358916478554,-0.025031208992004395,0.005035400390625,0.01186523400247097,0.0012074459809809923,0.027900923043489456,0.01287841796875,1.287841796875,-0.07574462890625,-0.009649526327848434,-0.034882538983947595,0.9414926581084728,0.8098739385604858,0.057802531868219376,0.8781509399414062,0.9369522333145142,1.0153894424438477,1.094338297843933,0.032681614060801334,0.5360500795374386,32768.000100000005,2.9911716878414154,0.013795843775733374,0.12418212890625,0.4218352038413286,0.00041808000000000004,1.3391735270619392,-0.03322630772516979,0.019969649442469973,0.24472149359062315,0.1804272220486245,0.0,0.0,0.02330727320513688,0.05413818359375,4.0,2.0,0.0,0.0,0.05413818359375,,,,,0.0,0.17523193359375,0.2923583984375,0.3316650390625,0.20074462890625,154,0.5064935064935064,2.616883116883117,2.396103896103896,0.22077922077922077,258,0.5077519379844961,2.616279069767442,2.39922480620155,0.21705426356589147,294,0.4965986394557823,2.63265306122449,2.4523809523809526,0.18027210884353742,180,0.5444444444444444,2.6666666666666665,2.411111111111111,0.25555555555555554
3,49152,2655,1359,915,381,0.511864406779661,0.6,0.5,-0.009971993044018745,0.23152369260787964,0.07442885637283325,0.5410308837890625,885,453,305,127,0.511864406779661,0.19322033898305085,2.632768361581921,2.43954802259887,-0.0012203454971313477,0.005157470703125,0.010968017391860485,0.0007974394829943776,0.027334287762641907,0.01348876953125,1.348876953125,-0.07634277641773224,-0.009971993044018745,-0.033138693036401976,0.956837581653221,0.8374469876289368,0.05618578568100929,0.8774396181106567,0.949955403804779,1.0218603610992432,1.1140131950378418,0.04659736146983365,0.538075493611444,49152.000100000005,2.9789920601190305,0.016203858022231097,0.13744638480392157,0.43857205615324135,0.00037712,1.281478486809076,-0.019909364900279707,0.016285389785776466,0.1501004628691019,0.14253677466232573,0.0,0.0,0.028300257938384425,0.05384497549019608,4.0,1.0,0.0,0.0,0.05401611328125,,,,,0.0,0.250244140625,0.36187744140625,0.23846435546875,0.1494140625,220,0.4636363636363636,2.5636363636363635,2.5045454545454544,0.05909090909090909,320,0.540625,2.6625,2.403125,0.259375,212,0.5377358490566038,2.641509433962264,2.410377358490566,0.23113207547169812,133,0.48120300751879697,2.661654135338346,2.4661654135338344,0.19548872180451127
4,65536,3548,1807,1235,506,0.5093010146561443,0.46,0.485,-0.011266306042671204,0.23041924834251404,0.006841722875833511,0.5316755175590515,893,448,320,125,0.5016797312430011,0.18253079507278835,2.6159014557670774,2.433370660694289,0.01044917106628418,0.003997802734375,0.00962524488568306,0.0011954018846154213,0.027652587741613388,0.00933837890625,0.933837890625,-0.07640381157398224,-0.011266306042671204,-0.03394704827107489,0.9384946835041046,0.8423960208892822,0.036949168890714645,0.8971807956695557,0.9334763288497925,0.9798009395599365,1.022370457649231,0.036658451836499184,0.5367587763906163,65536.0001,2.968831024169922,0.016513719946378843,0.1369140625,0.36521551102399824,0.00033616,1.2990871238708497,-0.013044641012133198,0.011958368670821073,0.09335056215524673,0.13664622462794612,0.0,0.0,0.02410679271444678,0.05421875,4.0,1.0,0.0,0.0,0.05450439453125,,,,,0.0,0.1319580078125,0.482177734375,0.27545166015625,0.11041259765625,119,0.4369747899159664,2.6218487394957983,2.4705882352941178,0.15126050420168066,428,0.4883177570093458,2.5841121495327104,2.455607476635514,0.12850467289719625,246,0.5121951219512195,2.613821138211382,2.426829268292683,0.18699186991869918,100,0.61,2.75,2.31,0.44
5,81920,4436,2232,1564,640,0.503155996393147,0.44,0.475,-0.012416847050189972,0.23062308132648468,-0.06118657439947128,0.5168944597244263,888,425,329,134,0.4786036036036036,0.14301801801801803,2.606981981981982,2.463963963963964,0.03377264738082886,0.00177001953125,0.00874633714556694,0.0011548581533133984,0.027833249419927597,0.0076904296875,0.76904296875,-0.0762939453125,-0.012416847050189972,-0.03609685499221087,0.8804193925857544,0.8059569597244263,0.03788325935602188,0.8235812187194824,0.8777725696563721,0.9349747896194458,0.9548828601837158,0.01708944661319304,0.5342805932922313,81920.0001,2.947965884208679,0.017122150994837285,0.139765625,0.4013016939163208,0.0002952,1.2875649189949037,-0.008047953821508748,0.004986525049766897,0.02649555914103985,0.08002225937178203,0.0,0.0,0.02458148431032896,0.05369140625,4.0,1.0,0.0,0.0,0.0540771484375,,,,,0.0,0.18194580078125,0.35736083984375,0.31878662109375,0.14190673828125,163,0.4785276073619632,2.5828220858895707,2.4723926380368098,0.11042944785276074,315,0.473015873015873,2.615873015873016,2.4571428571428573,0.15873015873015872,285,0.47719298245614034,2.617543859649123,2.463157894736842,0.1543859649122807,125,0.496,2.592,2.472,0.12
6,98304,5322,2692,1884,746,0.5058248778654642,0.56,0.5,-0.012303618714213371,0.2338457852602005,-0.01630975306034088,0.5088906288146973,886,460,320,106,0.5191873589164786,0.18284424379232506,2.615124153498871,2.4322799097065464,0.052020251750946045,0.00531005859375,0.00762939453125,0.0012373863719403744,0.027897492051124573,0.00640869140625,0.640869140625,-0.07625732570886612,-0.012303618714213371,-0.03857248536819084,0.8492215373299339,0.772324800491333,0.03641267493367195,0.7976328134536743,0.8476659655570984,0.8940714597702026,0.9156912565231323,0.011522913339933289,0.530279488450149,98304.0001,2.920769843188199,0.017601831114469942,0.14733664772727273,0.42263987118547613,0.00025424000000000003,1.2508097778667102,-0.002513299513487833,0.0014143072569244065,0.0,0.04323132715898378,0.0,0.0,0.029411709977483207,0.05458096590909091,4.0,1.0,0.0,0.0,0.05413818359375,,,,,0.0,0.2113037109375,0.42193603515625,0.28057861328125,0.086181640625,185,0.5081081081081081,2.610810810810811,2.4594594594594597,0.15135135135135136,374,0.5187165775401069,2.6176470588235294,2.435828877005348,0.18181818181818182,250,0.556,2.652,2.376,0.276,77,0.42857142857142855,2.4935064935064934,2.5324675324675323,-0.03896103896103896
7,114688,6210,3161,2174,875,0.5090177133655395,0.44,0.47,-0.008492290042340755,0.22946108877658844,0.089356929063797,0.5220707058906555,888,469,290,129,0.5281531531531531,0.24774774774774774,2.6486486486486487,2.400900900900901,0.02922356128692627,0.006988525390625,0.01323242112994194,0.0013771515805274248,0.02771061286330223,0.01593017578125,1.593017578125,-0.07670898735523224,-0.008492290042340755,-0.037444913647426616,0.9187275715943041,0.8200377225875854,0.04121001437306404,0.8729527592658997,0.9227569699287415,0.9606209993362427,1.0484938621520996,0.022642058433647264,0.5298151330374505,114688.0001,2.8783081441090026,0.014830382048064071,0.12437702047413793,0.5622936076131361,0.00021328000000000002,1.2599891239199146,-0.007580405372590649,0.0035209456209682245,0.015372781147216928,0.07014691075288018,0.0,0.0,0.02863193086573276,0.05441810344827586,4.0,1.0,0.0,0.0,0.05426025390625,,,,,0.0,0.17449951171875,0.4215087890625,0.325439453125,0.07855224609375,154,0.4935064935064935,2.616883116883117,2.4740259740259742,0.14285714285714285,375,0.5493333333333333,2.648,2.3626666666666667,0.2853333333333333,288,0.5173611111111112,2.6770833333333335,2.420138888888889,0.2569444444444444,71,0.5352112676056338,2.6056338028169015,2.3661971830985915,0.23943661971830985
8,131072,7098,3621,2467,1010,0.5101437024513947,0.48,0.49,-0.010066360235214233,0.2305895835161209,0.00681424792855978,0.5221508741378784,888,460,293,135,0.5180180180180181,0.21058558558558557,2.6486486486486487,2.438063063063063,0.02951335906982422,0.006072998046875,0.01109008863568306,0.0012276724446564913,0.027386590838432312,0.01275634765625,1.275634765625,-0.07764892280101776,-0.010066360235214233,-0.042732657058470284,0.926885160937238,0.8085596561431885,0.04119841754436493,0.8727208375930786,0.9258120656013489,0.9728791117668152,1.0415642261505127,0.020663582122020786,0.528889076364672,131072.0001,2.841835534394677,0.015709225190004138,0.13451784048507462,0.5650378403378956,0.00017231999999999998,1.2857712062437143,-0.002622436208200199,0.0010485580767808913,0.0,0.037523369243354865,0.0,0.0,0.026139918520157016,0.05427938432835821,4.0,1.0,0.0,0.0,0.05419921875,,,,,0.0,0.17095947265625,0.365234375,0.35321044921875,0.110595703125,153,0.5424836601307189,2.7058823529411766,2.3986928104575163,0.30718954248366015,324,0.5185185185185185,2.6728395061728394,2.441358024691358,0.23148148148148148,313,0.5015974440894568,2.594249201277955,2.4600638977635785,0.134185303514377,98,0.5306122448979592,2.6530612244897958,2.4183673469387754,0.23469387755102042
9,147456,7986,4067,2774,1145,0.5092662158777861,0.42,0.495,-0.011770798824727535,0.23181016743183136,-0.04503246396780014,0.5208584666252136,888,446,307,135,0.5022522522522522,0.20045045045045046,2.6362612612612613,2.435810810810811,0.05558335781097412,0.004364013671875,0.009240723215043545,0.0011595009127631783,0.027462318539619446,0.00897216796875,0.897216796875,-0.07742919772863388,-0.011770798824727535,-0.05296873219049303,0.8913305811583996,0.7819804549217224,0.04092324897646904,0.839134693145752,0.8924586772918701,0.9425380229949951,1.0282360315322876,0.013364021450324347,0.5284063261579195,147456.0001,2.832728306452433,0.016813249882034143,0.15504964192708334,0.5193163401757678,0.00013136,1.2846637405455112,-0.002158957145201886,0.0013666037993509013,0.0,0.03981232328758533,0.0,0.0,0.024802572506208282,0.05413818359375,4.0,1.0,0.0,0.0,0.05413818359375,,,,,0.0,0.21856689453125,0.33673095703125,0.331787109375,0.1129150390625,193,0.533678756476684,2.6321243523316062,2.3989637305699483,0.23316062176165803,298,0.4966442953020134,2.6308724832214767,2.436241610738255,0.19463087248322147,295,0.4915254237288136,2.6542372881355933,2.450847457627119,0.2033898305084746,102,0.49019607843137253,2.607843137254902,2.4607843137254903,0.14705882352941177
10,163840,8875,4524,3079,1272,0.5097464788732394,0.46,0.495,-0.011721155606210232,0.23198682069778442,0.0005134085658937693,0.5296562314033508,889,457,305,127,0.5140607424071991,0.21372328458942633,2.6321709786276717,2.418447694038245,0.061281800270080566,0.005401611328125,0.00850830040872097,0.0013547936687245965,0.02782423235476017,0.00830078125,0.830078125,-0.07669678330421448,-0.011721155606210232,-0.04955576860811561,0.9243170712143183,0.8264529705047607,0.039614539593458176,0.8685885667800903,0.9279772639274597,0.9680173397064209,1.0519956350326538,0.012078960162665629,0.5285455072248618,163840.0001,2.8332806304097176,0.012730703861355627,0.12766520182291666,0.5561760157967607,9.039999999999999e-05,1.256018045047919,-0.0001714607849407912,0.00012189932631533641,0.0,0.01385123545402848,0.0,0.0,0.025526854248406988,0.05426025390625,4.0,2.0,0.0,0.0,0.05426025390625,,,,,0.0,0.14691162109375,0.3380126953125,0.42486572265625,0.0902099609375,132,0.5,2.6136363636363638,2.462121212121212,0.15151515151515152,302,0.5264900662251656,2.629139072847682,2.410596026490066,0.2185430463576159,374,0.516042780748663,2.6470588235294117,2.406417112299465,0.24064171122994651,81,0.48148148148148145,2.6049382716049383,2.432098765432099,0.1728395061728395
