update,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_total_mean,policy_loss,value_loss,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,strategy_entropy,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_q_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_fraction,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_resample_fraction_rollout,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,strategy_kl,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,episode_z_0_count,episode_z_0_win_rate,episode_z_0_blue_score_mean,episode_z_0_red_score_mean,episode_z_0_win_margin_mean,episode_z_1_count,episode_z_1_win_rate,episode_z_1_blue_score_mean,episode_z_1_red_score_mean,episode_z_1_win_margin_mean,episode_z_2_count,episode_z_2_win_rate,episode_z_2_blue_score_mean,episode_z_2_red_score_mean,episode_z_2_win_margin_mean,episode_z_3_count,episode_z_3_win_rate,episode_z_3_blue_score_mean,episode_z_3_red_score_mean,episode_z_3_win_margin_mean
1,16384,876,427,321,128,0.4874429223744292,0.52,0.52,-0.010972408577799797,0.22952622175216675,-0.06516589969396591,0.5089512467384338,876,427,321,128,0.4874429223744292,0.15182648401826485,2.608447488584475,2.4566210045662102,-0.004638552665710449,0.0025634765625,0.01087036170065403,0.001433666329830885,0.027219990268349648,0.01104736328125,1.104736328125,-0.07639160752296448,-0.010972408577799797,-0.007195093436166644,0.249187697423622,3.003494169563055,0.004476907397474861,0.031158447265625,0.10955795785412192,0.00045904,1.376602914184332,-0.008615997483218507,0.006699263003952183,0.06237351994786877,0.10912398479494767,0.0,0.7417301684617996,0.014068866999878082,0.10430908203125,4.0,2.0,612.0,0.7418181896209717,0.10430908203125,,,,,0.0,0.2279052734375,0.245849609375,0.26971435546875,0.25653076171875,188,0.5,2.6117021276595747,2.4574468085106385,0.15425531914893617,240,0.4583333333333333,2.591666666666667,2.4833333333333334,0.10833333333333334,245,0.49387755102040815,2.636734693877551,2.436734693877551,0.2,203,0.5024630541871922,2.5911330049261085,2.4482758620689653,0.14285714285714285
2,32768,1758,877,624,257,0.4988623435722412,0.44,0.465,-0.009689141064882278,0.230948805809021,0.10874097794294357,0.5122949481010437,882,450,303,129,0.5102040816326531,0.19387755102040816,2.629251700680272,2.435374149659864,0.02222132682800293,0.005035400390625,0.010974121280014515,0.001104369992390275,0.02764926105737686,0.01275634765625,1.275634765625,-0.07484131306409836,-0.009689141064882278,-0.01642734387132805,0.2512737726792693,3.0277776643633842,0.006974067237024428,0.063507080078125,0.18542762042488903,0.00041808000000000004,1.357368590310216,-0.009561431584667296,0.008429691133420292,0.05907993754954077,0.10842440983969481,0.0,0.7310295794159174,0.017412438421160914,0.10430908203125,4.0,2.0,605.0,0.7306763529777527,0.10430908203125,,,,,0.0,0.22760009765625,0.236572265625,0.32623291015625,0.2095947265625,189,0.5079365079365079,2.6455026455026456,2.439153439153439,0.20634920634920634,214,0.5046728971962616,2.6448598130841123,2.4485981308411215,0.19626168224299065,277,0.5740072202166066,2.6570397111913358,2.3501805054151625,0.30685920577617326,202,0.4306930693069307,2.5594059405940595,2.5346534653465347,0.024752475247524754
3,49152,2643,1330,953,360,0.5032160423760877,0.48,0.54,-0.009311884641647339,0.23419250547885895,0.030611518770456314,0.5127612352371216,885,453,329,103,0.511864406779661,0.16271186440677965,2.613559322033898,2.450847457627119,0.04212331771850586,0.004425048828125,0.012646484188735485,0.0011885362910106778,0.027173977345228195,0.0137939453125,1.37939453125,-0.07593993842601776,-0.009311884641647339,-0.02822195366024971,0.24772302177734673,3.011783044785261,0.010621619671837834,0.1000213623046875,0.1977295943070203,0.00037712,1.373815419152379,-0.01899761282592527,0.015908127291401758,0.1317386418231763,0.15998145806879072,0.0,0.7021152069792151,0.017658176671830006,0.10528564453125,4.0,2.0,588.0,0.700834333896637,0.10528564453125,,,,,0.0,0.21942138671875,0.2022705078125,0.4222412109375,0.15606689453125,193,0.45077720207253885,2.569948186528497,2.5129533678756477,0.05699481865284974,207,0.5410628019323671,2.6231884057971016,2.391304347826087,0.2318840579710145,315,0.5238095238095238,2.6,2.450793650793651,0.1492063492063492,170,0.5235294117647059,2.676470588235294,2.4529411764705884,0.2235294117647059
4,65536,3524,1763,1274,487,0.5002837684449489,0.5,0.46,-0.010061424225568771,0.23201650381088257,-0.02422667108476162,0.5175662636756897,881,433,321,127,0.49148694665153236,0.16004540295119182,2.616345062429058,2.456299659477866,0.04103726148605347,0.002960205078125,0.011993408203125,0.001044618897140026,0.027639344334602356,0.01220703125,1.220703125,-0.0753173828125,-0.010061424225568771,-0.035118038817017805,0.25161822885274887,3.00706485286355,0.013281460126563616,0.1190032958984375,0.22712276387028396,0.00033616,1.3723580110818148,-0.00880996579279869,0.0069601939189816164,0.04952647109166719,0.10157676429615592,0.0,0.7526713022962213,0.017214958024851512,0.10400390625,4.0,2.0,619.0,0.7521263957023621,0.10400390625,,,,,0.0,0.26898193359375,0.22442626953125,0.31243896484375,0.19415283203125,211,0.4976303317535545,2.6066350710900474,2.4312796208530805,0.17535545023696683,239,0.48535564853556484,2.6192468619246863,2.4644351464435146,0.15481171548117154,252,0.49206349206349204,2.607142857142857,2.4523809523809526,0.15476190476190477,179,0.49162011173184356,2.636871508379888,2.4804469273743015,0.1564245810055866
5,81920,4405,2221,1584,600,0.504199772985244,0.44,0.53,-0.009834002703428268,0.23280882835388184,0.07866302132606506,0.5085201263427734,881,458,310,113,0.5198637911464246,0.19750283768444948,2.6367763904653803,2.439273552780931,0.053974270820617676,0.005584716796875,0.01165161095559597,0.001174254110082984,0.02787809446454048,0.01129150390625,1.129150390625,-0.07537841796875,-0.009834002703428268,-0.04301644179940922,0.24096079776063561,3.011931423097849,0.016612773732958885,0.1458740234375,0.2759507717564702,0.0002952,1.3289504926651716,-0.016376770017449506,0.011711687236958923,0.10327012596826535,0.12808223081768022,0.0,0.7462023505941033,0.02038310720672598,0.10430908203125,4.0,0.0,619.0,0.7457831501960754,0.10430908203125,,,,,0.0,0.35894775390625,0.18829345703125,0.24169921875,0.2110595703125,212,0.4811320754716981,2.6320754716981134,2.4622641509433962,0.16981132075471697,247,0.5101214574898786,2.6437246963562755,2.465587044534413,0.17813765182186234,170,0.5529411764705883,2.676470588235294,2.411764705882353,0.2647058823529412,252,0.5396825396825397,2.607142857142857,2.4126984126984126,0.19444444444444445
6,98304,5287,2672,1890,725,0.5053905806695669,0.54,0.52,-0.008386602625250816,0.233400359749794,0.08295902609825134,0.5145443081855774,882,451,306,125,0.5113378684807256,0.18480725623582767,2.629251700680272,2.4444444444444446,0.055953264236450195,0.005035400390625,0.01343994215130806,0.0014365513343364,0.02816213294863701,0.01470947265625,1.470947265625,-0.07420654594898224,-0.008386602625250816,-0.04440414603595855,0.24435741710476577,3.0015989653766155,0.01912911444924248,0.1650543212890625,0.2992450373712927,0.00025424000000000003,1.2517204098403454,-0.011870732235321785,0.009905009517968077,0.08304418390616775,0.12253359796957874,0.0,0.7576825320720673,0.021959960417007096,0.10443115234375,4.0,0.0,628.0,0.7584540843963623,0.10443115234375,,,,,0.0,0.40911865234375,0.17169189453125,0.19317626953125,0.22601318359375,176,0.5227272727272727,2.6420454545454546,2.4261363636363638,0.2159090909090909,278,0.5287769784172662,2.6546762589928057,2.446043165467626,0.20863309352517986,140,0.4642857142857143,2.5642857142857145,2.492857142857143,0.07142857142857142,288,0.5104166666666666,2.6284722222222223,2.4305555555555554,0.19791666666666666
7,114688,6170,3136,2191,843,0.5082658022690437,0.58,0.575,-0.010235699824988842,0.23372261226177216,0.042893439531326294,0.5235065221786499,883,464,301,118,0.5254813137032842,0.21970554926387317,2.638731596828992,2.419026047565119,0.06539136171340942,0.00634765625,0.01076049730181694,0.0012863880256190896,0.026802804321050644,0.01007080078125,1.007080078125,-0.07539062201976776,-0.010235699824988842,-0.04701434151502326,0.25140997231937945,2.950999680906534,0.020688963728389353,0.1708221435546875,0.3533415854908526,0.00021328000000000002,1.2013012412935495,-0.007216319613249561,0.005825519924851815,0.02782773249782622,0.08796798497032066,0.0,0.7885566111654043,0.022383641786291264,0.104248046875,4.0,0.0,649.0,0.7876213788986206,0.104248046875,,,,,0.0,0.46881103515625,0.182861328125,0.1441650390625,0.20416259765625,176,0.5113636363636364,2.590909090909091,2.3863636363636362,0.20454545454545456,338,0.5473372781065089,2.6923076923076925,2.4142011834319526,0.2781065088757396,87,0.5057471264367817,2.5977011494252875,2.4482758620689653,0.14942528735632185,282,0.5141843971631206,2.617021276595745,2.4361702127659575,0.18085106382978725
8,131072,7052,3580,2495,977,0.5076574021554169,0.4,0.535,-0.009669821709394455,0.2304632067680359,0.06055059656500816,0.5037612915039062,882,444,304,134,0.5034013605442177,0.1836734693877551,2.634920634920635,2.45124716553288,0.08041101694107056,0.00445556640625,0.012261963449418545,0.0011835265904664993,0.026743773370981216,0.01324462890625,1.324462890625,-0.076171875,-0.009669821709394455,-0.044050368829630315,0.22999348281882703,2.907859917730093,0.017705833722175157,0.1534271240234375,0.41515897517092526,0.00017231999999999998,1.1245683562010527,-0.005722519048269481,0.0064907374567644005,0.037085928925080225,0.09500627162920616,0.0,0.8134375503286719,0.025305663410108536,0.1044921875,4.0,0.0,675.0,0.8132529854774475,0.1044921875,,,,,0.0,0.53448486328125,0.1444091796875,0.13763427734375,0.1834716796875,145,0.4896551724137931,2.6,2.43448275862069,0.16551724137931034,293,0.5017064846416383,2.6245733788395906,2.460750853242321,0.16382252559726962,97,0.4845360824742268,2.670103092783505,2.4536082474226806,0.21649484536082475,347,0.515850144092219,2.648414985590778,2.4495677233429394,0.1988472622478386
9,147456,7934,4025,2794,1115,0.5073103100579783,0.58,0.475,-0.0109752481803298,0.23003627359867096,0.03517691045999527,0.5127853155136108,882,445,299,138,0.5045351473922902,0.19727891156462585,2.6405895691609977,2.443310657596372,0.08265191316604614,0.00469970703125,0.009838867001235485,0.0011552583891898394,0.026889946311712265,0.009765625,0.9765625,-0.076171875,-0.0109752481803298,-0.042631110998627264,0.23843901744112372,2.874466858804226,0.015467736960090406,0.139312744140625,0.44227267103269696,0.00013136,1.0522163789719343,-0.009479221524429704,0.007664510295772628,0.06453583779511973,0.10563361781774505,0.0,0.8204898862168193,0.03071588830789551,0.10357666015625,4.0,0.0,670.0,0.8210784196853638,0.10357666015625,,,,,0.0,0.47637939453125,0.17413330078125,0.12811279296875,0.22137451171875,103,0.5339805825242718,2.6310679611650487,2.3592233009708736,0.27184466019417475,328,0.4603658536585366,2.6280487804878048,2.4878048780487805,0.1402439024390244,65,0.49230769230769234,2.523076923076923,2.476923076923077,0.046153846153846156,386,0.5362694300518135,2.673575129533679,2.422279792746114,0.25129533678756477
10,163840,8817,4462,3107,1248,0.5060678235227402,0.58,0.51,-0.012606339529156685,0.23242375254631042,0.03475864604115486,0.5206097960472107,883,437,313,133,0.49490373725934317,0.159682899207248,2.6194790486976216,2.4597961494903737,0.09002697467803955,0.003509521484375,0.00842895545065403,0.0011088887695223093,0.027017785236239433,0.006103515625,0.6103515625,-0.07644043117761612,-0.012606339529156685,-0.03775169097571052,0.24426579219289124,2.8499078527092934,0.011037766506888147,0.1046142578125,0.4897356457076967,9.039999999999999e-05,0.9641169076785445,-0.005597335450971741,0.003273310813099886,0.006890774326166138,0.06546894900921141,0.0,0.7705717971548438,0.02942673469078727,0.10498046875,4.0,0.0,645.0,0.7715311050415039,0.10498046875,,,,,0.0,0.42864990234375,0.177734375,0.106689453125,0.28692626953125,81,0.48148148148148145,2.567901234567901,2.419753086419753,0.14814814814814814,287,0.47735191637630664,2.592334494773519,2.484320557491289,0.10801393728222997,46,0.3695652173913043,2.5652173913043477,2.630434782608696,-0.06521739130434782,469,0.5202558635394456,2.650319829424307,2.434968017057569,0.21535181236673773
