policy,map,requested_opponent,resolved_opponent,opponent,episodes,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,stuck_steps,repeated_blocked_movement,upper_lane_use,lower_lane_use,route_switches,episode_steps,route_crossings,upper_lane_fraction
baseline,map_b_split_lane,OP8,OP8,OP8,1,3.0,0.0,1.0,0.0,0.0,3.0,,0.0,0.0,3.0,6.0,2.0,105.0,9.0,0.3333333333333333
candidate,map_b_split_lane,OP8,OP8,OP8,1,3.0,1.0,1.0,0.0,0.0,2.0,,0.0,0.0,2.0,11.0,2.0,114.0,13.0,0.15384615384615385
