blue_style,red_style,map,episode_index,episode_seed,success,blue_score,red_score,win_margin,steps,return,outcome,time_to_first_score,collision_free,zone_coverage
BLUE_ESCORT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,9,511010,0,0,0,0,240,-13.777205356833292,draw,,0,0.5999999642372131
BLUE_RUSH,OP9_SPLIT_LANE_FEINT,map_b_split_lane,10,511011,0,0,0,0,240,-16.509436434775125,draw,,0,0.6399999856948853
BLUE_TURTLE,OP9_SPLIT_LANE_FEINT,map_b_split_lane,10,511011,0,0,2,-2,240,-13.684218380942184,loss,42.0,0,0.8399999737739563
BLUE_SPLIT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,10,511011,1,3,0,3,101,-1.4921681009345775,win,40.0,1,0.8399999737739563
BLUE_ESCORT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,10,511011,0,1,3,-2,211,-10.322276099672308,loss,73.0,0,0.6399999856948853
BLUE_RUSH,OP9_SPLIT_LANE_FEINT,map_b_split_lane,11,511012,0,0,0,0,240,-15.009248162226868,draw,,0,0.7199999690055847
BLUE_TURTLE,OP9_SPLIT_LANE_FEINT,map_b_split_lane,11,511012,0,0,0,0,240,-14.94382076835609,draw,,0,0.6399999856948853
BLUE_SPLIT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,11,511012,1,3,0,3,233,-11.002372771239607,win,42.0,1,0.9199999570846558
BLUE_ESCORT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,11,511012,0,2,2,0,240,-11.528829506773036,draw,36.0,0,0.7199999690055847
BLUE_RUSH,OP9_SPLIT_LANE_FEINT,map_b_split_lane,12,511013,0,0,0,0,240,-15.961191895257798,draw,,1,0.7599999904632568
BLUE_TURTLE,OP9_SPLIT_LANE_FEINT,map_b_split_lane,12,511013,0,0,0,0,240,-13.767816334642703,draw,,0,0.7599999904632568
BLUE_SPLIT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,12,511013,1,1,0,1,240,-12.92544199700933,win,42.0,1,0.8799999952316284
BLUE_ESCORT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,12,511013,0,1,1,0,240,-12.728352819947759,draw,153.0,0,0.6399999856948853
