map_set,opponent,learned_return,uniform_episode_fixed_return,uniform_random_at_router_opportunities_return,preselected_global_fixed_z_return,no_switch_return,shuffled_return,best_fixed_condition,best_fixed_return,posthoc_global_fixed_oracle_return,posthoc_opponent_oracle_return,posthoc_episode_oracle_return,primary_baseline_return,delta_router_primary_return
eval,OP5,-8.226413075695291,-10.53538193047416,-8.62021749750238,-10.251173483020011,-9.118005110401555,-8.678342254279414,fixed_z3,-9.118005110401555,-10.251173483020011,-9.118005110401555,-7.70119496292682,-8.62021749750238,0.39380442180708997
eval,OP6,-8.964067998193514,-10.072351359885033,-10.761305171909044,-8.838911587480197,-9.812554575581487,-9.225312361974659,fixed_z0,-8.838911587480197,-8.838911587480197,-8.838911587480197,-7.236531619914729,-8.838911587480197,-0.1251564107133163
eval,OP7,-10.705905526922322,-9.346676425092483,-10.082949291394925,-8.62876216291886,-12.368722028832508,-9.123954683803674,fixed_z0,-8.62876216291886,-8.62876216291886,-8.62876216291886,-7.474775868248798,-8.62876216291886,-2.0771433640034616
