policy_seed,opponent,eval_seed,episode_key,step_i,score_stratum,failure_labels_at_t,step,time_remaining_frac,blue_score,red_score,score_diff,blue_carrying,red_carrying,blue_tagged,red_tagged,blue_cooldown_active,agents_forward,formation_spread,team_separation,carrier_present,carrier_pressure,carrier_under_pressure,escort_available,escort_distance,carrier_unescorted,red_tag_ready_count,nearest_ready_defender,defender_tag_available,home_threatened,our_flag_away_from_home,nearest_red_to_our_flag,nearest_blue_to_our_flag,blue_alive_count,red_alive_count,intervention_margin,mate_can_intervene
3200001,OP6,9400000,OP6:9400000,17,tied,,17,0.9291666666666667,0.0,0.0,0.0,1,1,0,1,1,1,0.1334504634141922,0.5375802516937256,1.0,0.6220017671585083,0.0,0.0,0.5375802516937256,1.0,1,0.7292172908782959,1.0,1.0,1.0,0.0,0.25235486030578613,2,2,0.1916370391845703,1.0
3200001,OP6,9400000,OP6:9400000,18,tied,,18,0.925,0.0,0.0,0.0,1,1,0,1,1,1,0.12443442642688751,0.4320504665374756,1.0,0.5138465166091919,0.0,0.0,0.4320504665374756,1.0,1,0.6490192413330078,1.0,1.0,1.0,0.0,0.2916297912597656,2,2,0.21696877479553223,1.0
3200001,OP6,9400000,OP6:9400000,19,tied,,19,0.9208333333333334,0.0,0.0,0.0,1,1,0,1,1,1,0.10531783103942871,0.32480761408805847,1.0,0.40571004152297974,0.0,0.0,0.32480761408805847,1.0,1,0.5426006317138672,1.0,1.0,1.0,0.0,0.2852541506290436,2,2,0.21779301762580872,1.0
3200001,OP6,9400000,OP6:9400000,20,tied,,20,0.9166666666666666,0.0,0.0,0.0,1,1,0,1,1,1,0.08422813564538956,0.2183118313550949,1.0,0.2975735664367676,0.0,1.0,0.2183118313550949,0.0,1,0.4372747838497162,1.0,1.0,1.0,0.0,0.2777281403541565,2,2,0.21896295249462128,1.0
3200001,OP6,9400000,OP6:9400000,21,tied,,21,0.9125,0.0,0.0,0.0,1,1,0,1,1,2,0.05978593975305557,0.11380273103713989,1.0,0.18943709135055542,0.0,1.0,0.11380273103713989,0.0,1,0.3341222405433655,1.0,1.0,1.0,0.0,0.26795998215675354,2,2,0.22031950950622559,1.0
3200001,OP6,9400000,OP6:9400000,22,tied,,22,0.9083333333333333,0.0,0.0,0.0,1,1,0,1,1,2,0.0772743672132492,0.07801055163145065,1.0,0.08153306692838669,1.0,1.0,0.07801055163145065,0.0,1,0.2240968644618988,1.0,1.0,1.0,0.0,0.2240968644618988,2,2,0.14608631283044815,1.0
3200001,OP6,9400000,OP6:9400000,23,tied,,23,0.9041666666666667,0.0,0.0,0.0,1,0,0,2,2,1,0.049285076558589935,0.11461494863033295,1.0,0.07122854888439178,1.0,1.0,0.11461494863033295,0.0,0,inf,0.0,1.0,0.0,0.31518229842185974,0.37411734461784363,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,24,tied,,24,0.9,0.0,0.0,0.0,1,0,0,2,2,1,0.016962576657533646,0.1093582957983017,1.0,0.07654726505279541,1.0,1.0,0.1093582957983017,0.0,0,inf,0.0,0.0,0.0,0.35608112812042236,0.31966733932495117,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,25,tied,,25,0.8958333333333334,0.0,0.0,0.0,1,0,0,2,2,0,0.00039186477079056203,0.10796074569225311,1.0,0.14016123116016388,1.0,1.0,0.10796074569225311,0.0,0,inf,0.0,0.0,0.0,0.40008458495140076,0.2652173340320587,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,26,tied,,26,0.8916666666666666,0.0,0.0,0.0,1,0,0,2,2,0,0.009102868847548962,0.10761234909296036,1.0,0.23603177070617676,0.0,1.0,0.10761234909296036,0.0,0,inf,0.0,0.0,0.0,0.4462752938270569,0.21076734364032745,2,2,nan,nan
