condition,map_set,opponent,episodes,success_rate,return_mean,win_margin_mean,strategy_switches_mean,strategy_resample_rate_mean
fixed_z0,eval,OP5,8,0.375,-8.198331886467077,-0.5,0.0,0.0
fixed_z0,eval,OP6,8,0.5,-7.420773208664286,0.375,0.0,0.0
fixed_z0,eval,OP7,8,0.875,-7.862048408140254,1.0,0.0,0.0
fixed_z3,eval,OP5,8,0.5,-8.151230128719362,-0.25,0.0,0.0
fixed_z3,eval,OP6,8,0.5,-7.278786526938347,0.25,0.0,0.0
fixed_z3,eval,OP7,8,1.0,-9.378939076581446,1.5,0.0,0.0
