map_set,opponent,learned_return,uniform_episode_fixed_return,uniform_random_at_router_opportunities_return,preselected_global_fixed_z_return,no_switch_return,shuffled_return,best_fixed_condition,best_fixed_return,posthoc_global_fixed_oracle_return,posthoc_opponent_oracle_return,posthoc_episode_oracle_return,primary_baseline_return,delta_router_primary_return
eval,OP5,-7.907670722088369,-9.003980027856414,-8.758923248467454,-8.988633563288204,-8.988633563288204,-9.619219767298887,fixed_z0,-8.92109586200013,-8.92109586200013,-8.92109586200013,-7.629136186137657,-8.758923248467454,0.8512525263790849
eval,OP6,-7.903344131824724,-9.48812310400308,-8.60118493508844,-8.704607670265432,-8.704607670265432,-8.422303085891144,fixed_z3,-8.704607670265432,-9.371395019579722,-8.704607670265432,-6.702161763342701,-8.422303085891144,0.5189589540664201
eval,OP7,-11.469048354678307,-9.837503858519085,-8.979810167207688,-11.370853737958441,-11.370853737958441,-13.080730267665274,fixed_z0,-8.953501124934064,-8.953501124934064,-8.953501124934064,-7.633694358971297,-8.979810167207688,-2.489238187470619
