epoch,train_kl_A,train_kl_B,holdout_agree_z0_vs_piA,holdout_agree_z1_vs_piB,holdout_teacher_argmax_disagreement,holdout_kl_A,holdout_kl_B,holdout_student_z0_z1_jsd,holdout_teacher_A_B_jsd
1,0.39283308006347495,0.4503483884300746,0.753185233345622,0.5925607533364778,0.737892447547108,0.18588650962876085,0.2628995814133396,0.20957830906632632,0.29055405468752665
2,0.14564553891302,0.185954990222099,0.8046947180228964,0.7195470055401472,0.737892447547108,0.10739292150301595,0.13771154645598774,0.24807028616088542,0.29055405468752665
3,0.08455540884471109,0.11401564802261109,0.8275399897334282,0.7598553241295084,0.737892447547108,0.07277538159250461,0.09739394931230308,0.2634775401900416,0.29055405468752665
4,0.05914662815366231,0.08342722438751383,0.8489948494634835,0.7858975969644744,0.737892447547108,0.05634177504227247,0.07667645954883318,0.27993593197004724,0.29055405468752665
5,0.04654181463287232,0.06630373497804005,0.8593070657408032,0.7970010920995818,0.737892447547108,0.04704358190669487,0.0643828776202049,0.27295238962812773,0.29055405468752665
6,0.03875346616544622,0.055417321093961705,0.870296403533039,0.8138097836461272,0.737892447547108,0.04037418214630278,0.05484078397810606,0.2756240735133032,0.29055405468752665
7,0.03400270891844803,0.047298525532720785,0.873676056242812,0.8199695637865414,0.737892447547108,0.036491003312972496,0.049830019835232706,0.2836195458633806,0.29055405468752665
8,0.029943880248577037,0.042178576349789366,0.8792826339206575,0.8253824057496759,0.737892447547108,0.03334759546265769,0.04594947868701498,0.27837747146873665,0.29055405468752665
9,0.027178338325932517,0.03778264573808258,0.8790049164368988,0.8327285645922972,0.737892447547108,0.031661429438639,0.04150177910821923,0.28509915159095384,0.29055405468752665
10,0.024744973207513492,0.03467872890756062,0.8825509477497551,0.8394573763833246,0.737892447547108,0.02986255067575879,0.03851327985541457,0.2805817977871447,0.29055405468752665
11,0.02262066107850971,0.03199757019995798,0.8872411260700199,0.8379096186053292,0.737892447547108,0.02782609957821057,0.037516435007793024,0.287323057529078,0.29055405468752665
12,0.021189358230706647,0.030762277371811527,0.8887537130262061,0.847186991953582,0.737892447547108,0.027050211550670434,0.03530694181989787,0.28442801076789254,0.29055405468752665
13,0.0197846891477387,0.028024977852478095,0.8903452169075629,0.8481052304189259,0.737892447547108,0.026253717517573615,0.03367228531341166,0.2761497390952642,0.29055405468752665
14,0.01862393278655008,0.026849956694224204,0.8840754134986081,0.8512684784501064,0.737892447547108,0.028787585311566468,0.03273882915249788,0.2765625707092954,0.29055405468752665
15,0.017746445062365515,0.02521150162879457,0.8945282180646908,0.8542240920604924,0.737892447547108,0.0243179778877357,0.031136974426033855,0.2844314275294648,0.29055405468752665
16,0.016757187512802318,0.024218355932979718,0.8966320905741585,0.8569909390016178,0.737892447547108,0.023684678273237232,0.030954853343052657,0.28104106825170566,0.29055405468752665
17,0.01595856179318107,0.023184744627974558,0.9004040992739951,0.8617915654143252,0.737892447547108,0.022766710115406357,0.02918180511405748,0.28548604213221696,0.29055405468752665
18,0.015344795183087071,0.02201481057819745,0.8990041840177665,0.8574064520410367,0.737892447547108,0.023320232091766945,0.029166889883286005,0.28552661803088036,0.29055405468752665
19,0.014710712530617173,0.021290736510715585,0.8979333898231644,0.8626533258258399,0.737892447547108,0.022207779523624977,0.027968751668105613,0.2811997387057231,0.29055405468752665
20,0.014287498330446423,0.020886904117486154,0.900800522158682,0.8621005073242793,0.737892447547108,0.021846552881185435,0.02760212734888528,0.28385346567131203,0.29055405468752665
