sappo_n_ppo_actor_updates,sappo_n_anchor_updates,sappo_anchor_to_ppo_ratio,sappo_anchor_loss,update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
6.0,1.0909090909090908,0.14668765577856488,nan,490,24976-1787225886448237200,24976,1003520,1,1,0,0,1.0,1.0,1.0,0.003031353699043393,0.030713748186826706,0.24878980219364166,1.6561847925186157,1,1,0,0,1.0,3.0,3.0,0.0,0.8017349243164062,0.00048828125,0.00400390662252903,0.0018613360589370131,0.022118020802736282,0.0050292969681322575,0.5029296875,-0.002933593699708581,0.0,0.0,0.0,0.0,0.003031353699043393,0.0055175782181322575,0.009998745837947354,1.8118336721394506,1.0,0.5315850539310549,-0.01820395692166957,0.5445187254385515,0.493513286113739,0.024096298962831497,0.5119593143463135,0.5478802919387817,0.5647861957550049,0.5834668278694153,0.0,0.0,0.0,1.3446229262785478,0.012162137636385689,0.052911931818181816,1.586323012005199,0.00016549333333333333,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.7374488711357117,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
19.0,4.4,0.23110840674658148,0.5546962896982829,491,24976-1787225886448237200,24976,1005568,16,8,0,8,0.5,0.5,0.5,0.0025553139857947826,0.023434536531567574,-0.15625542402267456,3.0740911960601807,15,7,0,8,0.4666666666666667,0.6666666666666666,0.7333333333333333,0.06666666666666667,0.9723650217056274,0.00146484375,0.00146484375,-0.00023430974397342652,0.03699600696563721,0.0007812500116415322,0.078125,-0.002433593850582838,0.0,0.0,0.0,0.0,0.0025553139857947826,0.002246093761641532,0.010655268055415945,4.741799491104514,1.0,1.08299613132523,-0.012978009600192308,0.2452689677476883,0.17810586094856262,0.035911887884140015,0.19907604157924652,0.24990469217300415,0.295134961605072,0.298389196395874,0.0,0.0,0.0,1.8628774881362915,0.012476248340681196,0.07135416666666666,1.875187130769094,0.00016481066666666666,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.5110299587249756,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
34.0,8.133333333333333,0.23891920829706922,0.344463058312734,492,24976-1787225886448237200,24976,1007616,18,10,0,8,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0019904309883713722,0.03350832313299179,-0.20852142572402954,1.911584496498108,2,2,0,0,1.0,1.5,2.0,0.5,0.8411929607391357,0.0009765625,0.002490234561264515,0.00019610632443800569,0.022010181099176407,0.0023925781715661287,0.2392578125,-0.003119140863418579,0.0,0.0,0.0,0.0,0.0019904309883713722,0.0033691406715661287,0.008041806417168118,2.3861931001921746,1.0,0.9255224536277566,-0.01572545903424422,0.5915967881679535,0.47400155663490295,0.06632011383771896,0.5173397660255432,0.5855957269668579,0.6839845776557922,0.7103276252746582,0.0,0.0,0.0,1.7329072554906209,0.01485129692106663,0.087109375,2.047178093592326,0.000164128,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.7617779970169067,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
47.5,11.5,0.24197882547894345,0.268387903769811,493,24976-1787225886448237200,24976,1009664,32,14,1,17,0.4375,0.4375,0.4375,0.002145373262465,0.02590065449476242,-0.4363223910331726,2.940960168838501,14,4,1,9,0.2857142857142857,0.2857142857142857,0.5,0.21428571428571427,0.9729493856430054,-0.000732421875,0.00244140625,9.099332964979112e-05,0.03215646371245384,0.0015624999068677425,0.15625,-0.00255468743853271,0.0,0.0,0.0,0.0,0.002145373262465,0.0008300780318677425,0.010503270510525908,12.638127958840567,1.0,3.0739441310840254,-0.01629179351342221,0.22851445153355598,0.19820237159729004,0.02450597658753395,0.20830635726451874,0.21949273347854614,0.2539970278739929,0.29074573516845703,0.0,0.0,0.0,1.9336356619993846,0.006956320537331824,0.039713541666666664,1.7077150742212932,0.00016344533333333334,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.48370206356048584,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
61.5,15.0,0.24381744311013487,0.19579182006418705,494,24976-1787225886448237200,24976,1011712,34,16,1,17,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.0023776160087436438,0.030349839478731155,0.5613048076629639,2.06917142868042,2,2,0,0,1.0,2.0,2.0,0.0,0.9012002944946289,0.0009765625,0.0028808594215661287,0.00011505829752422869,0.02307659201323986,0.0032226562034338713,0.322265625,-0.0030019532423466444,0.0,0.0,0.0,0.0,0.0023776160087436438,0.004199218703433871,0.008678771999257151,2.066266690389683,1.0,0.7147135552471137,-0.020187384623568505,0.4176808726042509,0.3730732798576355,0.025391772389411926,0.39017966389656067,0.4143278896808624,0.4524027109146118,0.4641929268836975,0.0,0.0,0.0,1.8928415924310684,0.01024654586763063,0.0762939453125,1.661844089627266,0.00016276266666666667,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.650390625,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
77.5,19.0,0.24511252287273538,0.17261341027915478,495,24976-1787225886448237200,24976,1013760,48,24,1,23,0.5,0.5,0.5,0.002125853206962347,0.02482568472623825,-0.27419719099998474,2.786942720413208,14,8,0,6,0.5714285714285714,0.8571428571428571,1.0,0.14285714285714285,0.9489541053771973,0.00244140625,0.001953125,-7.86559539847076e-05,0.028575468808412552,-0.000244140625,-0.0244140625,-0.0025214843917638063,0.0,0.0,0.0,0.0,0.002125853206962347,0.002197265625,0.009077328213606961,4.129313632699397,1.0,1.147033535478137,-0.02205655162106268,0.39623170532286167,0.3498823642730713,0.026918433606624603,0.36525651812553406,0.39190396666526794,0.43222934007644653,0.45508480072021484,0.0,0.0,0.0,1.9315747544169426,0.006811090381233953,0.0445556640625,1.901211455464363,0.00016208,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.6296634078025818,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
93.5,23.0,0.24595791443558407,0.14490608591586351,496,24976-1787225886448237200,24976,1015808,54,27,1,26,0.5,0.5,0.5,0.0017368060071021318,0.036292076110839844,-0.7020076513290405,2.372701644897461,6,3,0,3,0.5,0.8333333333333334,1.1666666666666667,0.3333333333333333,0.9573063254356384,0.000732421875,0.0018554688431322575,-0.001359592191874981,0.026479147374629974,0.0012207030085846782,0.1220703125,-0.002749999985098839,0.0,0.0,0.0,0.0,0.0017368060071021318,0.0019531248835846782,0.008135357638821006,4.1631718152513235,1.0,1.4072795491218526,-0.02122805325780064,0.24149531219154596,0.20452114939689636,0.02144528366625309,0.21447721123695374,0.23806853592395782,0.2678191661834717,0.28169307112693787,0.0,0.0,0.0,2.0374689027667046,0.008188423664250877,0.0511474609375,1.8870137706398964,0.00016139733333333335,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.49025824666023254,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
109.5,27.0,0.24655353572914665,0.12049216032028198,497,24976-1787225886448237200,24976,1017856,65,31,2,32,0.47692307692307695,0.48,0.47692307692307695,0.0013436353765428066,0.03475431352853775,-0.43537986278533936,2.593252182006836,11,4,1,6,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.18181818181818182,0.929802656173706,0.0,0.002490234561264515,0.00027718552155420184,0.020902136340737343,0.0006835937383584678,0.068359375,-0.0027792968321591616,0.0,0.0,0.0,0.0,0.0013436353765428066,0.0006835937383584678,0.007785065026837401,11.371802852746772,1.0,4.059775420709242,-0.022422487381845713,0.4464135207235813,0.35406577587127686,0.04511655122041702,0.38654404878616333,0.44527655839920044,0.5007150173187256,0.5293707847595215,0.0,0.0,0.0,1.996632657945156,0.005296462828482618,0.0372314453125,2.1667384430766106,0.00016071466666666667,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.6870765089988708,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
125.5,31.0,0.2469959599570504,0.11699254717677832,498,24976-1787225886448237200,24976,1019904,71,34,4,33,0.4788732394366197,0.46,0.4788732394366197,0.0008448598673567176,0.0370372049510479,-0.16582942008972168,2.4337644577026367,6,3,2,1,0.5,0.3333333333333333,1.3333333333333333,1.0,0.8964399695396423,0.000244140625,0.0015625000232830644,-0.00038634182419627905,0.02084451913833618,-0.0007324219914153218,-0.0732421875,-0.002755859401077032,0.0,0.0,0.0,0.0,0.0008448598673567176,-0.0004882813664153218,0.00667704435181804,13.646635269879242,1.0,5.632463425426561,-0.028337407973594964,0.5944566614925861,0.49742722511291504,0.049669452011585236,0.5271830558776855,0.5924709439277649,0.6496753692626953,0.6829138994216919,0.0,0.0,0.0,1.9437887072563171,0.011210735899112478,0.0745849609375,1.4216465838253498,0.000160032,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.7832034826278687,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
141.5,35.0,0.24733761196889187,0.10920949373394251,499,24976-1787225886448237200,24976,1021952,81,39,6,36,0.48148148148148145,0.5,0.48148148148148145,0.0018635799642652273,0.03108784928917885,-0.32530373334884644,2.5086100101470947,10,5,2,3,0.5,0.3,0.8,0.5,0.9398835897445679,0.000732421875,0.0015625000232830644,-0.0009019150747917593,0.025744764134287834,0.0017578124534338713,0.17578125,-0.002628906164318323,0.0,0.0,0.0,0.0,0.0018635799642652273,0.0024902343284338713,0.007773212288157083,3.12022526321069,1.0,1.0552624995220743,-0.03245739691192284,0.3754781074821949,0.31276339292526245,0.033012501895427704,0.33547717332839966,0.3743603229522705,0.4257946014404297,0.42610394954681396,0.0,0.0,0.0,1.9993438720703125,0.00802383200971235,0.0556640625,1.381224550306797,0.00015934933333333336,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.6150773167610168,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
