policy,map,requested_opponent,resolved_opponent,opponent,episodes,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,blocked_movement_events,stuck_steps,repeated_blocked_movement,upper_lane_use,lower_lane_use,neutral_lane_use,route_switches,movement_attempts,successful_movement_steps,obstacle_collisions_per_1000_steps,blocked_movements_per_1000_movement_attempts,stuck_steps_per_1000_steps,successful_movement_rate,upper_lane_fraction,lower_lane_fraction,route_switches_per_episode,episode_steps,collision_metric_source,stuck_metric_source,route_metric_source,route_crossings
baseline,map_a_open,OP10,OP10,OP10,1,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,164.0,164.0,0.0,0.0,0.0,1.0,,,,82.0,environment_exact,environment_exact,unavailable,0.0
baseline,map_a_open,OP8,OP8,OP8,1,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,162.0,162.0,0.0,0.0,0.0,1.0,,,,81.0,environment_exact,environment_exact,unavailable,0.0
baseline,map_a_open,OP9,OP9,OP9,1,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,162.0,162.0,0.0,0.0,0.0,1.0,,,,81.0,environment_exact,environment_exact,unavailable,0.0
baseline,map_b_split_lane,OP10,OP10,OP10,1,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,81.0,132.0,2.0,222.0,222.0,0.0,0.0,0.0,1.0,0.04054054054054054,0.36486486486486486,2.0,111.0,environment_exact,environment_exact,environment_exact,90.0
baseline,map_b_split_lane,OP8,OP8,OP8,1,2.0,3.0,0.0,1.0,0.0,-1.0,10.0,9.0,5.0,5.0,76.0,65.0,151.0,8.0,292.0,283.0,68.4931506849315,30.82191780821918,34.24657534246575,0.9691780821917808,0.2602739726027397,0.2226027397260274,8.0,146.0,environment_exact,environment_exact,environment_exact,141.0
baseline,map_b_split_lane,OP9,OP9,OP9,1,3.0,2.0,1.0,0.0,0.0,1.0,5.0,3.0,1.0,1.0,0.0,104.0,116.0,0.0,220.0,217.0,45.45454545454545,13.636363636363637,9.090909090909092,0.9863636363636363,0.0,0.4727272727272727,0.0,110.0,environment_exact,environment_exact,environment_exact,104.0
candidate,map_a_open,OP10,OP10,OP10,1,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,162.0,162.0,0.0,0.0,0.0,1.0,,,,81.0,environment_exact,environment_exact,unavailable,0.0
candidate,map_a_open,OP8,OP8,OP8,1,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,174.0,174.0,0.0,0.0,0.0,1.0,,,,87.0,environment_exact,environment_exact,unavailable,0.0
candidate,map_a_open,OP9,OP9,OP9,1,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,180.0,180.0,0.0,0.0,0.0,1.0,,,,90.0,environment_exact,environment_exact,unavailable,0.0
candidate,map_b_split_lane,OP10,OP10,OP10,1,3.0,2.0,1.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0,72.0,27.0,127.0,3.0,226.0,223.0,35.39823008849557,13.274336283185841,8.849557522123893,0.9867256637168141,0.3185840707964602,0.11946902654867257,3.0,113.0,environment_exact,environment_exact,environment_exact,99.0
candidate,map_b_split_lane,OP8,OP8,OP8,1,3.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,56.0,37.0,121.0,5.0,214.0,211.0,28.037383177570092,14.018691588785046,9.345794392523365,0.985981308411215,0.2616822429906542,0.17289719626168223,5.0,107.0,environment_exact,environment_exact,environment_exact,93.0
candidate,map_b_split_lane,OP9,OP9,OP9,1,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,94.0,123.0,2.0,226.0,226.0,0.0,0.0,0.0,1.0,0.03982300884955752,0.415929203539823,2.0,113.0,environment_exact,environment_exact,environment_exact,103.0
