pole,seed,pair,steps,n_ticks,n_active,n_tagged,n_carrying,n_dead,n_in,n_out,tgt,tgt_in,tgt_out,dir,dir_in,dir_out,tgt_all,dir_joint,dir_any,gohome_legal,w_empty,exact_ill,exact_ill_in,exact_ill_out,sub_cost,n_win,n_win_in,n_win_out,nat,nat_in,nat_out,itr,itr_in,itr_out,n_win_free,nat_free,itr_free,g6_tgt,g6_dir,g6_all,fid_sum,legal_bad,rt_mismatch
B,21100063,0-2,240,480,456,24,0,0,120,336,450,119,331,89,39,50,450,87,163,191,0,79,79,0,174.53401256619875,200,51,149,190,46,144,200,51,149,21,21,21,88,0,0,124.49785574755579,0,0
A,21100064,0-3,145,290,275,15,0,0,151,124,264,149,115,114,56,58,264,112,203,2,0,111,111,0,227.2541448806209,120,62,58,110,56,54,120,62,58,1,1,1,9,0,0,94.77647151319182,0,0
B,21100064,0-3,240,480,457,23,0,0,157,300,443,157,286,132,53,79,443,132,234,2,0,133,133,0,275.0617610604244,199,65,134,191,63,128,199,65,134,17,17,17,34,0,0,170.39138488613276,0,0
A,21100065,1-2,200,400,379,21,0,0,59,320,374,57,317,40,31,9,374,38,71,0,0,28,28,0,55.93610462168355,161,9,152,161,9,152,161,9,152,0,0,0,72,1,0,22.817744484312602,0,0
B,21100065,1-2,240,480,457,23,0,0,68,389,454,68,386,41,30,11,454,40,80,0,0,32,32,0,61.766510921163274,200,21,179,198,21,177,197,21,176,0,0,0,136,2,0,43.98201219176565,0,0
A,21100066,1-3,240,480,335,145,0,0,219,116,323,214,109,200,168,32,323,194,249,1,0,36,36,0,69.9559730154575,75,25,50,71,24,47,75,25,50,0,0,0,13,2,0,33.89579946012251,0,0
B,21100066,1-3,240,480,458,22,0,0,140,318,456,140,316,114,56,58,456,114,192,2,0,94,94,0,197.0350464867218,199,49,150,194,46,148,199,49,150,1,1,1,72,1,0,165.02543240756378,0,0
A,21100067,2-3,240,480,480,0,0,0,81,399,469,81,388,58,16,42,469,58,119,2,0,80,80,0,168.13387063601382,226,46,180,221,41,180,224,45,179,12,11,12,100,0,0,98.33691776684545,0,0
B,21100067,2-3,240,480,429,51,0,0,154,275,424,154,270,129,69,60,424,128,202,1,0,87,87,0,175.48064073676866,171,50,121,166,50,116,171,50,121,0,0,0,65,1,0,72.12456824370113,0,0
A,21100068,0-1,198,396,372,24,0,0,181,191,356,181,175,136,75,61,356,136,242,1,0,134,134,0,277.29735327150865,158,82,76,153,78,75,158,82,76,0,0,0,16,3,0,164.0943488783968,0,0
B,21100068,0-1,240,480,478,2,0,0,171,307,473,171,302,134,62,72,473,134,238,1,0,132,132,0,271.5085400709982,225,68,157,221,64,157,225,68,157,0,0,0,22,1,0,204.34261243514683,0,0
A,21100069,0-2,240,480,356,124,0,0,228,128,345,224,121,194,147,47,345,189,273,1,0,69,69,0,137.71391717503752,90,33,57,87,33,54,90,33,57,0,0,0,13,0,0,78.99337015566385,0,0
B,21100069,0-2,240,480,480,0,0,0,64,416,477,64,413,40,25,15,477,40,77,1,0,42,42,0,85.21893046758191,226,21,205,221,21,200,225,21,204,2,2,2,145,0,0,14.68460330738721,0,0
A,21100070,0-3,164,328,305,23,0,0,183,122,293,181,112,168,69,99,293,164,262,1,0,148,148,0,304.7407304474178,124,70,54,112,61,51,120,69,51,0,0,0,0,0,0,213.9138389065804,0,0
B,21100070,0-3,240,480,452,28,0,0,177,275,443,177,266,156,87,69,443,154,233,55,0,87,87,0,209.9282655211293,197,69,128,189,67,122,194,69,125,29,29,29,49,2,0,167.61863520417924,0,0
A,21100071,1-2,240,480,303,177,0,0,226,77,299,226,73,210,190,20,299,209,247,0,0,19,19,0,35.72962013684111,47,16,31,45,15,30,47,16,31,0,0,0,6,5,1,52.31790450224659,0,0
B,21100071,1-2,240,480,433,47,0,0,181,252,425,181,244,161,88,73,425,161,247,1,0,113,113,0,229.55998010003498,172,59,113,165,56,109,172,59,113,0,0,0,59,1,0,83.90275018595875,0,0
A,21100072,1-3,240,480,317,163,0,0,222,95,306,222,84,192,171,21,306,191,245,0,0,47,47,0,93.9125012935992,52,15,37,46,13,33,48,15,33,0,0,0,5,0,0,46.85391505874964,0,0
B,21100072,1-3,240,480,457,23,0,0,161,296,451,161,290,133,63,70,451,133,228,1,0,125,125,0,254.31794341433243,199,53,146,184,45,139,198,53,145,24,24,24,78,2,0,124.0186213043937,0,0
A,21100073,2-3,240,480,303,177,0,0,245,58,295,243,52,209,181,28,295,203,275,1,0,43,43,0,87.80157466277227,49,28,21,45,24,21,49,28,21,0,0,0,0,0,0,51.865452185061315,0,0
B,21100073,2-3,240,480,413,67,0,0,247,166,404,247,157,198,103,95,404,198,341,76,0,133,133,0,323.2937100346524,154,83,71,145,78,67,154,83,71,1,1,1,0,1,0,192.4036068880718,0,0
A,21100074,0-1,176,352,352,0,0,0,115,237,347,115,232,88,58,30,347,87,145,0,0,79,79,0,159.83775039115898,162,56,106,160,54,106,161,56,105,5,5,5,2,6,0,164.70712373158395,0,0
B,21100074,0-1,240,480,304,176,0,0,252,52,297,250,47,232,203,29,297,227,279,0,0,25,25,0,47.976690820616234,49,38,11,47,37,10,49,38,11,0,0,0,0,5,0,51.20061139345191,0,0
A,21100075,0-2,240,480,480,0,0,0,122,358,466,122,344,92,30,62,466,92,181,1,0,121,121,0,251.51356314130203,226,71,155,217,64,153,224,70,154,24,23,24,103,0,0,123.19530282236491,0,0
B,21100075,0-2,240,480,385,95,0,0,169,216,382,168,214,163,112,51,382,161,218,1,0,41,41,0,83.91020402212492,126,43,83,125,43,82,126,43,83,15,15,15,30,1,0,56.2630397167979,0,0
A,21100076,0-3,199,398,348,36,14,0,120,228,342,120,222,94,62,32,342,94,150,0,0,52,52,0,99.09092690959042,129,39,90,129,39,90,128,39,89,0,0,0,36,1,0,77.93742225658285,0,0
B,21100076,0-3,240,480,454,26,0,0,109,345,444,109,335,87,47,40,444,86,148,0,0,72,72,0,143.58093192216674,198,44,154,195,43,152,198,44,154,16,16,16,31,1,0,39.45453937347828,0,0
A,21100077,1-2,240,480,401,79,0,0,177,224,397,177,220,143,100,43,397,143,212,1,0,79,79,0,159.38642680163372,153,44,109,145,41,104,153,44,109,0,0,0,6,1,0,63.08902274208536,0,0
B,21100077,1-2,240,480,456,24,0,0,152,304,450,152,298,107,64,43,450,107,191,1,0,99,99,0,198.9629519279565,199,49,150,191,48,143,196,49,147,2,2,2,29,1,0,80.72101199226424,0,0
A,21100078,1-3,240,480,284,196,0,0,240,44,280,238,42,204,184,20,280,201,257,1,0,32,32,0,67.49162168066482,33,21,12,32,20,12,33,21,12,0,0,0,0,0,0,25.723727971663745,0,0
B,21100078,1-3,240,480,480,0,0,0,152,328,474,152,322,113,32,81,474,113,225,1,0,151,151,0,315.5104732922735,226,70,156,219,65,154,226,70,156,5,5,5,70,0,0,124.98781022732247,0,0
A,21100079,2-3,240,480,393,87,0,0,229,164,380,229,151,191,146,45,380,190,273,0,0,78,78,0,157.2943568037325,139,71,68,135,68,67,139,71,68,4,4,4,16,7,0,116.30218662274395,0,0
B,21100079,2-3,240,480,448,32,0,0,159,289,444,159,285,124,74,50,444,124,203,1,0,95,95,0,190.02334924758125,187,55,132,179,53,126,181,55,126,0,0,0,66,4,0,55.60912475702709,0,0
A,21100080,0-1,179,358,358,0,0,0,164,194,351,164,187,139,50,89,351,139,243,1,0,153,153,0,314.77009361189084,164,85,79,156,78,78,164,85,79,14,14,14,1,0,0,127.95701186202326,0,0
B,21100080,0-1,240,480,435,45,0,0,218,217,429,218,211,181,96,85,429,181,299,76,0,106,106,0,304.0706866703922,173,81,92,160,76,84,168,81,87,7,7,7,31,2,0,117.57155742718895,0,0
A,21100081,0-2,240,480,479,1,0,0,104,375,471,104,367,74,39,35,471,74,137,1,0,80,80,0,166.953266842403,225,39,186,224,39,185,223,39,184,0,0,0,73,0,0,89.99437572709739,0,0
B,21100081,0-2,240,480,480,0,0,0,52,428,476,52,424,21,7,14,476,21,62,1,0,50,50,0,101.19130979400639,226,28,198,225,27,198,226,28,198,0,0,0,171,0,0,27.45441755474877,0,0
A,21100082,0-3,240,480,376,104,0,0,206,170,364,206,158,203,142,61,364,199,270,0,0,76,76,0,152.44861387077958,119,49,70,117,49,68,119,49,70,8,8,8,8,0,0,101.02212667105532,0,0
B,21100082,0-3,240,480,457,23,0,0,139,318,449,139,310,115,62,53,449,114,186,2,0,96,96,0,189.2720539023722,200,67,133,191,63,128,199,66,133,5,5,5,55,2,0,152.84114351519636,0,0
A,21100083,1-2,240,480,304,176,0,0,230,74,300,229,71,219,179,40,300,216,264,0,0,24,24,0,45.54512708549024,41,20,21,41,20,21,41,20,21,0,0,0,4,1,0,39.65909172062583,0,0
B,21100083,1-2,240,480,468,12,0,0,150,318,461,150,311,107,53,54,461,106,193,1,0,111,111,0,223.2840539044687,212,70,142,205,68,137,210,70,140,4,4,4,30,8,1,122.3809558482797,0,0
A,21100084,1-3,240,480,436,44,0,0,179,257,428,179,249,159,83,76,428,158,249,0,0,117,117,0,236.2396215157323,175,60,115,174,59,115,175,60,115,14,14,14,53,0,0,73.82822601225203,0,0
B,21100084,1-3,240,480,480,0,0,0,119,361,474,119,355,95,34,61,474,95,174,0,0,115,115,0,233.6188372147513,226,66,160,221,64,157,226,66,160,7,7,7,105,0,0,85.71083356816557,0,0
A,21100085,2-3,240,480,418,58,4,0,163,255,410,163,247,136,89,47,410,134,204,1,0,69,69,0,131.3296073008948,163,49,114,157,48,109,161,49,112,0,0,0,56,4,0,96.62397981786137,0,0
B,21100085,2-3,240,480,480,0,0,0,145,335,477,145,332,122,35,87,477,122,212,2,0,143,143,0,299.339914327699,226,74,152,215,69,146,226,74,152,2,2,2,85,0,0,132.11585542973125,0,0
A,21100086,0-1,240,480,328,152,0,0,226,102,320,223,97,210,166,44,320,205,261,0,0,52,52,0,105.49583235671103,68,35,33,66,35,31,68,35,33,0,0,0,4,3,0,89.54640158509974,0,0
B,21100086,0-1,240,480,452,23,5,0,58,394,448,58,390,49,20,29,448,49,88,0,0,32,32,0,66.42325753521544,196,21,175,193,20,173,196,21,175,1,1,1,42,1,0,63.652642701684364,0,0
A,21100087,0-2,206,412,391,21,0,0,158,233,389,158,231,132,55,77,389,131,218,1,0,125,125,0,254.2787263966384,166,63,103,153,57,96,166,63,103,4,4,4,22,3,0,132.43563480921136,0,0
B,21100087,0-2,240,480,480,0,0,0,184,296,476,184,292,159,47,112,476,159,275,1,0,183,183,0,381.59662562476666,226,88,138,213,79,134,226,88,138,0,0,0,52,0,0,200.82057240025034,0,0
A,21100088,0-3,240,480,372,108,0,0,195,177,362,193,169,169,110,59,362,166,261,1,0,89,89,0,181.2545609734277,114,40,74,105,37,68,113,40,73,0,0,0,3,0,0,127.7154788756183,0,0
B,21100088,0-3,240,480,472,8,0,0,125,347,465,125,340,93,51,42,465,92,171,1,0,92,92,0,192.36125590607242,215,57,158,212,56,156,215,57,158,22,22,22,54,3,0,142.67170082201395,0,0
A,21100089,1-2,213,426,376,50,0,0,206,170,366,206,160,144,104,40,366,144,238,0,0,96,96,0,188.80802828581662,139,58,81,134,54,80,139,58,81,2,2,2,20,3,0,166.23243630038579,0,0
B,21100089,1-2,240,480,412,68,0,0,230,182,403,230,173,184,95,89,403,184,297,1,0,140,140,0,286.18600643482023,153,79,74,147,75,72,150,78,72,0,0,0,14,3,0,186.61797216513025,0,0
A,21100090,1-3,238,476,476,0,0,0,70,406,473,70,403,37,5,32,473,37,96,2,0,69,69,0,144.57592471269325,224,35,189,224,35,189,224,35,189,42,42,42,2,0,0,115.50296804362237,0,0
B,21100090,1-3,240,480,480,0,0,0,38,442,476,38,438,17,5,12,476,17,53,1,0,37,37,0,78.8776183230683,226,16,210,226,16,210,226,16,210,0,0,0,45,0,0,43.850594706655855,0,0
A,21100091,2-3,240,480,331,149,0,0,247,84,321,244,77,189,158,31,321,185,280,0,0,68,68,0,126.26024521554133,69,33,36,64,30,34,69,33,36,1,1,1,1,0,0,70.9810129301316,0,0
B,21100091,2-3,240,480,470,10,0,0,97,373,464,97,367,64,43,21,464,63,120,1,0,64,64,0,128.37861417834085,213,44,169,207,39,168,213,44,169,0,0,0,76,2,0,86.52210932520148,0,0
A,21100092,0-1,207,414,414,0,0,0,96,318,405,96,309,67,19,48,405,67,135,1,0,95,95,0,196.05169779174133,192,53,139,188,50,138,192,53,139,0,0,0,27,0,0,131.59286944536777,0,0
B,21100092,0-1,240,480,429,51,0,0,139,290,424,139,285,113,74,39,424,112,175,1,0,62,62,0,122.7226482035485,177,42,135,166,37,129,176,42,134,22,22,22,73,2,0,99.81629956559057,0,0
A,21100093,0-2,240,480,332,148,0,0,255,77,325,253,72,245,192,53,325,240,309,1,0,67,67,0,133.36367574158086,79,53,26,78,52,26,79,53,26,0,0,0,0,7,0,92.98390384907279,0,0
B,21100093,0-2,240,480,456,24,0,0,150,306,451,150,301,125,58,67,451,125,207,2,0,113,113,0,232.6397729068121,199,60,139,188,52,136,199,60,139,0,0,0,51,1,0,142.13380115202912,0,0
A,21100094,0-3,240,480,460,20,0,0,163,297,443,163,280,131,62,69,443,130,229,2,0,127,127,0,258.3601497550913,202,63,139,199,61,138,202,63,139,0,0,0,14,0,0,154.01755039263062,0,0
B,21100094,0-3,240,480,480,0,0,0,129,351,474,129,345,118,39,79,474,118,205,2,0,127,127,0,265.7244962793314,226,60,166,222,58,164,226,60,166,0,0,0,12,0,0,184.86590415013774,0,0
A,21100095,1-2,237,474,382,92,0,0,219,163,376,219,157,188,145,43,376,187,261,0,0,87,87,0,174.94775838735052,118,47,71,112,42,70,118,47,71,0,0,0,14,5,0,85.69667328037698,0,0
B,21100095,1-2,240,480,480,0,0,0,76,404,474,76,398,41,25,16,474,41,90,1,0,53,53,0,107.94350287201675,226,29,197,222,27,195,224,29,195,0,0,0,135,0,0,89.94397809306773,0,0
A,21100096,1-3,193,386,377,9,0,0,175,202,371,175,196,146,67,79,371,146,247,1,0,142,142,0,290.55721038463173,166,84,82,156,76,80,166,84,82,3,3,3,27,4,0,127.09572676789588,0,0
B,21100096,1-3,240,480,457,23,0,0,203,254,446,203,243,163,73,90,446,163,282,1,0,171,171,0,343.50427273830695,200,82,118,189,77,112,200,82,118,3,3,3,42,1,1,95.75118434219459,0,0
A,21100097,2-3,141,282,282,0,0,0,17,265,281,17,264,4,0,4,281,4,22,1,0,16,16,0,34.49363560411742,126,8,118,126,8,118,126,8,118,0,0,0,110,0,0,27.32893021109801,0,0
B,21100097,2-3,240,480,435,45,0,0,187,248,428,186,242,162,79,83,428,161,266,2,0,125,125,0,261.54810253560316,174,68,106,164,65,99,172,67,105,14,14,14,32,2,0,100.60183478253627,0,0
A,21100098,0-1,240,480,387,93,0,0,228,159,381,227,154,185,123,62,381,185,273,1,0,104,104,0,212.5996963750576,133,59,74,127,56,71,131,59,72,15,15,15,24,4,0,132.47528458999705,0,0
B,21100098,0-1,240,480,461,19,0,0,92,369,458,92,366,70,38,32,458,70,118,1,0,62,62,0,126.3353472303798,201,34,167,198,32,166,201,34,167,32,32,32,23,1,0,72.64506306075971,0,0
A,21100099,0-2,236,472,472,0,0,0,143,329,467,143,324,126,34,92,467,126,219,1,0,142,142,0,296.1339862517187,222,64,158,209,55,154,222,64,158,10,10,10,85,0,0,201.86848577622405,0,0
B,21100099,0-2,240,480,455,25,0,0,186,269,448,186,262,162,55,107,448,162,270,1,0,151,151,0,311.2318162394154,198,69,129,184,62,122,198,69,129,10,10,10,1,0,0,154.16753166947018,0,0
A,21100100,0-3,240,480,346,134,0,0,219,127,332,215,117,210,165,45,332,201,262,0,0,52,52,0,103.18912726212855,86,36,50,82,35,47,86,36,50,5,5,5,8,0,0,68.97601040626583,0,0
B,21100100,0-3,240,480,458,22,0,0,202,256,446,202,244,174,73,101,446,174,294,2,0,170,170,0,351.2871738188206,200,83,117,187,76,111,198,82,116,6,6,6,40,1,0,230.79537647376736,0,0
A,21100101,1-2,147,294,284,10,0,0,129,155,279,129,150,109,58,51,279,109,177,2,0,97,97,0,203.07145691767928,120,54,66,111,48,63,120,54,66,1,1,1,21,3,0,95.84767759156192,0,0
B,21100101,1-2,240,480,480,0,0,0,145,335,472,145,327,128,46,82,472,128,217,2,0,142,142,0,294.62058433239207,226,73,153,220,68,152,226,73,153,2,2,2,39,0,0,237.4394438560068,0,0
A,21100102,1-3,240,480,452,28,0,0,172,280,445,172,273,168,103,65,445,168,234,2,0,111,111,0,224.09556211939994,190,65,125,184,61,123,190,65,125,14,14,14,68,1,0,91.79740414742007,0,0
B,21100102,1-3,240,480,468,12,0,0,144,324,459,144,315,107,59,48,459,107,191,1,0,102,102,0,212.01406159953282,212,70,142,204,63,141,212,70,142,1,1,1,90,8,0,173.48968352273346,0,0
A,21100103,2-3,240,480,480,0,0,0,18,462,479,18,461,3,0,3,479,3,21,1,0,17,17,0,37.363082363558675,226,10,216,226,10,216,226,10,216,0,0,0,155,0,0,13.72978431864586,0,0
B,21100103,2-3,240,480,457,23,0,0,226,231,453,226,227,186,105,81,453,186,306,2,0,152,152,0,317.7341012755705,199,89,110,190,87,103,197,89,108,9,9,9,1,8,0,110.34931357711648,0,0
A,21100104,0-1,240,480,480,0,0,0,179,301,472,179,293,154,79,75,472,154,248,1,0,143,143,0,294.20735745644333,226,82,144,221,80,141,226,82,144,16,16,16,30,9,1,173.88219082767588,0,0
B,21100104,0-1,240,480,436,44,0,0,160,276,434,159,275,139,84,55,434,138,211,1,0,71,71,0,146.41627493332618,183,51,132,182,51,131,183,51,132,1,1,1,64,2,0,116.02085680456318,0,0
A,21100105,0-2,240,480,394,86,0,0,208,186,388,208,180,178,111,67,388,178,268,0,0,94,94,0,185.56884387558924,129,62,67,124,59,65,129,62,67,3,3,3,5,3,0,113.52911566057738,0,0
B,21100105,0-2,240,480,444,36,0,0,192,252,430,190,240,158,92,66,430,155,250,1,0,123,123,0,248.58722315784624,186,80,106,181,77,104,186,80,106,1,1,1,32,6,0,110.87436385696084,0,0
A,21100106,0-3,173,346,308,38,0,0,185,123,296,185,111,156,100,56,296,156,240,0,0,103,103,0,206.5076222813896,120,65,55,110,55,55,120,65,55,0,0,0,0,3,0,153.39888590002644,0,0
B,21100106,0-3,240,480,462,18,0,0,118,344,455,118,337,98,48,50,455,98,173,0,0,88,88,0,176.27204042929128,202,43,159,195,39,156,202,43,159,0,0,0,55,0,0,136.93253629117024,0,0
A,21100107,1-2,240,480,406,74,0,0,265,141,396,265,131,231,160,71,396,230,326,0,0,130,130,0,258.5041924399617,148,96,52,142,92,50,144,95,49,7,7,7,1,8,0,179.80306501483625,0,0
B,21100107,1-2,240,480,455,25,0,0,177,278,451,177,274,132,57,75,451,132,240,1,0,137,137,0,279.7269552933167,199,70,129,193,67,126,199,70,129,0,0,0,79,2,0,96.38245575330441,0,0
A,21100108,1-3,240,480,300,180,0,0,234,66,292,229,63,196,178,18,292,190,248,1,0,23,23,0,45.4871120862858,43,19,24,42,18,24,41,19,22,4,4,4,5,0,0,39.70713409234533,0,0
B,21100108,1-3,240,480,443,37,0,0,169,274,435,169,266,129,67,62,435,128,229,1,0,112,112,0,232.7006754201589,179,59,120,171,55,116,179,59,120,0,0,0,62,3,0,207.26734079049373,0,0
A,21100109,2-3,240,480,460,20,0,0,145,315,453,145,308,106,66,40,453,106,186,1,0,88,88,0,172.9193984455414,201,42,159,193,41,152,197,42,155,10,10,10,38,2,0,97.37788440069872,0,0
B,21100109,2-3,240,480,457,23,0,0,187,270,439,187,252,123,58,65,439,123,256,0,0,134,134,0,272.5164177791655,200,67,133,192,62,130,200,67,133,0,0,0,34,2,0,154.7669299246219,0,0
A,21100110,0-1,240,480,390,90,0,0,257,133,387,257,130,236,161,75,387,235,315,1,0,97,97,0,195.60791019966086,133,75,58,124,68,56,133,75,58,0,0,0,9,4,0,162.29939555272168,0,0
B,21100110,0-1,240,480,276,204,0,0,239,37,273,238,35,232,205,27,273,231,263,0,0,23,23,0,43.695093269011196,24,16,8,23,15,8,24,16,8,0,0,0,0,3,0,26.815960187934184,0,0
A,21100111,0-2,230,460,416,44,0,0,124,292,411,124,287,88,55,33,411,86,157,1,0,59,59,0,115.38493808619586,164,37,127,161,35,126,160,37,123,2,2,2,42,1,0,97.14438733681365,0,0
B,21100111,0-2,240,480,401,79,0,0,261,140,396,260,136,226,142,84,396,225,335,0,0,138,138,0,275.1502366747976,150,84,66,139,77,62,150,84,66,0,0,0,0,0,0,109.17741799323674,0,0
A,21100112,0-3,160,320,298,22,0,0,158,140,293,158,135,132,81,51,293,132,198,1,0,90,90,0,182.47837922813144,127,57,70,120,52,68,125,55,70,1,1,1,27,5,1,57.1775248122833,0,0
B,21100112,0-3,240,480,438,42,0,0,153,285,428,153,275,124,68,56,428,123,205,1,0,91,91,0,186.42680739280542,175,45,130,166,38,128,173,43,130,10,10,10,21,0,0,62.84378209703683,0,0
A,21100113,1-2,240,480,440,40,0,0,150,290,431,150,281,109,59,50,431,108,198,1,0,94,94,0,188.47239060668466,181,49,132,168,47,121,180,49,131,6,6,6,50,0,0,122.17938861772954,0,0
B,21100113,1-2,240,480,454,26,0,0,167,287,441,167,274,132,65,67,441,131,230,0,0,122,122,0,251.45862188784704,198,75,123,187,67,120,197,75,122,6,6,6,65,0,0,111.21028700344479,0,0
A,21100114,1-3,229,458,425,33,0,0,206,219,416,206,210,174,98,76,416,174,281,1,0,138,138,0,284.1261444186105,180,82,98,167,73,94,178,81,97,8,8,8,42,4,0,201.93727558208388,0,0
B,21100114,1-3,240,480,480,0,0,0,63,417,472,63,409,39,11,28,472,39,88,1,0,62,62,0,127.04256349051305,226,32,194,223,31,192,226,32,194,26,26,26,139,0,0,59.32170941543519,0,0
A,21100115,2-3,189,378,378,0,0,0,123,255,373,123,250,119,46,73,373,119,194,2,0,121,121,0,255.31439615098387,174,55,119,167,51,116,174,55,119,5,5,5,72,0,0,80.69156606849023,0,0
B,21100115,2-3,240,480,459,21,0,0,165,294,455,164,291,121,55,66,455,120,226,1,0,129,129,0,258.58590347216307,201,76,125,197,72,125,201,76,125,3,3,3,58,0,0,95.67159087884525,0,0
A,21100116,0-1,202,404,404,0,0,0,105,299,397,105,292,95,29,66,397,95,161,1,0,104,104,0,217.58749849162888,188,58,130,182,54,128,188,58,130,3,3,3,78,0,0,98.81372479430898,0,0
B,21100116,0-1,240,480,437,43,0,0,185,252,419,183,236,140,72,68,419,140,246,1,0,124,124,0,252.99552996235764,174,62,112,169,59,110,174,62,112,7,7,7,23,2,0,119.8655929431451,0,0
A,21100117,0-2,240,480,410,70,0,0,221,189,402,221,181,206,131,75,402,205,289,1,0,119,119,0,241.39891070697556,154,72,82,146,69,77,151,72,79,5,5,5,29,5,0,94.23640338743833,0,0
B,21100117,0-2,240,480,433,47,0,0,179,254,423,179,244,140,75,65,423,140,237,2,0,110,110,0,216.96978779934093,176,57,119,171,54,117,176,57,119,3,3,3,4,1,0,69.81629917189817,0,0
A,21100118,0-3,193,386,360,26,0,0,139,221,348,139,209,120,44,76,348,120,209,1,0,121,121,0,249.78522946556328,153,57,96,139,45,94,153,57,96,22,22,22,43,0,0,129.2044123327022,0,0
B,21100118,0-3,240,480,438,42,0,0,234,204,428,234,194,229,121,108,428,227,336,22,0,156,156,0,321.2763538818066,175,86,89,164,82,82,175,86,89,8,8,8,25,2,0,152.41655511498593,0,0
A,21100119,1-2,240,480,456,24,0,0,137,319,452,137,315,109,70,39,452,107,176,1,0,70,70,0,138.5449374928641,204,45,159,204,45,159,204,45,159,0,0,0,48,2,1,103.18937072912895,0,0
B,21100119,1-2,240,480,459,21,0,0,177,282,449,177,272,138,58,80,449,138,253,1,0,147,147,0,305.4566353244629,200,68,132,192,63,129,200,68,132,30,30,30,66,0,0,188.21950993750755,0,0
A,21100120,1-3,240,480,445,35,0,0,175,270,429,173,256,128,78,50,429,125,226,1,0,121,121,0,246.60975756290685,186,70,116,174,62,112,186,70,116,4,4,4,18,3,0,109.42990406110896,0,0
B,21100120,1-3,240,480,457,23,0,0,183,274,445,181,264,117,59,58,445,115,234,1,0,127,127,0,257.9842234371773,200,64,136,185,54,131,198,64,134,0,0,0,34,2,0,170.6954401982811,0,0
A,21100121,2-3,173,346,346,0,0,0,155,191,334,155,179,129,47,82,334,129,237,1,0,154,154,0,317.4936233406502,158,67,91,151,62,89,158,67,91,1,1,1,20,0,0,140.58625573130968,0,0
B,21100121,2-3,240,480,279,201,0,0,240,39,273,236,37,232,199,33,273,226,267,1,0,21,21,0,44.07158347380421,23,14,9,23,14,9,23,14,9,0,0,0,0,0,0,25.63121003351798,0,0
A,21100122,0-1,206,412,412,0,0,0,18,394,411,18,393,4,0,4,411,4,19,1,0,17,17,0,36.70534265970961,192,9,183,191,8,183,192,9,183,0,0,0,176,0,0,14.584043965371757,0,0
B,21100122,0-1,240,480,458,22,0,0,141,317,449,141,308,116,56,60,449,116,196,1,0,108,108,0,222.1995947720513,200,55,145,196,53,143,195,54,141,3,3,3,40,0,0,102.43552580193234,0,0
A,21100123,0-2,172,344,344,0,0,0,33,311,343,33,310,17,3,14,343,17,44,0,0,33,33,0,65.59398160469306,158,14,144,158,14,144,158,14,144,19,19,19,102,0,0,32.3061369315171,0,0
B,21100123,0-2,240,480,461,19,0,0,128,333,461,128,333,108,56,52,461,108,174,2,0,89,89,0,186.00247771303606,202,49,153,200,47,153,202,49,153,1,1,1,45,3,0,113.88963501431391,0,0
A,21100124,0-3,240,480,383,97,0,0,249,134,377,247,130,202,148,54,377,200,298,0,0,97,97,0,196.2055629724118,125,66,59,121,63,58,125,66,59,7,7,7,14,3,0,43.35034581478373,0,0
B,21100124,0-3,240,480,302,178,0,0,234,68,294,231,63,224,187,37,294,219,263,2,0,23,23,0,46.40895586319723,49,34,15,49,34,15,49,34,15,0,0,0,0,5,0,19.022078070669853,0,0
A,21100125,1-2,240,480,384,96,0,0,215,169,379,213,166,184,142,42,379,181,262,1,0,54,54,0,107.73850824638937,124,53,71,116,50,66,121,53,68,15,14,15,18,2,1,39.357828643521806,0,0
B,21100125,1-2,240,480,425,55,0,0,196,229,416,196,220,157,91,66,416,157,261,2,0,112,112,0,228.78167374900696,168,75,93,161,68,93,168,75,93,6,6,6,12,8,1,139.51868288452235,0,0
A,21100126,1-3,240,480,461,19,0,0,159,302,456,159,297,115,46,69,456,115,232,1,0,127,127,0,262.7157958980886,202,59,143,198,56,142,202,59,143,4,4,4,71,0,0,123.80356842261014,0,0
B,21100126,1-3,240,480,480,0,0,0,59,421,472,59,413,39,14,25,472,39,83,1,0,58,58,0,119.49261328526806,226,33,193,219,27,192,226,33,193,0,0,0,109,0,0,91.65876126854893,0,0
A,21100127,2-3,240,480,297,183,0,0,250,47,291,250,41,220,186,34,291,217,277,1,0,31,31,0,54.90184274888492,38,26,12,36,26,10,38,26,12,0,0,0,0,2,0,27.126577091600385,0,0
B,21100127,2-3,240,480,460,20,0,0,158,302,458,158,300,112,39,73,458,111,217,1,0,131,131,0,270.7623651325253,202,57,145,192,53,139,200,57,143,10,10,10,45,1,0,100.4366166335978,0,0
A,21100128,0-1,128,256,256,0,0,0,104,152,250,104,146,93,33,60,250,93,161,1,0,103,103,0,215.8755869894498,114,50,64,110,48,62,114,50,64,4,4,4,0,0,0,129.70740439780474,0,0
B,21100128,0-1,240,480,459,21,0,0,262,197,452,262,190,251,126,125,452,251,376,2,0,194,194,0,403.4029858767552,200,102,98,178,93,85,199,102,97,1,1,1,17,5,0,206.82932053338328,0,0
