pole,seed,pair,steps,n_ticks,n_active,n_tagged,n_carrying,n_dead,n_in,n_out,tgt,tgt_in,tgt_out,dir,dir_in,dir_out,tgt_all,dir_joint,dir_any,gohome_legal,w_empty,exact_ill,exact_ill_in,exact_ill_out,sub_cost,n_win,n_win_in,n_win_out,nat,nat_in,nat_out,itr,itr_in,itr_out,n_win_free,nat_free,itr_free,g6_tgt,g6_dir,g6_all,fid_sum,legal_bad,rt_mismatch
A,21100015,0-2,184,368,368,0,0,0,88,280,355,88,267,47,16,31,355,47,115,2,0,86,86,0,177.74847091646387,170,41,129,166,37,129,170,41,129,9,8,9,47,0,0,100.43809712214254,0,0
B,21100015,0-2,240,480,480,0,0,0,29,451,476,29,447,5,0,5,476,5,32,2,0,27,27,0,58.97030271895212,226,15,211,223,12,211,226,15,211,36,35,36,63,0,0,29.89861946999956,0,0
A,21100016,0-3,129,258,232,22,4,0,78,154,228,78,150,61,45,16,228,61,90,0,0,32,32,0,61.20356015423593,86,32,54,82,31,51,85,31,54,0,0,0,12,2,0,42.974823233190236,0,0
B,21100016,0-3,240,480,450,30,0,0,95,355,444,95,349,76,67,9,444,74,105,1,0,15,15,0,27.63612228417018,195,26,169,193,26,167,192,25,167,0,0,0,112,1,0,20.828643788786618,0,0
A,21100017,1-2,230,460,412,48,0,0,189,223,406,189,217,158,96,62,406,157,251,1,0,106,106,0,211.23063337216416,173,73,100,163,69,94,172,73,99,1,1,1,30,3,0,187.75056466369188,0,0
B,21100017,1-2,240,480,458,22,0,0,152,306,443,152,291,97,40,57,443,97,217,0,0,118,118,0,237.44840464687752,201,61,140,198,61,137,200,61,139,1,1,1,60,0,0,133.81004911538068,0,0
A,21100018,1-3,240,480,377,103,0,0,191,186,372,191,181,158,123,35,372,157,222,1,0,56,56,0,114.33390726035529,126,48,78,121,46,75,126,48,78,4,4,4,47,1,0,115.31849662422609,0,0
B,21100018,1-3,240,480,480,0,0,0,29,451,477,29,448,15,6,9,477,15,40,1,0,28,28,0,60.196077141289,226,17,209,226,17,209,226,17,209,0,0,0,106,0,0,60.60279461565843,0,0
A,21100019,2-3,240,480,371,109,0,0,232,139,366,232,134,206,150,56,366,205,285,1,0,82,82,0,161.04813859421324,113,48,65,108,47,61,113,48,65,7,7,7,13,2,1,98.02204529456333,0,0
B,21100019,2-3,240,480,480,0,0,0,87,393,479,87,392,53,23,30,479,52,105,1,0,55,55,0,114.5682624929687,226,32,194,221,30,191,226,32,194,3,3,3,160,2,1,57.607526262920736,0,0
A,21100020,0-1,200,400,400,0,0,0,130,270,388,130,258,96,33,63,388,96,183,1,0,129,129,0,267.24150008120665,186,60,126,173,53,120,186,60,126,8,8,8,67,0,0,140.86827908124707,0,0
