arm,pole,seed,pair,steps,blue,red,win,margin
pi_A,A,21300001,,240,1,0,1,1
A_closest,A,21300001,0-2,198,3,0,1,3
pi_B,A,21300001,,240,0,0,0,0
pi_A,B,21300001,,240,2,0,1,2
A_closest,B,21300001,0-2,240,0,0,0,0
pi_B,B,21300001,,212,3,0,1,3
pi_A,A,21300002,,240,0,0,0,0
A_closest,A,21300002,0-2,240,1,2,0,-1
pi_B,A,21300002,,240,0,0,0,0
pi_A,B,21300002,,240,0,0,0,0
A_closest,B,21300002,0-2,240,1,2,0,-1
pi_B,B,21300002,,240,0,0,0,0
pi_A,A,21300003,,240,1,0,1,1
A_closest,A,21300003,1-3,240,1,0,1,1
pi_B,A,21300003,,240,0,1,0,-1
pi_A,B,21300003,,88,3,0,1,3
A_closest,B,21300003,1-3,240,0,1,0,-1
pi_B,B,21300003,,240,0,0,0,0
pi_A,A,21300004,,240,2,0,1,2
A_closest,A,21300004,0-2,240,0,1,0,-1
pi_B,A,21300004,,173,3,0,1,3
pi_A,B,21300004,,240,0,0,0,0
A_closest,B,21300004,0-2,240,0,0,0,0
pi_B,B,21300004,,240,1,0,1,1
pi_A,A,21300005,,240,1,0,1,1
A_closest,A,21300005,3-2,173,3,2,1,1
pi_B,A,21300005,,240,1,0,1,1
pi_A,B,21300005,,214,3,0,1,3
A_closest,B,21300005,3-2,240,0,1,0,-1
pi_B,B,21300005,,240,0,0,0,0
pi_A,A,21300006,,240,1,0,1,1
A_closest,A,21300006,2-0,240,2,1,1,1
pi_B,A,21300006,,240,1,0,1,1
pi_A,B,21300006,,240,2,0,1,2
A_closest,B,21300006,2-0,240,0,1,0,-1
pi_B,B,21300006,,240,0,0,0,0
pi_A,A,21300007,,240,1,1,0,0
A_closest,A,21300007,3-2,240,2,0,1,2
pi_B,A,21300007,,153,3,0,1,3
pi_A,B,21300007,,87,3,0,1,3
A_closest,B,21300007,3-2,240,1,0,1,1
pi_B,B,21300007,,240,1,0,1,1
pi_A,A,21300008,,240,1,0,1,1
A_closest,A,21300008,1-3,240,2,1,1,1
pi_B,A,21300008,,240,0,0,0,0
pi_A,B,21300008,,240,0,0,0,0
A_closest,B,21300008,1-3,240,1,1,0,0
pi_B,B,21300008,,210,3,1,1,2
pi_A,A,21300009,,240,2,0,1,2
A_closest,A,21300009,3-1,204,3,1,1,2
pi_B,A,21300009,,240,1,0,1,1
pi_A,B,21300009,,240,0,0,0,0
A_closest,B,21300009,3-1,240,0,2,0,-2
pi_B,B,21300009,,240,0,0,0,0
pi_A,A,21300010,,240,2,0,1,2
A_closest,A,21300010,0-2,227,3,0,1,3
pi_B,A,21300010,,240,0,0,0,0
pi_A,B,21300010,,240,0,0,0,0
A_closest,B,21300010,0-2,240,1,1,0,0
pi_B,B,21300010,,240,2,0,1,2
pi_A,A,21300011,,240,1,1,0,0
A_closest,A,21300011,3-2,171,3,0,1,3
pi_B,A,21300011,,240,0,2,0,-2
pi_A,B,21300011,,240,0,0,0,0
A_closest,B,21300011,3-2,240,0,0,0,0
pi_B,B,21300011,,240,0,0,0,0
pi_A,A,21300012,,240,1,0,1,1
A_closest,A,21300012,0-2,193,3,0,1,3
pi_B,A,21300012,,240,0,0,0,0
pi_A,B,21300012,,240,0,0,0,0
A_closest,B,21300012,0-2,240,0,0,0,0
pi_B,B,21300012,,240,2,1,1,1
pi_A,A,21300013,,240,1,0,1,1
A_closest,A,21300013,0-3,240,0,0,0,0
pi_B,A,21300013,,240,0,0,0,0
pi_A,B,21300013,,89,3,0,1,3
A_closest,B,21300013,0-3,240,1,2,0,-1
pi_B,B,21300013,,174,3,0,1,3
pi_A,A,21300014,,240,1,0,1,1
A_closest,A,21300014,0-3,240,2,1,1,1
pi_B,A,21300014,,240,1,0,1,1
pi_A,B,21300014,,89,3,0,1,3
A_closest,B,21300014,0-3,240,0,1,0,-1
pi_B,B,21300014,,205,3,0,1,3
pi_A,A,21300015,,240,1,0,1,1
A_closest,A,21300015,2-1,240,2,1,1,1
pi_B,A,21300015,,240,1,0,1,1
pi_A,B,21300015,,240,2,0,1,2
A_closest,B,21300015,2-1,240,0,0,0,0
pi_B,B,21300015,,240,0,0,0,0
pi_A,A,21300016,,240,1,1,0,0
A_closest,A,21300016,0-2,240,2,1,1,1
pi_B,A,21300016,,240,1,2,0,-1
pi_A,B,21300016,,240,0,0,0,0
A_closest,B,21300016,0-2,240,0,1,0,-1
pi_B,B,21300016,,240,1,1,0,0
pi_A,A,21300017,,240,1,0,1,1
A_closest,A,21300017,3-2,168,3,0,1,3
pi_B,A,21300017,,240,0,0,0,0
pi_A,B,21300017,,240,0,0,0,0
A_closest,B,21300017,3-2,240,0,1,0,-1
pi_B,B,21300017,,240,2,0,1,2
pi_A,A,21300018,,240,1,0,1,1
A_closest,A,21300018,3-2,188,3,1,1,2
pi_B,A,21300018,,240,1,1,0,0
pi_A,B,21300018,,88,3,0,1,3
A_closest,B,21300018,3-2,240,0,0,0,0
pi_B,B,21300018,,240,1,0,1,1
pi_A,A,21300019,,240,0,0,0,0
A_closest,A,21300019,0-1,204,3,0,1,3
pi_B,A,21300019,,240,0,0,0,0
pi_A,B,21300019,,240,0,0,0,0
A_closest,B,21300019,0-1,240,0,1,0,-1
pi_B,B,21300019,,164,3,0,1,3
pi_A,A,21300020,,240,1,0,1,1
A_closest,A,21300020,2-3,222,3,0,1,3
pi_B,A,21300020,,240,2,0,1,2
pi_A,B,21300020,,86,3,0,1,3
A_closest,B,21300020,2-3,240,0,0,0,0
pi_B,B,21300020,,240,0,1,0,-1
pi_A,A,21300021,,240,2,1,1,1
A_closest,A,21300021,2-1,240,2,0,1,2
pi_B,A,21300021,,240,0,0,0,0
pi_A,B,21300021,,117,3,0,1,3
A_closest,B,21300021,2-1,240,0,0,0,0
pi_B,B,21300021,,240,0,0,0,0
pi_A,A,21300022,,240,1,0,1,1
A_closest,A,21300022,2-1,215,3,1,1,2
pi_B,A,21300022,,240,1,0,1,1
pi_A,B,21300022,,240,1,0,1,1
A_closest,B,21300022,2-1,240,0,1,0,-1
pi_B,B,21300022,,159,3,0,1,3
pi_A,A,21300023,,240,1,0,1,1
A_closest,A,21300023,2-0,240,1,1,0,0
pi_B,A,21300023,,240,0,0,0,0
pi_A,B,21300023,,185,3,1,1,2
A_closest,B,21300023,2-0,240,0,1,0,-1
pi_B,B,21300023,,240,1,0,1,1
pi_A,A,21300024,,240,1,0,1,1
A_closest,A,21300024,1-0,129,3,1,1,2
pi_B,A,21300024,,240,2,0,1,2
pi_A,B,21300024,,152,3,0,1,3
A_closest,B,21300024,1-0,240,0,1,0,-1
pi_B,B,21300024,,240,2,0,1,2
pi_A,A,21300025,,240,0,0,0,0
A_closest,A,21300025,2-1,153,3,2,1,1
pi_B,A,21300025,,240,0,0,0,0
pi_A,B,21300025,,240,0,0,0,0
A_closest,B,21300025,2-1,240,0,1,0,-1
pi_B,B,21300025,,240,2,0,1,2
pi_A,A,21300026,,240,1,0,1,1
A_closest,A,21300026,3-2,240,2,0,1,2
pi_B,A,21300026,,240,0,0,0,0
pi_A,B,21300026,,240,0,0,0,0
A_closest,B,21300026,3-2,240,0,0,0,0
pi_B,B,21300026,,240,1,1,0,0
pi_A,A,21300027,,240,1,0,1,1
A_closest,A,21300027,1-2,240,2,1,1,1
pi_B,A,21300027,,240,2,0,1,2
pi_A,B,21300027,,240,2,0,1,2
A_closest,B,21300027,1-2,240,0,0,0,0
pi_B,B,21300027,,240,2,0,1,2
pi_A,A,21300028,,240,1,0,1,1
A_closest,A,21300028,3-2,240,2,1,1,1
pi_B,A,21300028,,240,2,0,1,2
pi_A,B,21300028,,142,3,0,1,3
A_closest,B,21300028,3-2,240,1,0,1,1
pi_B,B,21300028,,240,0,0,0,0
pi_A,A,21300029,,240,2,0,1,2
A_closest,A,21300029,1-3,138,3,0,1,3
pi_B,A,21300029,,240,1,0,1,1
pi_A,B,21300029,,240,0,0,0,0
A_closest,B,21300029,1-3,240,0,1,0,-1
pi_B,B,21300029,,240,0,0,0,0
pi_A,A,21300030,,240,2,1,1,1
