seed,pole,arm,composition,defender_ids,attacker_ids,blue_score,red_score,blue_win,draw,steps,blue_alive_end,red_alive_end,genome_id,pole_config_hash,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
20200014,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,0,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,140,340,350,130,192,0
20200015,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,2,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,374,106,180,300,207,0
20200016,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,1,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,492,468,346,146,102,366,153,1
20200017,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,1,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,236,244,254,226,167,0
20200018,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,0,0,1,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,84,396,397,83,211,0
20200019,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,0,0,1,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,50,430,416,64,213,0
20200020,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,0,0,1,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,58,422,417,63,219,0
20200021,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,1,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,196,284,330,150,163,0
20200022,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,1,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,408,72,191,289,188,0
20200023,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,3,0,1,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,522,438,376,146,278,160,178,2
20200024,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,0,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,134,346,376,104,219,0
20200025,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,1,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,360,120,170,310,153,0
20200026,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,0,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,146,334,297,183,155,0
