arm,pole,seed,n_win,win_pass,n_win_free,win_free_pass,n_t,head_pass
A_prime,A,21200034,69,60,0,0,191,92
N_prime,A,21200034,94,50,1,1,237,36
A_prime,B,21200034,177,147,2,2,368,131
N_prime,B,21200034,224,177,59,59,168,5
A_prime,A,21200035,43,35,0,0,291,182
N_prime,A,21200035,212,127,12,12,407,51
A_prime,B,21200035,224,201,0,0,300,32
N_prime,B,21200035,224,174,0,0,168,6
A_prime,A,21200036,156,138,0,0,351,138
N_prime,A,21200036,123,72,0,0,293,41
A_prime,B,21200036,198,187,0,0,292,58
N_prime,B,21200036,224,147,9,9,374,36
A_prime,A,21200037,106,84,0,0,356,164
N_prime,A,21200037,103,55,0,0,242,41
A_prime,B,21200037,224,203,14,14,346,66
N_prime,B,21200037,224,159,33,33,193,10
A_prime,A,21200038,181,154,0,0,392,148
N_prime,A,21200038,76,68,0,0,254,85
A_prime,B,21200038,95,80,0,0,320,161
N_prime,B,21200038,197,132,0,0,331,36
A_prime,A,21200039,46,34,0,0,290,188
N_prime,A,21200039,65,33,1,1,320,107
A_prime,B,21200039,198,159,0,0,360,100
N_prime,B,21200039,213,187,0,0,158,16
A_prime,A,21200040,105,87,0,0,327,148
N_prime,A,21200040,174,107,22,22,225,9
A_prime,B,21200040,198,174,3,1,320,84
N_prime,B,21200040,224,129,2,2,289,6
A_prime,A,21200041,19,16,0,0,266,183
N_prime,A,21200041,40,26,0,0,295,110
A_prime,B,21200041,224,198,21,21,347,58
N_prime,B,21200041,211,146,5,5,246,25
A_prime,A,21200042,188,182,0,0,255,30
N_prime,A,21200042,144,80,20,16,193,6
A_prime,B,21200042,224,192,3,3,373,95
N_prime,B,21200042,224,167,0,0,253,20
A_prime,A,21200043,137,111,11,7,370,167
N_prime,A,21200043,116,110,0,0,31,2
A_prime,B,21200043,172,157,3,2,351,132
N_prime,B,21200043,199,162,0,0,187,23
A_prime,A,21200044,149,108,0,0,324,137
N_prime,A,21200044,194,179,0,0,51,4
A_prime,B,21200044,224,210,17,17,358,78
N_prime,B,21200044,224,184,4,3,159,6
A_prime,A,21200045,172,145,2,2,351,103
N_prime,A,21200045,149,96,6,6,333,55
A_prime,B,21200045,172,150,0,0,321,99
N_prime,B,21200045,176,124,3,3,252,42
A_prime,A,21200046,31,21,0,0,280,201
N_prime,A,21200046,174,144,4,4,187,43
A_prime,B,21200046,197,181,0,0,334,96
N_prime,B,21200046,211,141,11,11,311,36
A_prime,A,21200047,32,20,0,0,287,189
N_prime,A,21200047,98,74,0,0,267,89
A_prime,B,21200047,62,55,0,0,293,160
N_prime,B,21200047,197,100,21,21,410,44
A_prime,A,21200048,59,47,0,0,302,168
N_prime,A,21200048,224,181,4,3,147,6
A_prime,B,21200048,224,199,4,4,332,59
N_prime,B,21200048,196,101,3,2,338,15
A_prime,A,21200049,101,83,2,2,233,94
N_prime,A,21200049,224,139,17,15,326,36
A_prime,B,21200049,224,210,0,0,343,67
N_prime,B,21200049,224,170,0,0,173,9
A_prime,A,21200050,50,45,0,0,303,175
N_prime,A,21200050,117,82,7,7,322,72
A_prime,B,21200050,197,182,0,0,329,73
N_prime,B,21200050,224,166,5,5,189,14
A_prime,A,21200051,195,165,3,3,419,127
N_prime,A,21200051,163,84,6,6,323,47
A_prime,B,21200051,168,134,0,0,384,129
N_prime,B,21200051,224,175,9,9,209,26
A_prime,A,21200052,94,84,6,6,157,43
N_prime,A,21200052,166,127,3,3,213,7
A_prime,B,21200052,199,183,2,2,363,92
N_prime,B,21200052,224,184,0,0,181,22
A_prime,A,21200053,130,122,0,0,288,131
N_prime,A,21200053,56,33,5,0,284,124
A_prime,B,21200053,76,65,0,0,320,159
N_prime,B,21200053,211,188,0,0,130,39
A_prime,A,21200054,88,79,0,0,189,63
N_prime,A,21200054,101,54,0,0,342,80
A_prime,B,21200054,32,25,0,0,287,186
N_prime,B,21200054,198,140,8,8,206,26
A_prime,A,21200055,182,174,27,26,329,117
N_prime,A,21200055,144,84,13,13,344,36
A_prime,B,21200055,154,145,27,23,315,128
N_prime,B,21200055,224,153,17,17,264,18
A_prime,A,21200056,224,219,0,0,285,31
N_prime,A,21200056,95,63,0,0,287,84
A_prime,B,21200056,197,171,0,0,371,103
N_prime,B,21200056,224,198,0,0,88,3
A_prime,A,21200057,31,25,0,0,282,186
N_prime,A,21200057,224,121,5,3,361,40
A_prime,B,21200057,224,219,2,2,334,66
N_prime,B,21200057,224,126,1,1,366,52
A_prime,A,21200058,198,176,1,1,262,42
N_prime,A,21200058,177,134,22,22,280,46
A_prime,B,21200058,46,40,0,0,292,192
N_prime,B,21200058,91,71,0,0,267,97
A_prime,A,21200059,79,61,0,0,331,190
N_prime,A,21200059,59,35,0,0,311,125
A_prime,B,21200059,224,217,1,1,278,25
N_prime,B,21200059,179,103,0,0,352,25
A_prime,A,21200060,175,141,15,11,351,109
