scale,strategy,pole,arm,seed,blue,red,win,n_decisions,n_waypoint_actions
4v4,GUARD,B,PROJECTED,17600013,0,0,0,464,47
4v4,GUARD,B,PROJECTED,17600014,1,0,1,472,67
4v4,GUARD,B,PROJECTED,17600015,1,0,1,455,40
4v4,GUARD,B,PROJECTED,17600016,0,0,0,440,26
4v4,GUARD,B,PROJECTED,17600017,0,0,0,460,43
4v4,GUARD,B,PROJECTED,17600018,0,0,0,457,35
4v4,GUARD,B,PROJECTED,17600019,0,0,0,454,38
4v4,GUARD,B,PROJECTED,17600020,0,0,0,451,33
4v4,GUARD,B,PROJECTED,17600021,1,0,1,450,32
4v4,GUARD,B,PROJECTED,17600022,0,0,0,450,37
4v4,GUARD,B,PROJECTED,17600023,0,0,0,474,62
4v4,GUARD,B,PROJECTED,17600024,0,0,0,465,44
4v4,BREACH,A,ORIGINAL,17600001,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600002,1,0,1,0,0
4v4,BREACH,A,ORIGINAL,17600003,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600004,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600005,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600006,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600007,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600008,1,0,1,0,0
4v4,BREACH,A,ORIGINAL,17600009,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600010,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600011,1,0,1,0,0
4v4,BREACH,A,ORIGINAL,17600012,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600013,1,0,1,0,0
4v4,BREACH,A,ORIGINAL,17600014,1,0,1,0,0
4v4,BREACH,A,ORIGINAL,17600015,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600016,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600017,1,0,1,0,0
4v4,BREACH,A,ORIGINAL,17600018,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600019,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600020,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600021,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600022,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600023,0,0,0,0,0
4v4,BREACH,A,ORIGINAL,17600024,1,0,1,0,0
4v4,BREACH,A,PROJECTED,17600001,1,0,1,464,0
4v4,BREACH,A,PROJECTED,17600002,1,0,1,453,0
4v4,BREACH,A,PROJECTED,17600003,1,0,1,438,0
4v4,BREACH,A,PROJECTED,17600004,0,0,0,565,0
4v4,BREACH,A,PROJECTED,17600005,1,0,1,486,0
4v4,BREACH,A,PROJECTED,17600006,1,0,1,465,0
4v4,BREACH,A,PROJECTED,17600007,1,0,1,475,0
4v4,BREACH,A,PROJECTED,17600008,1,1,0,565,0
4v4,BREACH,A,PROJECTED,17600009,2,1,1,462,0
4v4,BREACH,A,PROJECTED,17600010,1,0,1,448,0
4v4,BREACH,A,PROJECTED,17600011,1,0,1,445,0
4v4,BREACH,A,PROJECTED,17600012,1,0,1,483,0
4v4,BREACH,A,PROJECTED,17600013,2,1,1,457,0
4v4,BREACH,A,PROJECTED,17600014,1,0,1,461,0
4v4,BREACH,A,PROJECTED,17600015,0,0,0,466,0
4v4,BREACH,A,PROJECTED,17600016,1,0,1,445,0
4v4,BREACH,A,PROJECTED,17600017,1,0,1,467,0
4v4,BREACH,A,PROJECTED,17600018,1,0,1,439,0
4v4,BREACH,A,PROJECTED,17600019,1,0,1,439,0
4v4,BREACH,A,PROJECTED,17600020,0,0,0,516,0
4v4,BREACH,A,PROJECTED,17600021,1,0,1,442,0
4v4,BREACH,A,PROJECTED,17600022,0,0,0,430,0
4v4,BREACH,A,PROJECTED,17600023,1,0,1,441,0
4v4,BREACH,A,PROJECTED,17600024,0,0,0,470,0
4v4,BREACH,B,ORIGINAL,17600001,1,1,0,0,0
4v4,BREACH,B,ORIGINAL,17600002,0,0,0,0,0
4v4,BREACH,B,ORIGINAL,17600003,0,0,0,0,0
4v4,BREACH,B,ORIGINAL,17600004,0,0,0,0,0
4v4,BREACH,B,ORIGINAL,17600005,3,0,1,0,0
4v4,BREACH,B,ORIGINAL,17600006,1,0,1,0,0
4v4,BREACH,B,ORIGINAL,17600007,2,1,1,0,0
4v4,BREACH,B,ORIGINAL,17600008,3,0,1,0,0
4v4,BREACH,B,ORIGINAL,17600009,0,0,0,0,0
4v4,BREACH,B,ORIGINAL,17600010,2,0,1,0,0
4v4,BREACH,B,ORIGINAL,17600011,1,2,0,0,0
4v4,BREACH,B,ORIGINAL,17600012,2,0,1,0,0
4v4,BREACH,B,ORIGINAL,17600013,3,0,1,0,0
4v4,BREACH,B,ORIGINAL,17600014,2,1,1,0,0
4v4,BREACH,B,ORIGINAL,17600015,2,0,1,0,0
4v4,BREACH,B,ORIGINAL,17600016,2,0,1,0,0
4v4,BREACH,B,ORIGINAL,17600017,2,0,1,0,0
