pole,seed,mean_pressure_r4,mean_pressure_r6,mean_pressure_r8,mean_pressure_r10,max_pressure_r4,max_pressure_r6,max_pressure_r8,max_pressure_r10
A,99900101,1.3958333333333333,1.5541666666666667,1.8333333333333333,2.345833333333333,4,4,4,4
A,99900102,0.7291666666666666,1.0791666666666666,1.5208333333333333,2.158333333333333,4,4,4,4
A,99900103,0.9708333333333333,1.2375,1.6791666666666667,2.5166666666666666,4,4,4,4
A,99900104,1.925,2.245833333333333,2.533333333333333,2.870833333333333,4,4,4,4
A,99900105,2.075,2.3666666666666667,2.783333333333333,3.495833333333333,4,4,4,4
A,99900106,1.1583333333333334,1.4458333333333333,1.9416666666666667,2.9125,3,4,4,4
A,99900107,1.95,2.1791666666666667,2.6041666666666665,3.2416666666666667,4,4,4,4
A,99900108,1.6833333333333333,2.0083333333333333,2.3625,2.7916666666666665,4,4,4,4
A,99900109,1.0458333333333334,1.25,1.6958333333333333,2.566666666666667,4,4,4,4
A,99900110,0.3416666666666667,0.6458333333333334,1.0791666666666666,1.6875,2,3,4,4
A,99900111,1.0583333333333333,1.3708333333333333,1.7375,2.3958333333333335,4,4,4,4
A,99900112,0.4583333333333333,0.7958333333333333,1.1708333333333334,1.7291666666666667,3,4,4,4
A,99900113,1.2958333333333334,1.5875,1.9666666666666666,2.908333333333333,4,4,4,4
A,99900114,0.6458333333333334,0.8625,1.3208333333333333,2.066666666666667,3,3,4,4
A,99900115,0.3541666666666667,0.6333333333333333,1.075,1.6541666666666666,3,3,3,4
A,99900116,0.19166666666666668,0.4375,0.8,1.2916666666666667,2,3,4,4
B,99900101,0.125,0.4125,0.85,1.5875,2,4,4,4
B,99900102,0.525,0.9291666666666667,1.4916666666666667,2.2,4,4,4,4
B,99900103,0.06666666666666667,0.32083333333333336,0.7916666666666666,1.5916666666666666,1,3,4,4
B,99900104,0.8708333333333333,1.2666666666666666,1.6958333333333333,2.2583333333333333,3,4,4,4
B,99900105,0.5,0.9041666666666667,1.3208333333333333,1.95,4,4,4,4
B,99900106,0.23333333333333334,0.5875,1.0625,1.8,2,3,3,4
B,99900107,0.275,0.7708333333333334,1.2541666666666667,1.9083333333333334,3,4,4,4
B,99900108,0.43333333333333335,0.8416666666666667,1.4333333333333333,2.075,4,4,4,4
B,99900109,0.5666666666666667,0.975,1.4125,1.9958333333333333,4,4,4,4
B,99900110,0.25833333333333336,0.6541666666666667,1.1083333333333334,1.8125,2,3,4,4
B,99900111,0.29583333333333334,0.8416666666666667,1.4416666666666667,2.1791666666666667,4,4,4,4
B,99900112,0.42916666666666664,0.6708333333333333,1.0416666666666667,1.625,4,4,4,4
B,99900113,0.49166666666666664,0.8916666666666667,1.4541666666666666,2.1166666666666667,4,4,4,4
B,99900114,0.24583333333333332,0.5958333333333333,1.1833333333333333,2.0125,3,3,4,4
B,99900115,0.4083333333333333,0.8041666666666667,1.35,2.0166666666666666,4,4,4,4
B,99900116,0.1875,0.4583333333333333,0.9,1.7,1,2,3,4
