scale,strategy,pole,seed,tick,agent,is_defender,carrying,tagged,teacher_tx,teacher_ty,adapt_category,adapt_macro,adapt_residual,committed_macro,commit_ticks_left,at_boundary,wants_switch,switch_blocked,exec_tx,exec_ty,exec_residual
4v4,GUARD,A,17600001,9,2,1,0,0,3.8234,7.6177,WAYPOINT,0,1.2418,0,3,0,0,0,4.75,8.4444,1.2418
4v4,GUARD,A,17600001,9,3,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,3,0,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,10,0,0,0,0,17.0,10.0,GET_FLAG,2,0.0,2,2,0,0,0,17.0,10.0,0.0
4v4,GUARD,A,17600001,10,1,0,0,1,17.0,10.0,FORCED_HOME_TAGGED,0,15.0,0,0,1,0,0,2.0,10.0,15.0
4v4,GUARD,A,17600001,10,2,1,0,0,3.6293,7.481,WAYPOINT,0,1.4779,0,0,1,0,0,4.75,8.4444,1.4779
4v4,GUARD,A,17600001,10,3,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,2,0,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,11,0,0,0,0,17.0,10.0,GET_FLAG,2,0.0,2,1,0,0,0,17.0,10.0,0.0
4v4,GUARD,A,17600001,11,1,0,0,1,17.0,10.0,FORCED_HOME_TAGGED,0,15.0,0,0,1,0,0,2.0,10.0,15.0
4v4,GUARD,A,17600001,11,2,1,0,0,3.3913,7.3422,WAYPOINT,0,1.6922,0,0,1,0,0,4.75,8.4444,1.7496
4v4,GUARD,A,17600001,11,3,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,1,0,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,12,0,0,0,1,17.0,10.0,FORCED_HOME_TAGGED,0,15.0,2,0,1,1,0,2.0,10.0,15.0
4v4,GUARD,A,17600001,12,1,0,0,1,17.0,10.0,FORCED_HOME_TAGGED,0,15.0,0,0,1,0,0,2.0,10.0,15.0
4v4,GUARD,A,17600001,12,2,1,0,0,3.1026,7.21,WAYPOINT,0,1.8661,0,3,0,0,0,4.75,6.3333,1.8661
4v4,GUARD,A,17600001,12,3,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,0,1,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,13,0,0,0,1,17.0,10.0,FORCED_HOME_TAGGED,0,15.0,0,0,1,0,0,2.0,10.0,15.0
4v4,GUARD,A,17600001,13,1,0,0,1,17.0,10.0,FORCED_HOME_TAGGED,0,15.0,0,0,1,0,0,2.0,10.0,15.0
4v4,GUARD,A,17600001,13,2,1,0,0,3.1026,7.21,WAYPOINT,0,1.8661,0,0,1,0,0,4.75,6.3333,1.8661
4v4,GUARD,A,17600001,13,3,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,3,0,0,0,2.0,10.0,0.0
