scale,style,seed,arm,tick,agent,native_target_x,native_target_y,desired_bearing_degrees,effective_bearing_degrees,committed_w50_idx_before,trace_hash,requested_w50_idx,committed_w50_idx,commit_ticks_left_before,decision_boundary,target_jump_cells,bearing_change_degrees,switch_request,blocked_switch,stale_switch,adopted,decision_lag_ticks,lag_censored,alive,carrying,tagged
2v2,GUARD,19600001,I1_W50_NO_COMMIT,11,1,2.0,10.0,135.98566,148.198521,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,20.334128,1,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,12,0,17.0,10.0,0.145506,2.230489,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,1,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,12,1,2.0,10.0,135.985645,151.843659,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,1.5e-05,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,13,0,17.0,10.0,-4.538675,-1.860063,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,4.684181,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,13,1,2.0,10.0,135.98564,156.973393,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,5e-06,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,14,0,17.0,10.0,-6.041625,-2.958368,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,1.50295,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,14,1,2.0,10.0,135.985665,160.546645,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,2.5e-05,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,15,0,17.0,10.0,-6.041625,-2.702136,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,15,1,2.0,10.0,135.985746,162.551372,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,8.1e-05,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,16,0,17.0,10.0,-6.041625,-2.399519,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,16,1,2.0,10.0,135.985861,163.568433,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,0.000115,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,17,0,17.0,10.0,-6.041625,-2.03669,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,17,1,2.0,10.0,135.985387,164.055833,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,0.000474,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,18,0,17.0,10.0,-6.041625,-1.593734,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,18,1,2.0,10.0,135.984934,164.283134,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,0.000452,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,19,0,17.0,10.0,-6.041625,-1.040888,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,19,1,2.0,10.0,135.983269,164.38779,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,0.001666,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,20,0,17.0,10.0,-6.041625,-0.331625,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,20,1,2.0,10.0,135.979806,164.435698,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,0.003463,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,21,0,17.0,10.0,-6.041625,0.611029,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,21,1,2.0,10.0,135.971963,164.457577,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,0.007843,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,22,0,17.0,10.0,0.494784,179.865801,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,6.536408,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,22,1,2.0,10.0,135.994353,164.467585,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,0.02239,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,23,0,17.0,10.0,19.314285,174.601107,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,23,1,2.0,10.0,136.057753,164.472176,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,0.0634,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,24,0,17.0,10.0,16.457873,173.30531,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,24,1,2.0,10.0,136.05044,164.474324,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,0.007313,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,25,0,17.0,10.0,12.419843,172.042876,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,25,1,2.0,10.0,136.397181,164.475445,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,0.346741,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,26,0,17.0,10.0,9.312291,172.04288,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,26,1,2.0,10.0,-44.169685,164.476203,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,179.433134,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,27,0,17.0,10.0,7.00814,172.042877,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,27,1,2.0,10.0,-13.30343,164.475815,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,30.866254,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,28,0,17.0,10.0,5.236765,172.042883,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,28,1,2.0,10.0,12.622466,164.474247,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,25.925897,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,29,0,17.0,10.0,3.835016,172.042879,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,1
