scale,style,seed,arm,trace_hash,n_ticks,n_agents,eligible_agent_ticks,E_v,E_x_rmse_cells,E_x_p90_cells,mean_target_endpoint_error_cells,mean_direction_error_degrees,switch_requests,blocked_switch_fraction,mean_decision_lag_ticks,p95_decision_lag_ticks,censored_switch_fraction,stale_target_fraction,semantic_execution_fraction,forced_home_carrying_fraction,tagged_redirect_fraction,macro_early_end_fraction,r_fire_count,r_eligible_ticks,interruption_rate,mean_commit_run_length
2v2,GUARD,19700001,I0_CONTINUOUS_ORACLE,2c45b2aae4ea62069e7e38486a1234efc25ce6537e4b78f514d90a716dfc2726,240,2,353,0.0,0.0,0.0,0.0,2.4597280197080857e-07,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24166666666666667,0.0,0,0,0.0,0.0
2v2,GUARD,19700001,I1_W50_NO_COMMIT,2c45b2aae4ea62069e7e38486a1234efc25ce6537e4b78f514d90a716dfc2726,240,2,353,0.21825042697753627,1.7463082938958883,2.069753147366619,1.9728954507460585,27.174383774035793,126,0.8675889328063241,4.20952380952381,4.7749999999999995,0.45415019762845854,0.0,0.0,0.0,0.24166666666666667,0.0,0,0,0.0,0.0
2v2,GUARD,19700001,I2_W50_CURRENT_COMMIT,2c45b2aae4ea62069e7e38486a1234efc25ce6537e4b78f514d90a716dfc2726,240,2,353,0.29950846288002925,1.8094521567371593,2.4042218434948084,2.152735416179876,36.85270490662308,126,0.9284584980237154,4.122222222222222,5.574999999999999,0.5063241106719367,0.5375,0.0,0.0,0.24166666666666667,0.0,0,0,0.0,4.0
2v2,GUARD,19700001,I2R_W50_INTERRUPTIBLE_COMMIT,2c45b2aae4ea62069e7e38486a1234efc25ce6537e4b78f514d90a716dfc2726,240,2,353,0.28464817450996227,1.766098589260453,2.2337437310969666,2.081146239590756,34.9476723417097,126,0.9110671936758893,4.105882352941176,5.2749999999999995,0.4715415019762846,0.5,0.0,0.0,0.24166666666666667,0.0,10,366,0.0273224043715847,3.8688524590163933
2v2,GUARD,19700001,I3_FULL_CURRENT_MACRO,2c45b2aae4ea62069e7e38486a1234efc25ce6537e4b78f514d90a716dfc2726,240,2,353,0.2604039449434471,1.144544109479654,1.5303785775350391,0.21971276242960525,30.982464657261843,126,0.858893280632411,4.029629629629629,5.624999999999999,0.4280632411067194,0.30416666666666664,0.9291666666666667,0.0,0.24166666666666667,0.5784313725490197,0,0,0.0,2.3415841584158414
2v2,GUARD,19700001,I3R_FULL_MACRO_INTERRUPTIBLE,2c45b2aae4ea62069e7e38486a1234efc25ce6537e4b78f514d90a716dfc2726,240,2,353,0.22388256445424753,1.0277782858644589,1.3610273172768106,0.13494916419087163,27.63372941592638,126,0.8980237154150197,4.1,5.3,0.45849802371541504,0.2875,0.9291666666666667,0.0,0.24166666666666667,0.5769230769230769,8,280,0.02857142857142857,2.3058252427184467
2v2,GUARD,19700002,I0_CONTINUOUS_ORACLE,e30f25a87f4c2c36c52b810b281fabb01392e4b0a4181ea63b8b717e66a57fe8,240,2,357,0.0,0.0,0.0,0.0,2.742933769621991e-07,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23125,0.0,0,0,0.0,0.0
2v2,GUARD,19700002,I1_W50_NO_COMMIT,e30f25a87f4c2c36c52b810b281fabb01392e4b0a4181ea63b8b717e66a57fe8,240,2,357,0.21953594380019453,1.7899038987520073,2.1851586935327347,1.9366258128498928,29.61458536644684,151,0.8035557506584723,3.1075757575757574,5.0,0.5645302897278315,0.0,0.0,0.0,0.23125,0.0,0,0,0.0,0.0
2v2,GUARD,19700002,I2_W50_CURRENT_COMMIT,e30f25a87f4c2c36c52b810b281fabb01392e4b0a4181ea63b8b717e66a57fe8,240,2,357,0.26492385580995115,1.897769034144292,2.4320138025686138,2.0880705425337265,33.19188940090453,151,0.8996927129060579,3.8968253968253967,6.0,0.6569359086918349,0.4375,0.0,0.0,0.23125,0.0,0,0,0.0,4.0
2v2,GUARD,19700002,I2R_W50_INTERRUPTIBLE_COMMIT,e30f25a87f4c2c36c52b810b281fabb01392e4b0a4181ea63b8b717e66a57fe8,240,2,357,0.2666225994820104,1.8680347011789573,2.361311816900098,2.012102264864659,32.876160674585996,151,0.888937664618086,3.286363636363636,5.5,0.6018437225636524,0.5,0.0,0.0,0.23125,0.0,7,363,0.01928374655647383,3.901639344262295
