cell,seed,blue,red,win,margin
pi_A3_final,18400001,1,0,1,1
pi_A3_final,18400002,0,0,0,0
pi_A3_final,18400003,3,0,1,3
pi_A3_final,18400004,2,0,1,2
pi_A3_final,18400005,2,1,1,1
pi_A3_final,18400006,3,0,1,3
pi_A3_final,18400007,2,0,1,2
pi_A3_final,18400008,3,0,1,3
pi_A3_final,18400009,2,0,1,2
pi_A3_final,18400010,0,0,0,0
pi_A3_final,18400011,3,0,1,3
pi_A3_final,18400012,3,0,1,3
pi_A3_final,18400013,0,0,0,0
pi_A3_final,18400014,1,0,1,1
pi_A3_final,18400015,3,0,1,3
pi_A3_final,18400016,2,0,1,2
pi_A3_final,18400017,0,0,0,0
pi_A3_final,18400018,3,0,1,3
pi_A3_final,18400019,3,0,1,3
pi_A3_final,18400020,1,0,1,1
pi_A3_final,18400021,1,0,1,1
pi_A3_final,18400022,3,0,1,3
pi_A3_final,18400023,0,0,0,0
pi_A3_final,18400024,3,0,1,3
pi_A3_final,18400025,3,0,1,3
pi_A3_final,18400026,0,0,0,0
pi_A3_final,18400027,3,0,1,3
pi_A3_final,18400028,2,0,1,2
pi_A3_final,18400029,3,0,1,3
pi_A3_final,18400030,3,0,1,3
pi_A3_final,18400031,1,0,1,1
pi_A3_final,18400032,0,0,0,0
pi_A3_final,18400033,2,0,1,2
pi_A3_final,18400034,0,0,0,0
pi_A3_final,18400035,3,0,1,3
pi_A3_final,18400036,0,0,0,0
pi_A3_final,18400037,0,0,0,0
pi_A3_final,18400038,0,0,0,0
pi_A3_final,18400039,0,0,0,0
pi_A3_final,18400040,1,0,1,1
pi_A3_final,18400041,3,0,1,3
pi_A3_final,18400042,2,0,1,2
pi_A3_final,18400043,3,0,1,3
pi_A3_final,18400044,2,0,1,2
pi_A3_final,18400045,3,1,1,2
pi_A3_final,18400046,3,0,1,3
pi_A3_final,18400047,0,0,0,0
pi_A3_final,18400048,3,0,1,3
pi_A3_final,18400049,1,0,1,1
pi_A3_final,18400050,0,0,0,0
pi_A3_final,18400051,0,0,0,0
pi_A3_final,18400052,3,0,1,3
pi_A3_final,18400053,0,0,0,0
pi_A3_final,18400054,0,0,0,0
pi_A3_final,18400055,2,0,1,2
