policy,pole,seed,steps,win,margin,share_pos_open,share_pos_alt,share_int_open,n_active_open,hold_id0,hold_id1,hold_id2,hold_id3,hold_id4,hold_id5,macro0,macro1,macro2,macro3,macro4,macro5,macro6,macro7
pi_A,A,20700101,20,0,0,0.23333333333333334,0.06666666666666667,0.0,5.0,0.0,0.6,0.0,0.4,0.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pi_A,A,20700102,20,0,0,0.21666666666666665,0.041666666666666664,0.0,5.2,0.0,0.0,0.6,0.0,0.4,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pi_A,A,20700103,20,0,0,0.19166666666666665,0.05,0.0,5.4,0.5,0.5,0.0,0.1,0.0,0.0,0.13333333333333333,0.06666666666666667,0.7833333333333333,0.016666666666666666,0.0,0.0,0.0,0.0
pi_A,A,20700104,20,0,0,0.05,0.05,0.0,5.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pi_A,A,20700105,20,0,0,0.33333333333333337,0.14999999999999997,0.0,6.0,1.0,0.0,0.7,0.1,0.0,0.2,0.3333333333333333,0.11666666666666667,0.5333333333333333,0.016666666666666666,0.0,0.0,0.0,0.0
pi_A,A,20700106,20,0,0,0.3,0.06666666666666667,0.0,4.9,0.4,0.6,0.0,0.3,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pi_A,A,20700107,20,0,0,0.2333333333333333,0.2333333333333333,0.11666666666666665,6.0,0.5,0.6,0.0,0.1,0.2,0.0,0.5666666666666667,0.016666666666666666,0.4,0.016666666666666666,0.0,0.0,0.0,0.0
pi_A,A,20700108,20,0,0,0.19999999999999998,0.05,0.0,5.4,0.4,0.3,0.0,0.0,0.5,0.0,0.0,0.06666666666666667,0.9166666666666666,0.016666666666666666,0.0,0.0,0.0,0.0
pi_A,A,20700109,20,0,0,0.32,0.09333333333333334,0.0,5.9,0.4,0.3,0.0,0.7,0.5,0.0,0.11666666666666667,0.016666666666666666,0.85,0.016666666666666666,0.0,0.0,0.0,0.0
pi_A,A,20700110,20,0,0,0.03333333333333333,0.025,0.0,5.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.05,0.95,0.0,0.0,0.0,0.0,0.0
pi_A,A,20700111,20,0,0,0.2,0.03333333333333333,0.0,5.6,0.0,0.7,0.5,0.0,0.0,0.0,0.0,0.016666666666666666,0.9666666666666667,0.016666666666666666,0.0,0.0,0.0,0.0
pi_A,A,20700112,20,0,0,0.35,0.03333333333333333,0.0,5.7,0.0,0.6,0.4,0.6,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pi_A,A,20700113,20,0,0,0.18333333333333332,0.1,0.0,5.2,0.6,0.0,0.0,0.0,0.5,0.0,0.0,0.05,0.95,0.0,0.0,0.0,0.0,0.0
pi_A,A,20700114,20,0,0,0.21666666666666665,0.025,0.0,5.4,0.4,0.5,0.0,0.0,0.0,0.4,0.0,0.05,0.95,0.0,0.0,0.0,0.0,0.0
pi_A,A,20700115,20,0,0,0.16666666666666666,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pi_A,A,20700116,20,0,0,0.33333333333333326,0.1,0.0,5.9,0.6,0.5,0.2,0.0,0.7,0.0,0.48333333333333334,0.08333333333333333,0.4,0.03333333333333333,0.0,0.0,0.0,0.0
pi_A,A,20700117,20,0,0,0.21666666666666665,0.016666666666666666,0.0,5.5,0.0,0.0,0.6,0.5,0.0,0.2,0.0,0.05,0.95,0.0,0.0,0.0,0.0,0.0
pi_A,A,20700118,20,0,0,0.26666666666666666,0.06666666666666667,0.0,5.6,0.4,0.0,0.0,0.6,0.0,0.6,0.0,0.016666666666666666,0.9666666666666667,0.016666666666666666,0.0,0.0,0.0,0.0
