scale,style,seed,arm,trace_hash,n_ticks,n_agent_ticks,switch_requests,blocked_switches,stale_switches,blocked_switch_fraction,stale_switch_fraction,mean_decision_lag_ticks,p95_decision_lag_ticks,censored_switch_fraction,lag_adoptions,lag_censored,mean_bearing_change_degrees,mean_target_jump_cells
2v2,GUARD,19600001,I1_W50_NO_COMMIT,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,240,480,164,0,0,0.0,0.0,,,0.0,0,0,48.82053371341463,0.5111749451219513
2v2,GUARD,19600001,I2_W50_CURRENT_COMMIT,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,240,480,164,16,16,0.0975609756097561,0.0975609756097561,1.4,2.0,0.375,10,6,48.82053371341463,0.5111749451219513
2v2,BREACH,19600001,I1_W50_NO_COMMIT,744ea97b9370669deb62b0911fa282403b4f25c72bb6f2dff95e809f5ce732a8,240,480,328,0,0,0.0,0.0,,,0.0,0,0,58.71446330182927,1.2456115975609756
2v2,BREACH,19600001,I2_W50_CURRENT_COMMIT,744ea97b9370669deb62b0911fa282403b4f25c72bb6f2dff95e809f5ce732a8,240,480,328,153,147,0.46646341463414637,0.4481707317073171,1.0294117647058822,1.0,0.5374149659863946,68,79,58.71446330182927,1.2456115975609756
4v4,GUARD,19600001,I1_W50_NO_COMMIT,b8458a4176e8583a62e18df7317e43f905731ac11f0a5981e010d1d5b306d0a6,240,960,172,0,0,0.0,0.0,,,0.0,0,0,48.476262773255804,0.9151163720930232
4v4,GUARD,19600001,I2_W50_CURRENT_COMMIT,b8458a4176e8583a62e18df7317e43f905731ac11f0a5981e010d1d5b306d0a6,240,960,172,49,43,0.28488372093023256,0.25,1.3793103448275863,2.599999999999998,0.32558139534883723,29,14,48.476262773255804,0.9151163720930232
4v4,BREACH,19600001,I1_W50_NO_COMMIT,17d9e942e505193aff3e592b39a7216cb90a4b57c9748b74068dadf0000b1db3,240,960,647,0,0,0.0,0.0,,,0.0,0,0,57.2316310618238,2.131084034003091
4v4,BREACH,19600001,I2_W50_CURRENT_COMMIT,17d9e942e505193aff3e592b39a7216cb90a4b57c9748b74068dadf0000b1db3,240,960,647,378,333,0.5842349304482226,0.5146831530139103,1.0952380952380953,2.0,0.5585585585585585,147,186,57.2316310618238,2.131084034003091
2v2,GUARD,19600002,I1_W50_NO_COMMIT,ce005fb883f8e793868cd40d0f2a755fc97d2b10b473548ab0da750891e92a43,240,480,154,0,0,0.0,0.0,,,0.0,0,0,48.99810724025974,0.42929750000000005
2v2,GUARD,19600002,I2_W50_CURRENT_COMMIT,ce005fb883f8e793868cd40d0f2a755fc97d2b10b473548ab0da750891e92a43,240,480,154,22,22,0.14285714285714285,0.14285714285714285,1.6923076923076923,3.0,0.4090909090909091,13,9,48.99810724025974,0.42929750000000005
2v2,BREACH,19600002,I1_W50_NO_COMMIT,4628e79d2480b645b281355eae626cd410e0743c879cc1991b09a9e5d0907b9e,240,480,293,0,0,0.0,0.0,,,0.0,0,0,55.9937466109215,1.574114470989761
2v2,BREACH,19600002,I2_W50_CURRENT_COMMIT,4628e79d2480b645b281355eae626cd410e0743c879cc1991b09a9e5d0907b9e,240,480,293,132,126,0.45051194539249145,0.4300341296928328,1.05,1.0499999999999972,0.5238095238095238,60,66,55.9937466109215,1.574114470989761
4v4,GUARD,19600002,I1_W50_NO_COMMIT,c5d9fbe9a20a7614ffe18a578458234c31a52017752d55df46550a1bc3db0b34,240,960,242,0,0,0.0,0.0,,,0.0,0,0,53.22481096280992,0.7632959545454546
4v4,GUARD,19600002,I2_W50_CURRENT_COMMIT,c5d9fbe9a20a7614ffe18a578458234c31a52017752d55df46550a1bc3db0b34,240,960,242,68,66,0.2809917355371901,0.2727272727272727,1.2777777777777777,3.0,0.45454545454545453,36,30,53.22481096280992,0.7632959545454546
4v4,BREACH,19600002,I1_W50_NO_COMMIT,47fe1cd9741c2e7e6874674428591b872338a0c9cb6d1ef244df70e97ddcc676,240,960,449,0,0,0.0,0.0,,,0.0,0,0,52.585698630289535,2.8024665790645877
4v4,BREACH,19600002,I2_W50_CURRENT_COMMIT,47fe1cd9741c2e7e6874674428591b872338a0c9cb6d1ef244df70e97ddcc676,240,960,449,214,173,0.4766146993318486,0.38530066815144765,1.1794871794871795,3.0,0.5491329479768786,78,95,52.585698630289535,2.8024665790645877
2v2,GUARD,19600003,I1_W50_NO_COMMIT,2bc1d10c85f59cef9f2ea13fd2d41f65a9cf222e7c19d8ab26e4ecac2ebebbbf,240,480,146,0,0,0.0,0.0,,,0.0,0,0,51.1777910479452,0.4106961438356164
2v2,GUARD,19600003,I2_W50_CURRENT_COMMIT,2bc1d10c85f59cef9f2ea13fd2d41f65a9cf222e7c19d8ab26e4ecac2ebebbbf,240,480,146,16,16,0.1095890410958904,0.1095890410958904,1.4444444444444444,2.5999999999999996,0.4375,9,7,51.1777910479452,0.4106961438356164
2v2,BREACH,19600003,I1_W50_NO_COMMIT,bab211acb36d9a3511d253543d0a9e0a4a95b6367e7163edaba8798d9dc87d2d,240,480,99,0,0,0.0,0.0,,,0.0,0,0,54.82870694949495,2.997429666666666
2v2,BREACH,19600003,I2_W50_CURRENT_COMMIT,bab211acb36d9a3511d253543d0a9e0a4a95b6367e7163edaba8798d9dc87d2d,240,480,99,43,35,0.43434343434343436,0.35353535353535354,1.0625,1.25,0.5428571428571428,16,19,54.82870694949495,2.997429666666666
4v4,GUARD,19600003,I1_W50_NO_COMMIT,2407d1332c800116a388476a06c941cb177e8e7b6b547bd31ea4e432e16155e7,240,960,282,0,0,0.0,0.0,,,0.0,0,0,54.98005971631206,1.3904632198581561
4v4,GUARD,19600003,I2_W50_CURRENT_COMMIT,2407d1332c800116a388476a06c941cb177e8e7b6b547bd31ea4e432e16155e7,240,960,282,96,89,0.3404255319148936,0.31560283687943264,1.4107142857142858,3.0,0.3707865168539326,56,33,54.98005971631206,1.3904632198581561
4v4,BREACH,19600003,I1_W50_NO_COMMIT,9b912c35ecea9a013dae83350223937e8f42b704968a0be9b1845897cbea51ec,240,960,732,0,0,0.0,0.0,,,0.0,0,0,58.448213419398904,1.870476357923497
4v4,BREACH,19600003,I2_W50_CURRENT_COMMIT,9b912c35ecea9a013dae83350223937e8f42b704968a0be9b1845897cbea51ec,240,960,732,389,360,0.5314207650273224,0.4918032786885246,1.0838323353293413,2.0,0.5361111111111111,167,193,58.448213419398904,1.870476357923497
2v2,GUARD,19600004,I1_W50_NO_COMMIT,ce6c55e55adda0c000fdbe11a28143bc5d3b9707d620d85cf0fd64d7c8bf4240,240,480,157,0,0,0.0,0.0,,,0.0,0,0,49.11893443312101,0.48411325477707007
2v2,GUARD,19600004,I2_W50_CURRENT_COMMIT,ce6c55e55adda0c000fdbe11a28143bc5d3b9707d620d85cf0fd64d7c8bf4240,240,480,157,27,27,0.17197452229299362,0.17197452229299362,1.3333333333333333,2.0,0.4444444444444444,15,12,49.11893443312101,0.48411325477707007
2v2,BREACH,19600004,I1_W50_NO_COMMIT,0044a479522028bdd850fceafa92037e2f6c4bc4de554db4c39fadafa214c848,240,480,30,0,0,0.0,0.0,,,0.0,0,0,18.954069066666666,0.7529783666666667
2v2,BREACH,19600004,I2_W50_CURRENT_COMMIT,0044a479522028bdd850fceafa92037e2f6c4bc4de554db4c39fadafa214c848,240,480,30,5,4,0.16666666666666666,0.13333333333333333,1.0,1.0,0.75,1,3,18.954069066666666,0.7529783666666667
4v4,GUARD,19600004,I1_W50_NO_COMMIT,e4c329fb2ab16b18623ae1967cf10cf0f2064326f9c654131a1290acb7c24dc6,240,960,241,0,0,0.0,0.0,,,0.0,0,0,51.8928392033195,0.8449620124481328
4v4,GUARD,19600004,I2_W50_CURRENT_COMMIT,e4c329fb2ab16b18623ae1967cf10cf0f2064326f9c654131a1290acb7c24dc6,240,960,241,55,55,0.22821576763485477,0.22821576763485477,1.3235294117647058,2.0,0.38181818181818183,34,21,51.8928392033195,0.8449620124481328
4v4,BREACH,19600004,I1_W50_NO_COMMIT,6553ae3287fc0dd71fabc6bea436d264b29ab01ff808a19274d56b548372a4b2,240,960,866,0,0,0.0,0.0,,,0.0,0,0,61.34068174018476,1.7623774561200924
4v4,BREACH,19600004,I2_W50_CURRENT_COMMIT,6553ae3287fc0dd71fabc6bea436d264b29ab01ff808a19274d56b548372a4b2,240,960,866,448,429,0.5173210161662818,0.4953810623556582,1.0303030303030303,1.0,0.5384615384615384,198,231,61.34068174018476,1.7623774561200924
2v2,GUARD,19600005,I1_W50_NO_COMMIT,75de0feaef1d4cb8ce5fb3e851e27acdfbbc1bce53778401d75cc1627d33f1fe,240,480,148,0,0,0.0,0.0,,,0.0,0,0,47.748878425675684,0.3991506081081081
2v2,GUARD,19600005,I2_W50_CURRENT_COMMIT,75de0feaef1d4cb8ce5fb3e851e27acdfbbc1bce53778401d75cc1627d33f1fe,240,480,148,22,22,0.14864864864864866,0.14864864864864866,1.4375,3.0,0.2727272727272727,16,6,47.748878425675684,0.3991506081081081
2v2,BREACH,19600005,I1_W50_NO_COMMIT,e6141741349b442c02c45ce0693f85aaf3645e7c0e6412cf0e693383b97f9340,240,480,202,0,0,0.0,0.0,,,0.0,0,0,56.12245363366337,2.3488343960396043
2v2,BREACH,19600005,I2_W50_CURRENT_COMMIT,e6141741349b442c02c45ce0693f85aaf3645e7c0e6412cf0e693383b97f9340,240,480,202,85,80,0.4207920792079208,0.39603960396039606,1.125,2.0,0.5,40,40,56.12245363366337,2.3488343960396043
4v4,GUARD,19600005,I1_W50_NO_COMMIT,ce12957635bc64cf341f89d1e8ca8e0683234c2d327ee0a17b1a4bd81102f324,240,960,198,0,0,0.0,0.0,,,0.0,0,0,60.1756584040404,1.0960705555555557
4v4,GUARD,19600005,I2_W50_CURRENT_COMMIT,ce12957635bc64cf341f89d1e8ca8e0683234c2d327ee0a17b1a4bd81102f324,240,960,198,60,56,0.30303030303030304,0.2828282828282828,1.457142857142857,3.0,0.375,35,21,60.1756584040404,1.0960705555555557
