scale,style,seed,arm,trace_hash,n_ticks,n_agents,eligible_agent_ticks,E_v,E_x_rmse_cells,E_x_p90_cells,mean_target_endpoint_error_cells,mean_direction_error_degrees,switch_requests,blocked_switch_fraction,mean_decision_lag_ticks,p95_decision_lag_ticks,censored_switch_fraction,stale_target_fraction,semantic_execution_fraction,forced_home_carrying_fraction,tagged_redirect_fraction,macro_early_end_fraction
2v2,GUARD,19500001,I0_CONTINUOUS_ORACLE,fa423fa9fe7326602127014608feca610ace627f54366c1c0d732c7f36a20b74,240,2,354,0.0,0.0,0.0,0.0,3.2838871414129943e-07,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23958333333333334,0.0
2v2,GUARD,19500001,I1_W50_NO_COMMIT,fa423fa9fe7326602127014608feca610ace627f54366c1c0d732c7f36a20b74,240,2,354,0.20124955787914528,1.6104080848897717,1.84024362747018,1.9548429631422857,28.78838479183269,156,0.892512077294686,4.122529644268775,5.0,0.6111111111111112,0.0,0.0,0.0,0.23958333333333334,0.0
2v2,GUARD,19500001,I2_W50_CURRENT_COMMIT,fa423fa9fe7326602127014608feca610ace627f54366c1c0d732c7f36a20b74,240,2,354,0.24238388660580337,1.7026850800393205,2.2939205785715826,2.1038708406725366,35.148341122136564,156,0.9070048309178744,3.9134199134199137,5.5,0.6183574879227053,0.4979166666666667,0.0,0.0,0.23958333333333334,0.0
2v2,GUARD,19500001,I3_FULL_CURRENT_MACRO,fa423fa9fe7326602127014608feca610ace627f54366c1c0d732c7f36a20b74,240,2,354,0.2181762824380942,0.9688264632748833,1.432952267694923,0.3302313658580397,31.956062464882212,156,0.8707729468599034,3.884848484848485,5.274999999999999,0.5857487922705314,0.3020833333333333,0.9208333333333334,0.00625,0.23958333333333334,0.5942028985507246
2v2,GUARD,19500002,I0_CONTINUOUS_ORACLE,67a059f0acfb4f0a629fbf0f71700c30eb2e1ac4b6d2cbc467a266476b3368e8,240,2,356,0.0,0.0,0.0,0.0,2.7503081981033546e-07,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23541666666666666,0.0
2v2,GUARD,19500002,I1_W50_NO_COMMIT,67a059f0acfb4f0a629fbf0f71700c30eb2e1ac4b6d2cbc467a266476b3368e8,240,2,356,0.19428283914857336,1.7021664627868733,2.049989392241841,1.9577102942650877,26.805127902636094,140,0.7986666666666666,3.3615384615384616,5.975000000000003,0.48666666666666664,0.0,0.0,0.0,0.23541666666666666,0.0
2v2,GUARD,19500002,I2_W50_CURRENT_COMMIT,67a059f0acfb4f0a629fbf0f71700c30eb2e1ac4b6d2cbc467a266476b3368e8,240,2,356,0.2466734983604022,1.8192084188724846,2.2018646659307177,2.136718675465045,34.91765874636358,140,0.8946666666666667,4.168181818181818,5.749999999999999,0.5786666666666667,0.4895833333333333,0.0,0.0,0.23541666666666666,0.0
2v2,GUARD,19500002,I3_FULL_CURRENT_MACRO,67a059f0acfb4f0a629fbf0f71700c30eb2e1ac4b6d2cbc467a266476b3368e8,240,2,356,0.21564886339162517,0.992410089705849,1.4467374696400972,0.3926038833891097,28.431276751131918,140,0.8946666666666667,3.940909090909091,5.2749999999999995,0.5786666666666667,0.2916666666666667,0.9291666666666667,0.010416666666666666,0.23541666666666666,0.5853658536585366
2v2,GUARD,19500003,I0_CONTINUOUS_ORACLE,882b8fbcdb5b693f278106c9f96bae6696269b8c76db48f747a6eb7fbcbf94a5,240,2,354,0.0,0.0,0.0,0.0,2.947874189291812e-07,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23958333333333334,0.0
2v2,GUARD,19500003,I1_W50_NO_COMMIT,882b8fbcdb5b693f278106c9f96bae6696269b8c76db48f747a6eb7fbcbf94a5,240,2,354,0.23660096822187632,1.8754986977389496,2.2982207856079597,1.954608135168707,27.398373270437947,123,0.8340097402597402,4.0,5.0,0.42491883116883117,0.0,0.0,0.0,0.23958333333333334,0.0
2v2,GUARD,19500003,I2_W50_CURRENT_COMMIT,882b8fbcdb5b693f278106c9f96bae6696269b8c76db48f747a6eb7fbcbf94a5,240,2,354,0.29015138852705885,1.9015501479342667,2.4232711049459166,2.112781406807656,34.646696767921284,123,0.900974025974026,4.342105263157895,6.049999999999999,0.4606331168831169,0.48333333333333334,0.0,0.0,0.23958333333333334,0.0
2v2,GUARD,19500003,I3_FULL_CURRENT_MACRO,882b8fbcdb5b693f278106c9f96bae6696269b8c76db48f747a6eb7fbcbf94a5,240,2,354,0.2348656722275217,1.1556907060034138,1.7048997049751766,0.18425671044663283,29.33737341727021,123,0.8875811688311688,4.25,6.0,0.44724025974025977,0.3125,0.9166666666666667,0.0020833333333333333,0.23958333333333334,0.5756097560975609
2v2,GUARD,19500004,I0_CONTINUOUS_ORACLE,32d56819cce6f79d1305364966b23ff83b229ad04b10501c8adeaee2425cf261,240,2,357,0.0,0.0,0.0,0.0,2.617883615369484e-07,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.0
2v2,GUARD,19500004,I1_W50_NO_COMMIT,32d56819cce6f79d1305364966b23ff83b229ad04b10501c8adeaee2425cf261,240,2,357,0.27087175037854994,2.0426053779090503,2.2920036038508806,1.9504376642120898,26.232084233885637,128,0.8057889822595705,3.875,4.824999999999999,0.41690009337068157,0.0,0.0,0.0,0.23333333333333334,0.0
2v2,GUARD,19500004,I2_W50_CURRENT_COMMIT,32d56819cce6f79d1305364966b23ff83b229ad04b10501c8adeaee2425cf261,240,2,357,0.30182176389780724,2.110221839365691,2.591022475096014,2.0796930971136356,32.53368942503223,128,0.8562091503267973,3.955,5.324999999999999,0.4505135387488328,0.5166666666666667,0.0,0.0,0.23333333333333334,0.0
2v2,GUARD,19500004,I3_FULL_CURRENT_MACRO,32d56819cce6f79d1305364966b23ff83b229ad04b10501c8adeaee2425cf261,240,2,357,0.28304975338331106,1.3893407443555374,1.7879771541218243,0.18992607488123323,34.18833845153902,128,0.8562091503267973,4.226851851851852,6.524999999999999,0.44211017740429503,0.2958333333333333,0.9125,0.0020833333333333333,0.23333333333333334,0.5913461538461539
