arm,pole,seed,pair,steps,blue,red,win,margin
pi_A,A,21200001,,240,1,0,1,1
A_prime,A,21200001,1-2,240,0,1,0,-1
N_prime,A,21200001,1-2,240,1,0,1,1
pi_B,A,21200001,,240,1,0,1,1
pi_A,B,21200001,,216,3,0,1,3
A_prime,B,21200001,1-2,240,1,2,0,-1
N_prime,B,21200001,1-2,240,0,0,0,0
pi_B,B,21200001,,240,1,0,1,1
pi_A,A,21200002,,240,0,0,0,0
A_prime,A,21200002,1-3,120,3,0,1,3
N_prime,A,21200002,1-3,240,2,2,0,0
pi_B,A,21200002,,240,0,0,0,0
pi_A,B,21200002,,240,0,0,0,0
A_prime,B,21200002,1-3,240,0,2,0,-2
N_prime,B,21200002,1-3,240,0,1,0,-1
pi_B,B,21200002,,240,0,0,0,0
pi_A,A,21200003,,240,2,0,1,2
A_prime,A,21200003,2-3,240,2,0,1,2
N_prime,A,21200003,2-3,209,3,0,1,3
pi_B,A,21200003,,240,1,0,1,1
pi_A,B,21200003,,89,3,0,1,3
A_prime,B,21200003,2-3,240,1,0,1,1
N_prime,B,21200003,2-3,240,0,0,0,0
pi_B,B,21200003,,240,0,1,0,-1
pi_A,A,21200004,,240,1,0,1,1
A_prime,A,21200004,0-1,240,2,1,1,1
N_prime,A,21200004,0-1,240,2,2,0,0
pi_B,A,21200004,,115,3,1,1,2
pi_A,B,21200004,,92,3,0,1,3
A_prime,B,21200004,0-1,240,0,2,0,-2
N_prime,B,21200004,0-1,240,0,1,0,-1
pi_B,B,21200004,,240,1,0,1,1
pi_A,A,21200005,,240,0,0,0,0
A_prime,A,21200005,0-2,240,0,0,0,0
N_prime,A,21200005,0-2,224,3,2,1,1
pi_B,A,21200005,,240,1,1,0,0
pi_A,B,21200005,,240,0,0,0,0
A_prime,B,21200005,0-2,240,0,2,0,-2
N_prime,B,21200005,0-2,240,0,0,0,0
pi_B,B,21200005,,240,1,0,1,1
pi_A,A,21200006,,240,1,0,1,1
A_prime,A,21200006,0-3,240,2,2,0,0
N_prime,A,21200006,0-3,240,0,0,0,0
pi_B,A,21200006,,240,0,1,0,-1
pi_A,B,21200006,,240,1,0,1,1
A_prime,B,21200006,0-3,240,0,1,0,-1
N_prime,B,21200006,0-3,240,0,1,0,-1
pi_B,B,21200006,,240,1,0,1,1
pi_A,A,21200007,,240,1,0,1,1
A_prime,A,21200007,1-2,164,3,1,1,2
N_prime,A,21200007,1-2,240,0,0,0,0
pi_B,A,21200007,,240,2,0,1,2
pi_A,B,21200007,,240,2,1,1,1
A_prime,B,21200007,1-2,240,0,2,0,-2
N_prime,B,21200007,1-2,202,0,3,0,-3
pi_B,B,21200007,,240,0,1,0,-1
pi_A,A,21200008,,240,1,1,0,0
A_prime,A,21200008,1-3,240,1,0,1,1
N_prime,A,21200008,1-3,240,2,0,1,2
pi_B,A,21200008,,240,1,0,1,1
pi_A,B,21200008,,240,2,0,1,2
A_prime,B,21200008,1-3,240,0,2,0,-2
N_prime,B,21200008,1-3,240,0,0,0,0
pi_B,B,21200008,,240,2,0,1,2
pi_A,A,21200009,,240,2,0,1,2
A_prime,A,21200009,2-3,146,3,0,1,3
N_prime,A,21200009,2-3,193,3,1,1,2
pi_B,A,21200009,,240,2,0,1,2
pi_A,B,21200009,,240,0,0,0,0
A_prime,B,21200009,2-3,240,0,0,0,0
N_prime,B,21200009,2-3,240,0,0,0,0
pi_B,B,21200009,,240,1,0,1,1
pi_A,A,21200010,,240,0,0,0,0
A_prime,A,21200010,0-1,240,2,0,1,2
N_prime,A,21200010,0-1,184,3,1,1,2
pi_B,A,21200010,,240,0,1,0,-1
pi_A,B,21200010,,144,3,0,1,3
A_prime,B,21200010,0-1,240,0,1,0,-1
N_prime,B,21200010,0-1,240,2,2,0,0
pi_B,B,21200010,,240,0,0,0,0
pi_A,A,21200011,,240,2,0,1,2
A_prime,A,21200011,0-2,240,2,2,0,0
N_prime,A,21200011,0-2,240,1,1,0,0
pi_B,A,21200011,,240,0,0,0,0
pi_A,B,21200011,,124,3,0,1,3
A_prime,B,21200011,0-2,240,0,2,0,-2
N_prime,B,21200011,0-2,240,0,2,0,-2
pi_B,B,21200011,,172,3,0,1,3
pi_A,A,21200012,,240,1,0,1,1
A_prime,A,21200012,0-3,240,0,0,0,0
N_prime,A,21200012,0-3,240,2,1,1,1
