arm,pole,seed,pair,steps,blue,red,win,margin
pi_B,B,21100023,,240,0,0,0,0
pi_A,A,21100024,,240,2,0,1,2
pi_A,B,21100024,,73,3,0,1,3
A_prime,A,21100024,1-3,214,3,0,1,3
A_prime,B,21100024,1-3,240,1,2,0,-1
pi_B,A,21100024,,240,0,0,0,0
pi_B,B,21100024,,240,0,1,0,-1
pi_A,A,21100025,,240,2,0,1,2
pi_A,B,21100025,,224,3,0,1,3
A_prime,A,21100025,2-3,240,1,1,0,0
A_prime,B,21100025,2-3,240,0,0,0,0
pi_B,A,21100025,,143,3,1,1,2
pi_B,B,21100025,,240,0,0,0,0
pi_A,A,21100026,,108,3,0,1,3
pi_A,B,21100026,,240,0,0,0,0
A_prime,A,21100026,0-1,193,3,2,1,1
A_prime,B,21100026,0-1,240,0,0,0,0
pi_B,A,21100026,,240,0,0,0,0
pi_B,B,21100026,,240,2,0,1,2
pi_A,A,21100027,,240,1,0,1,1
pi_A,B,21100027,,85,3,0,1,3
A_prime,A,21100027,0-2,240,0,0,0,0
A_prime,B,21100027,0-2,240,0,1,0,-1
pi_B,A,21100027,,240,0,0,0,0
pi_B,B,21100027,,240,0,0,0,0
pi_A,A,21100028,,240,1,0,1,1
pi_A,B,21100028,,240,1,0,1,1
A_prime,A,21100028,0-3,240,1,0,1,1
A_prime,B,21100028,0-3,240,0,0,0,0
pi_B,A,21100028,,240,0,0,0,0
pi_B,B,21100028,,240,3,0,1,3
pi_A,A,21100029,,140,3,2,1,1
pi_A,B,21100029,,240,0,0,0,0
A_prime,A,21100029,1-2,240,2,1,1,1
A_prime,B,21100029,1-2,240,0,1,0,-1
pi_B,A,21100029,,240,0,0,0,0
pi_B,B,21100029,,240,1,1,0,0
pi_A,A,21100030,,240,1,0,1,1
pi_A,B,21100030,,240,0,0,0,0
A_prime,A,21100030,1-3,240,2,0,1,2
A_prime,B,21100030,1-3,240,1,2,0,-1
pi_B,A,21100030,,240,1,0,1,1
pi_B,B,21100030,,240,1,1,0,0
pi_A,A,21100031,,240,1,0,1,1
pi_A,B,21100031,,96,3,0,1,3
A_prime,A,21100031,2-3,184,3,0,1,3
A_prime,B,21100031,2-3,240,1,0,1,1
pi_B,A,21100031,,240,0,1,0,-1
pi_B,B,21100031,,240,2,0,1,2
pi_A,A,21100032,,240,2,0,1,2
pi_A,B,21100032,,240,0,0,0,0
A_prime,A,21100032,0-1,240,1,0,1,1
A_prime,B,21100032,0-1,240,0,0,0,0
pi_B,A,21100032,,240,0,0,0,0
pi_B,B,21100032,,240,0,0,0,0
pi_A,A,21100033,,240,1,0,1,1
pi_A,B,21100033,,89,3,0,1,3
A_prime,A,21100033,0-2,240,1,0,1,1
A_prime,B,21100033,0-2,240,0,0,0,0
pi_B,A,21100033,,240,0,0,0,0
pi_B,B,21100033,,240,1,0,1,1
pi_A,A,21100034,,240,0,0,0,0
pi_A,B,21100034,,240,0,1,0,-1
A_prime,A,21100034,0-3,240,1,0,1,1
A_prime,B,21100034,0-3,240,1,0,1,1
pi_B,A,21100034,,240,2,1,1,1
pi_B,B,21100034,,240,2,1,1,1
pi_A,A,21100035,,240,2,0,1,2
pi_A,B,21100035,,86,3,0,1,3
A_prime,A,21100035,1-2,240,1,1,0,0
A_prime,B,21100035,1-2,240,0,1,0,-1
pi_B,A,21100035,,240,0,0,0,0
pi_B,B,21100035,,240,1,0,1,1
pi_A,A,21100036,,240,1,0,1,1
pi_A,B,21100036,,240,0,0,0,0
A_prime,A,21100036,1-3,240,1,0,1,1
A_prime,B,21100036,1-3,240,0,2,0,-2
pi_B,A,21100036,,240,1,0,1,1
pi_B,B,21100036,,240,0,0,0,0
pi_A,A,21100037,,240,0,0,0,0
pi_A,B,21100037,,240,0,0,0,0
A_prime,A,21100037,2-3,185,3,0,1,3
A_prime,B,21100037,2-3,240,0,1,0,-1
pi_B,A,21100037,,240,1,0,1,1
pi_B,B,21100037,,240,1,0,1,1
pi_A,A,21100038,,240,1,0,1,1
pi_A,B,21100038,,240,2,0,1,2
A_prime,A,21100038,0-1,240,2,0,1,2
A_prime,B,21100038,0-1,240,2,1,1,1
pi_B,A,21100038,,240,0,0,0,0
pi_B,B,21100038,,230,3,0,1,3
pi_A,A,21100039,,240,2,1,1,1
pi_A,B,21100039,,240,0,0,0,0
A_prime,A,21100039,0-2,185,3,2,1,1
A_prime,B,21100039,0-2,240,0,2,0,-2
pi_B,A,21100039,,240,1,0,1,1
pi_B,B,21100039,,240,1,0,1,1
pi_A,A,21100040,,240,1,0,1,1
pi_A,B,21100040,,240,0,0,0,0
A_prime,A,21100040,0-3,240,2,1,1,1
A_prime,B,21100040,0-3,240,0,0,0,0
pi_B,A,21100040,,240,0,0,0,0
pi_B,B,21100040,,240,0,0,0,0
pi_A,A,21100041,,86,3,0,1,3
pi_A,B,21100041,,118,3,0,1,3
A_prime,A,21100041,1-2,240,1,0,1,1
A_prime,B,21100041,1-2,240,0,1,0,-1
pi_B,A,21100041,,188,3,0,1,3
pi_B,B,21100041,,240,1,1,0,0
pi_A,A,21100042,,240,2,1,1,1
pi_A,B,21100042,,240,0,0,0,0
A_prime,A,21100042,1-3,129,3,0,1,3
A_prime,B,21100042,1-3,240,0,1,0,-1
pi_B,A,21100042,,135,3,0,1,3
pi_B,B,21100042,,240,2,0,1,2
pi_A,A,21100043,,240,1,0,1,1
pi_A,B,21100043,,240,0,0,0,0
A_prime,A,21100043,2-3,240,1,1,0,0
A_prime,B,21100043,2-3,240,0,1,0,-1
pi_B,A,21100043,,240,1,0,1,1
pi_B,B,21100043,,240,1,1,0,0
pi_A,A,21100044,,127,3,0,1,3
pi_A,B,21100044,,240,0,0,0,0
A_prime,A,21100044,0-1,240,0,0,0,0
A_prime,B,21100044,0-1,240,1,1,0,0
pi_B,A,21100044,,240,1,0,1,1
pi_B,B,21100044,,240,0,0,0,0
pi_A,A,21100045,,240,0,0,0,0
pi_A,B,21100045,,223,3,0,1,3
A_prime,A,21100045,0-2,212,3,0,1,3
A_prime,B,21100045,0-2,240,0,0,0,0
pi_B,A,21100045,,240,0,0,0,0
pi_B,B,21100045,,240,1,0,1,1
pi_A,A,21100046,,240,1,0,1,1
pi_A,B,21100046,,95,3,0,1,3
A_prime,A,21100046,0-3,240,0,1,0,-1
A_prime,B,21100046,0-3,240,0,0,0,0
pi_B,A,21100046,,240,0,0,0,0
pi_B,B,21100046,,240,1,0,1,1
pi_A,A,21100047,,240,2,0,1,2
pi_A,B,21100047,,123,3,0,1,3
A_prime,A,21100047,1-2,240,2,0,1,2
A_prime,B,21100047,1-2,240,0,0,0,0
pi_B,A,21100047,,240,1,0,1,1
pi_B,B,21100047,,240,1,1,0,0
pi_A,A,21100048,,240,2,0,1,2
pi_A,B,21100048,,151,3,0,1,3
A_prime,A,21100048,1-3,240,2,2,0,0
A_prime,B,21100048,1-3,240,0,0,0,0
pi_B,A,21100048,,240,0,0,0,0
pi_B,B,21100048,,240,0,0,0,0
pi_A,A,21100049,,240,1,0,1,1
pi_A,B,21100049,,181,3,0,1,3
A_prime,A,21100049,2-3,240,0,1,0,-1
A_prime,B,21100049,2-3,240,0,0,0,0
pi_B,A,21100049,,240,0,0,0,0
pi_B,B,21100049,,240,2,1,1,1
pi_A,A,21100050,,240,2,0,1,2
pi_A,B,21100050,,105,3,0,1,3
A_prime,A,21100050,0-1,240,2,1,1,1
A_prime,B,21100050,0-1,240,0,0,0,0
pi_B,A,21100050,,240,0,1,0,-1
pi_B,B,21100050,,240,1,0,1,1
pi_A,A,21100051,,240,1,1,0,0
pi_A,B,21100051,,240,0,0,0,0
A_prime,A,21100051,0-2,240,2,1,1,1
A_prime,B,21100051,0-2,240,0,2,0,-2
pi_B,A,21100051,,240,0,0,0,0
pi_B,B,21100051,,240,0,0,0,0
pi_A,A,21100052,,240,0,0,0,0
pi_A,B,21100052,,240,0,0,0,0
A_prime,A,21100052,0-3,240,0,0,0,0
A_prime,B,21100052,0-3,240,0,2,0,-2
pi_B,A,21100052,,240,0,0,0,0
pi_B,B,21100052,,240,1,0,1,1
pi_A,A,21100053,,240,1,0,1,1
pi_A,B,21100053,,240,2,0,1,2
A_prime,A,21100053,1-2,175,3,0,1,3
A_prime,B,21100053,1-2,240,0,1,0,-1
pi_B,A,21100053,,240,1,0,1,1
pi_B,B,21100053,,172,3,0,1,3
pi_A,A,21100054,,240,1,0,1,1
