scale,style,seed,arm,tick,agent,E_v_tick,trace_hash
4v4,BREACH,19500001,I1_W50_NO_COMMIT,239,2,0.417521,97806d6ad0c2a662a76213d86b89f6b22147c431c558ad627cf8f5599c08ba55
4v4,BREACH,19500001,I1_W50_NO_COMMIT,239,3,0.417521,97806d6ad0c2a662a76213d86b89f6b22147c431c558ad627cf8f5599c08ba55
4v4,BREACH,19500001,I2_W50_CURRENT_COMMIT,239,0,0.512306,97806d6ad0c2a662a76213d86b89f6b22147c431c558ad627cf8f5599c08ba55
4v4,BREACH,19500001,I2_W50_CURRENT_COMMIT,239,1,0.512306,97806d6ad0c2a662a76213d86b89f6b22147c431c558ad627cf8f5599c08ba55
4v4,BREACH,19500001,I2_W50_CURRENT_COMMIT,239,2,0.512306,97806d6ad0c2a662a76213d86b89f6b22147c431c558ad627cf8f5599c08ba55
4v4,BREACH,19500001,I2_W50_CURRENT_COMMIT,239,3,0.512306,97806d6ad0c2a662a76213d86b89f6b22147c431c558ad627cf8f5599c08ba55
4v4,BREACH,19500001,I3_FULL_CURRENT_MACRO,239,0,0.515621,97806d6ad0c2a662a76213d86b89f6b22147c431c558ad627cf8f5599c08ba55
4v4,BREACH,19500001,I3_FULL_CURRENT_MACRO,239,1,0.515621,97806d6ad0c2a662a76213d86b89f6b22147c431c558ad627cf8f5599c08ba55
4v4,BREACH,19500001,I3_FULL_CURRENT_MACRO,239,2,0.515621,97806d6ad0c2a662a76213d86b89f6b22147c431c558ad627cf8f5599c08ba55
4v4,BREACH,19500001,I3_FULL_CURRENT_MACRO,239,3,0.515621,97806d6ad0c2a662a76213d86b89f6b22147c431c558ad627cf8f5599c08ba55
2v2,GUARD,19500002,I0_CONTINUOUS_ORACLE,239,0,0.223885,60247556d5e631ad27e4c3b0f88046c4edd0b2540a32f634e960cc2469d43002
2v2,GUARD,19500002,I0_CONTINUOUS_ORACLE,239,1,0.223885,60247556d5e631ad27e4c3b0f88046c4edd0b2540a32f634e960cc2469d43002
2v2,GUARD,19500002,I1_W50_NO_COMMIT,239,0,0.250208,60247556d5e631ad27e4c3b0f88046c4edd0b2540a32f634e960cc2469d43002
2v2,GUARD,19500002,I1_W50_NO_COMMIT,239,1,0.250208,60247556d5e631ad27e4c3b0f88046c4edd0b2540a32f634e960cc2469d43002
2v2,GUARD,19500002,I2_W50_CURRENT_COMMIT,239,0,0.306797,60247556d5e631ad27e4c3b0f88046c4edd0b2540a32f634e960cc2469d43002
2v2,GUARD,19500002,I2_W50_CURRENT_COMMIT,239,1,0.306797,60247556d5e631ad27e4c3b0f88046c4edd0b2540a32f634e960cc2469d43002
2v2,GUARD,19500002,I3_FULL_CURRENT_MACRO,239,0,0.264543,60247556d5e631ad27e4c3b0f88046c4edd0b2540a32f634e960cc2469d43002
2v2,GUARD,19500002,I3_FULL_CURRENT_MACRO,239,1,0.264543,60247556d5e631ad27e4c3b0f88046c4edd0b2540a32f634e960cc2469d43002
2v2,BREACH,19500002,I0_CONTINUOUS_ORACLE,239,0,0.3547,a3d09194cc3150b2857ee49ab17391ddf06a0a098910c4213b4597f6daa5dc7f
2v2,BREACH,19500002,I0_CONTINUOUS_ORACLE,239,1,0.3547,a3d09194cc3150b2857ee49ab17391ddf06a0a098910c4213b4597f6daa5dc7f
2v2,BREACH,19500002,I1_W50_NO_COMMIT,239,0,0.368957,a3d09194cc3150b2857ee49ab17391ddf06a0a098910c4213b4597f6daa5dc7f
2v2,BREACH,19500002,I1_W50_NO_COMMIT,239,1,0.368957,a3d09194cc3150b2857ee49ab17391ddf06a0a098910c4213b4597f6daa5dc7f
2v2,BREACH,19500002,I2_W50_CURRENT_COMMIT,239,0,0.397623,a3d09194cc3150b2857ee49ab17391ddf06a0a098910c4213b4597f6daa5dc7f
2v2,BREACH,19500002,I2_W50_CURRENT_COMMIT,239,1,0.397623,a3d09194cc3150b2857ee49ab17391ddf06a0a098910c4213b4597f6daa5dc7f
2v2,BREACH,19500002,I3_FULL_CURRENT_MACRO,239,0,0.443531,a3d09194cc3150b2857ee49ab17391ddf06a0a098910c4213b4597f6daa5dc7f
2v2,BREACH,19500002,I3_FULL_CURRENT_MACRO,239,1,0.443531,a3d09194cc3150b2857ee49ab17391ddf06a0a098910c4213b4597f6daa5dc7f
4v4,GUARD,19500002,I0_CONTINUOUS_ORACLE,239,0,0.425194,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I0_CONTINUOUS_ORACLE,239,1,0.425194,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I0_CONTINUOUS_ORACLE,239,2,0.425194,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I0_CONTINUOUS_ORACLE,239,3,0.425194,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I1_W50_NO_COMMIT,239,0,0.487044,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I1_W50_NO_COMMIT,239,1,0.487044,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I1_W50_NO_COMMIT,239,2,0.487044,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I1_W50_NO_COMMIT,239,3,0.487044,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I2_W50_CURRENT_COMMIT,239,0,0.550368,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I2_W50_CURRENT_COMMIT,239,1,0.550368,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I2_W50_CURRENT_COMMIT,239,2,0.550368,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I2_W50_CURRENT_COMMIT,239,3,0.550368,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I3_FULL_CURRENT_MACRO,239,0,0.531617,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I3_FULL_CURRENT_MACRO,239,1,0.531617,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I3_FULL_CURRENT_MACRO,239,2,0.531617,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I3_FULL_CURRENT_MACRO,239,3,0.531617,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,BREACH,19500002,I0_CONTINUOUS_ORACLE,239,0,0.56734,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I0_CONTINUOUS_ORACLE,239,1,0.56734,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I0_CONTINUOUS_ORACLE,239,2,0.56734,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I0_CONTINUOUS_ORACLE,239,3,0.56734,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I1_W50_NO_COMMIT,239,0,0.612616,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I1_W50_NO_COMMIT,239,1,0.612616,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I1_W50_NO_COMMIT,239,2,0.612616,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I1_W50_NO_COMMIT,239,3,0.612616,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I2_W50_CURRENT_COMMIT,239,0,0.839049,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I2_W50_CURRENT_COMMIT,239,1,0.839049,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I2_W50_CURRENT_COMMIT,239,2,0.839049,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I2_W50_CURRENT_COMMIT,239,3,0.839049,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I3_FULL_CURRENT_MACRO,239,0,0.811272,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
