composition,assignment,pole,seed,steps,true_defenders,share_pos_open,share_pos_alt,share_int_open,n_active_open,hold_id0,hold_id1,hold_id2,hold_id3,hold_id4,hold_id5,macro0,macro1,macro2,macro3,macro4,macro5,macro6,macro7
5A_1D,PREFIX,A,20700010,20,1,0.5166666666666667,0.4166666666666667,0.125,5.3,1.0,0.0,0.4,0.3,0.7,0.5,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20700011,20,1,0.43666666666666665,0.2866666666666666,0.10333333333333332,5.3,1.0,0.0,0.4,0.0,0.4,0.6,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20700012,20,1,0.4,0.31666666666666665,0.14999999999999997,5.3,0.8,0.5,0.0,0.0,0.3,0.6,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20700013,20,1,0.12333333333333332,0.2566666666666667,0.15333333333333332,5.5,0.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20700014,20,1,0.3,0.3433333333333334,0.14999999999999997,5.1,0.4,0.4,0.0,0.0,0.7,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20700015,20,1,0.46833333333333327,0.3433333333333334,0.11166666666666666,5.3,1.0,0.0,0.6,0.3,0.7,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20700016,20,1,0.15333333333333332,0.195,0.1433333333333333,5.7,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20700001,20,1,0.4600000000000001,0.29333333333333333,0.12333333333333332,5.7,0.0,0.3,0.3,0.7,0.7,0.7,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20700002,20,1,0.29833333333333334,0.4149999999999999,0.13166666666666665,5.3,0.0,0.2,0.0,0.6,0.0,0.8,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20700003,20,1,0.2733333333333333,0.24666666666666665,0.145,5.6,0.0,0.5,0.0,0.0,0.7,0.4,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20700004,20,1,0.43999999999999995,0.29000000000000004,0.10333333333333332,5.5,0.5,0.0,0.4,0.1,0.6,0.9,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20700005,20,1,0.325,0.25833333333333336,0.14999999999999997,5.2,0.0,0.4,0.5,0.4,0.0,0.4,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20700006,20,1,0.5366666666666667,0.23333333333333334,0.10666666666666666,5.8,0.6,0.7,0.0,0.5,0.5,0.9,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20700007,20,1,0.33166666666666667,0.255,0.095,5.6,0.4,0.0,0.6,0.0,0.0,0.9,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20700008,20,1,0.33666666666666667,0.24333333333333332,0.075,5.5,0.4,0.0,0.0,0.6,0.0,0.9,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20700009,20,1,0.4116666666666666,0.2783333333333333,0.11666666666666665,5.4,0.5,0.3,0.0,0.0,0.7,0.9,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20700010,20,1,0.45666666666666667,0.3066666666666667,0.095,5.4,0.3,0.0,0.4,0.3,0.6,1.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20700011,20,1,0.375,0.29166666666666663,0.15833333333333333,5.2,0.3,0.0,0.4,0.0,0.4,0.9,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20700012,20,1,0.33333333333333337,0.325,0.1,5.3,0.0,0.5,0.0,0.0,0.3,1.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20700013,20,1,0.195,0.26166666666666666,0.17833333333333332,5.4,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20700014,20,1,0.33333333333333337,0.35,0.14999999999999997,5.1,0.0,0.4,0.0,0.0,0.7,0.6,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20700015,20,1,0.5016666666666667,0.36833333333333335,0.16499999999999998,5.3,0.5,0.0,0.6,0.3,0.7,0.7,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20700016,20,1,0.22666666666666666,0.25,0.12333333333333332,5.7,0.0,0.0,0.6,0.0,0.0,0.7,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
4A_2D,PREFIX,A,20700001,20,2,0.6033333333333333,0.52,0.22666666666666666,5.7,0.8,1.0,0.3,0.7,0.7,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20700002,20,2,0.4066666666666666,0.45666666666666667,0.21999999999999997,5.9,0.7,1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20700003,20,2,0.36333333333333334,0.41166666666666674,0.22666666666666666,5.6,0.3,1.0,0.0,0.0,0.7,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20700004,20,2,0.42333333333333334,0.42333333333333334,0.24333333333333332,5.6,0.9,0.4,0.4,0.1,0.6,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20700005,20,2,0.45,0.47666666666666657,0.225,5.4,0.7,0.9,0.4,0.4,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20700006,20,2,0.5366666666666667,0.3583333333333333,0.2733333333333333,5.5,0.8,0.9,0.0,0.5,0.5,0.3,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20700007,20,2,0.44333333333333336,0.37666666666666665,0.24666666666666665,5.8,0.8,0.7,0.6,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20700008,20,2,0.4,0.4,0.26666666666666666,5.6,1.0,0.2,0.0,0.6,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20700009,20,2,0.5399999999999999,0.5983333333333334,0.295,5.4,0.9,1.0,0.0,0.0,0.7,0.3,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
