policy,pole,arm,seed,defender_id,blue,red,win,margin,steps,sealed_blue,sealed_red,time_to_first_carry,time_to_first_carry_excl_defender,n_carry_starts,n_carry_starts_excl_defender,total_carry_ticks,total_carry_ticks_excl_defender,n_carry_clean_release,n_carry_tag_caught,red_carrying_ticks,n_red_carry_starts,tagged_ticks_total,tagged_fraction,first_tag_tick,mean_active_count
pi_B,B,native,20900005,1,3,0,1,3,160,3,0,13.0,13.0,9,8,61,57,2,6,0,0,331,0.34479166666666666,7.0,3.93125
pi_B,B,plus_one_defender,20900005,1,2,0,1,2,240,2,0,13.0,13.0,11,11,57,57,2,8,2,1,502,0.3486111111111111,7.0,3.908333333333333
pi_A,A,native,20900006,2,0,0,0,0,240,0,0,13.0,13.0,2,2,224,224,0,1,218,1,68,0.04722222222222222,8.0,5.716666666666667
pi_A,A,plus_one_defender,20900006,2,3,0,1,3,78,3,0,13.0,13.0,3,3,43,43,2,0,4,1,69,0.14743589743589744,8.0,5.115384615384615
pi_A,B,native,20900006,2,3,0,1,3,90,3,0,13.0,13.0,4,4,43,43,2,1,4,1,126,0.23333333333333334,8.0,4.6
pi_A,B,plus_one_defender,20900006,2,2,0,1,2,240,2,0,13.0,13.0,8,8,42,42,2,6,4,1,513,0.35625,8.0,3.8625
pi_B,A,native,20900006,2,0,0,0,0,240,0,0,13.0,13.0,2,2,224,224,0,1,218,1,32,0.022222222222222223,8.0,5.866666666666666
pi_B,A,plus_one_defender,20900006,2,3,0,1,3,79,3,0,13.0,13.0,3,3,43,43,2,0,1,1,87,0.18354430379746836,8.0,4.89873417721519
pi_B,B,native,20900006,2,3,0,1,3,95,3,0,13.0,13.0,3,2,43,28,2,0,0,0,191,0.3350877192982456,9.0,3.9894736842105263
pi_B,B,plus_one_defender,20900006,2,3,0,1,3,88,3,0,13.0,13.0,3,3,44,44,2,0,0,0,100,0.1893939393939394,8.0,4.863636363636363
pi_A,A,native,20900007,3,1,0,1,1,240,1,0,14.0,14.0,3,3,211,211,1,1,210,1,52,0.03611111111111111,6.0,5.783333333333333
pi_A,A,plus_one_defender,20900007,3,3,1,1,2,232,3,1,14.0,14.0,5,5,172,172,2,2,155,2,182,0.1307471264367816,7.0,5.2155172413793105
pi_A,B,native,20900007,3,2,0,1,2,240,2,0,13.0,13.0,5,5,189,189,2,2,171,1,156,0.10833333333333334,6.0,5.35
pi_A,B,plus_one_defender,20900007,3,1,0,1,1,240,1,0,14.0,14.0,8,8,33,33,1,7,0,0,495,0.34375,6.0,3.9375
pi_B,A,native,20900007,3,1,0,1,1,240,1,0,13.0,13.0,4,3,213,209,1,2,210,1,80,0.05555555555555555,6.0,5.666666666666667
pi_B,A,plus_one_defender,20900007,3,3,0,1,3,78,3,0,13.0,13.0,3,3,42,42,2,0,3,2,83,0.17735042735042736,7.0,4.935897435897436
pi_B,B,native,20900007,3,3,0,1,3,83,3,0,13.0,13.0,4,4,43,43,2,1,1,1,112,0.2248995983935743,6.0,4.650602409638554
pi_B,B,plus_one_defender,20900007,3,1,0,1,1,240,1,0,13.0,13.0,7,7,164,164,1,5,139,1,282,0.19583333333333333,6.0,4.825
pi_A,A,native,20900008,4,1,0,1,1,240,1,0,13.0,13.0,3,3,212,212,1,1,201,2,107,0.07430555555555556,7.0,5.554166666666666
pi_A,A,plus_one_defender,20900008,4,3,0,1,3,119,3,0,13.0,13.0,7,7,53,53,2,4,0,0,157,0.21988795518207283,7.0,4.680672268907563
