step,policy,pole,seed,blue,red,win,margin
1000000,pi_A,B,17300008,0,0,0,0
1000000,pi_A,B,17300009,2,0,1,2
1000000,pi_A,B,17300010,0,0,0,0
1000000,pi_A,B,17300011,0,0,0,0
1000000,pi_A,B,17300012,3,0,1,3
1000000,pi_A,B,17300013,3,1,1,2
1000000,pi_A,B,17300014,3,0,1,3
1000000,pi_A,B,17300015,3,0,1,3
1000000,pi_A,B,17300016,3,0,1,3
1000000,pi_A,B,17300017,3,0,1,3
1000000,pi_A,B,17300018,1,0,1,1
1000000,pi_A,B,17300019,1,1,0,0
1000000,pi_A,B,17300020,3,0,1,3
1000000,pi_A,B,17300021,3,0,1,3
1000000,pi_A,B,17300022,0,0,0,0
1000000,pi_A,B,17300023,3,0,1,3
1000000,pi_A,B,17300024,0,0,0,0
1000000,pi_B,A,17300001,3,0,1,3
1000000,pi_B,A,17300002,1,0,1,1
1000000,pi_B,A,17300003,0,0,0,0
1000000,pi_B,A,17300004,1,0,1,1
1000000,pi_B,A,17300005,2,0,1,2
1000000,pi_B,A,17300006,0,0,0,0
1000000,pi_B,A,17300007,1,0,1,1
1000000,pi_B,A,17300008,1,0,1,1
1000000,pi_B,A,17300009,1,0,1,1
1000000,pi_B,A,17300010,1,0,1,1
1000000,pi_B,A,17300011,0,0,0,0
1000000,pi_B,A,17300012,0,1,0,-1
1000000,pi_B,A,17300013,1,0,1,1
1000000,pi_B,A,17300014,3,0,1,3
1000000,pi_B,A,17300015,1,0,1,1
1000000,pi_B,A,17300016,1,0,1,1
1000000,pi_B,A,17300017,0,0,0,0
1000000,pi_B,A,17300018,0,0,0,0
1000000,pi_B,A,17300019,1,0,1,1
1000000,pi_B,A,17300020,1,0,1,1
1000000,pi_B,A,17300021,0,0,0,0
1000000,pi_B,A,17300022,3,0,1,3
1000000,pi_B,A,17300023,0,0,0,0
1000000,pi_B,A,17300024,2,0,1,2
1000000,pi_B,B,17300001,0,0,0,0
1000000,pi_B,B,17300002,0,0,0,0
1000000,pi_B,B,17300003,3,0,1,3
1000000,pi_B,B,17300004,2,0,1,2
1000000,pi_B,B,17300005,2,0,1,2
1000000,pi_B,B,17300006,0,0,0,0
1000000,pi_B,B,17300007,3,0,1,3
1000000,pi_B,B,17300008,0,0,0,0
1000000,pi_B,B,17300009,3,0,1,3
1000000,pi_B,B,17300010,0,0,0,0
1000000,pi_B,B,17300011,2,0,1,2
1000000,pi_B,B,17300012,1,0,1,1
1000000,pi_B,B,17300013,3,0,1,3
1000000,pi_B,B,17300014,3,0,1,3
1000000,pi_B,B,17300015,2,0,1,2
1000000,pi_B,B,17300016,3,0,1,3
1000000,pi_B,B,17300017,0,0,0,0
1000000,pi_B,B,17300018,3,0,1,3
1000000,pi_B,B,17300019,2,0,1,2
1000000,pi_B,B,17300020,3,0,1,3
1000000,pi_B,B,17300021,3,0,1,3
1000000,pi_B,B,17300022,0,0,0,0
1000000,pi_B,B,17300023,3,0,1,3
1000000,pi_B,B,17300024,2,0,1,2
