seed,t,agent,carrying,pressured,near_enemy_flag,near_own_flag,macro_driver,macro_student,macro_better
18900001,18,1,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,18,2,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,18,3,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,19,0,1,1,1,0,GO_HOME,GO_HOME,GO_HOME
18900001,19,1,0,0,0,1,GO_TO,GET_FLAG,GET_FLAG
18900001,19,2,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,19,3,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,20,0,1,1,1,0,GO_HOME,GO_HOME,GO_HOME
18900001,20,1,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,20,2,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,20,3,0,0,0,0,GET_FLAG,GET_FLAG,GO_TO
18900001,21,0,1,1,1,0,GO_HOME,GO_HOME,GO_HOME
18900001,21,1,0,0,0,0,GO_TO,GET_FLAG,GO_TO
18900001,21,2,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,21,3,0,0,0,0,GET_FLAG,GET_FLAG,GO_TO
18900001,22,0,0,1,1,0,GET_FLAG,GO_TO,GO_TO
18900001,22,1,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,22,2,0,0,0,1,GET_FLAG,GET_FLAG,GO_TO
18900001,22,3,0,0,0,0,GET_FLAG,GO_TO,GO_TO
18900001,23,0,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,23,1,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,23,2,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,23,3,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,24,0,0,1,0,0,GET_FLAG,GET_FLAG,GO_TO
18900001,24,1,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,24,2,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,24,3,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,25,0,0,1,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,25,1,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,25,2,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,25,3,0,0,0,1,GO_TO,GET_FLAG,GET_FLAG
18900001,26,0,0,1,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,26,1,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,26,2,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,26,3,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,27,0,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,27,1,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,27,2,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,27,3,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,28,0,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,28,1,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,28,2,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,28,3,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,29,0,0,0,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,29,1,0,0,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,29,2,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,29,3,0,0,0,1,GO_TO,GET_FLAG,GET_FLAG
18900001,30,0,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,30,1,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,30,2,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,30,3,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,31,0,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,31,1,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,31,2,0,1,0,0,GO_TO,GET_FLAG,GO_TO
18900001,31,3,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,32,0,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,32,1,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,32,2,0,1,0,0,GO_TO,GET_FLAG,GO_TO
18900001,32,3,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,33,0,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,33,1,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,33,2,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,33,3,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,34,0,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,34,1,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,34,2,0,0,0,0,GO_TO,GET_FLAG,GO_TO
18900001,34,3,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,35,0,0,0,0,1,GET_FLAG,GET_FLAG,GO_TO
18900001,35,1,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,35,2,0,0,0,1,GET_FLAG,GO_TO,GO_TO
18900001,35,3,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,36,0,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,36,1,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,36,2,0,0,0,1,GO_TO,GET_FLAG,GET_FLAG
18900001,36,3,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,37,0,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,37,1,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,37,2,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,37,3,0,1,0,0,GET_FLAG,GET_FLAG,GO_TO
18900001,38,0,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,38,1,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,38,2,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,38,3,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,39,0,0,1,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,39,1,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,39,2,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,39,3,0,1,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,40,0,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,40,1,0,1,1,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,40,2,0,0,0,1,GO_TO,GET_FLAG,GO_TO
18900001,40,3,0,0,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,41,0,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,41,1,0,1,1,0,GO_TO,GET_FLAG,GET_FLAG
18900001,41,2,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,41,3,0,0,0,0,GO_TO,GET_FLAG,GO_TO
18900001,42,0,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,42,1,0,1,1,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,42,2,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,42,3,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,43,0,0,0,0,0,GET_FLAG,GET_FLAG,GO_TO
18900001,43,1,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,43,2,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,43,3,0,0,0,1,GET_FLAG,GET_FLAG,GO_TO
18900001,44,0,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,44,1,0,1,0,0,GO_TO,GET_FLAG,GO_TO
18900001,44,2,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,44,3,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,45,0,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,45,1,0,0,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,45,2,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,45,3,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,46,0,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,46,1,0,1,0,0,GO_TO,GET_FLAG,GO_TO
18900001,46,2,0,0,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,46,3,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,47,0,0,0,0,0,GET_FLAG,GET_FLAG,GO_TO
18900001,47,1,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,47,2,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,47,3,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,48,0,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,48,1,0,0,0,0,GET_FLAG,GET_FLAG,GO_TO
18900001,48,2,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,48,3,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,49,0,0,1,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,49,1,0,0,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,49,2,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,49,3,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,50,0,0,1,0,0,GET_FLAG,GET_FLAG,GO_TO
18900001,50,1,0,0,0,1,GO_TO,GET_FLAG,GO_TO
18900001,50,2,0,0,0,0,GO_TO,GET_FLAG,GO_TO
18900001,50,3,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,51,0,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,51,1,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,51,2,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,51,3,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,52,0,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,52,1,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,52,2,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,52,3,0,1,0,0,GET_FLAG,GET_FLAG,GO_TO
18900001,53,0,0,0,0,0,GO_TO,GET_FLAG,GO_TO
18900001,53,1,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,53,2,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,53,3,0,1,0,0,GO_TO,GET_FLAG,GO_TO
18900001,54,0,0,0,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,54,1,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,54,2,0,0,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,54,3,0,0,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,55,0,0,0,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,55,1,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,55,2,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,55,3,0,0,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,56,0,0,0,0,1,GO_TO,GET_FLAG,GO_TO
18900001,56,1,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,56,2,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,56,3,0,0,0,0,GO_TO,GET_FLAG,GO_TO
18900001,57,0,0,0,0,1,GO_TO,GET_FLAG,GET_FLAG
18900001,57,1,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,57,2,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,57,3,0,0,0,1,GO_TO,GET_FLAG,GET_FLAG
18900001,58,0,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,58,1,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,58,2,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
