z,K,seed,held,blue,red,win,margin,steps
0,0,13710001,,1,0,1,1,240
0,0,13710002,,1,1,0,0,240
0,0,13710003,,1,0,1,1,240
0,0,13710004,,1,0,1,1,240
0,0,13710005,,2,0,1,2,240
0,0,13710006,,2,1,1,1,240
0,0,13710007,,1,0,1,1,240
0,0,13710008,,1,0,1,1,240
0,0,13710009,,1,0,1,1,240
0,0,13710010,,1,0,1,1,240
0,0,13710011,,1,0,1,1,240
0,0,13710012,,2,0,1,2,240
0,0,13710013,,1,0,1,1,240
0,0,13710014,,1,0,1,1,240
0,0,13710015,,1,0,1,1,240
0,0,13710016,,0,0,0,0,240
0,0,13710017,,2,0,1,2,240
0,0,13710018,,1,0,1,1,240
0,0,13710019,,3,0,1,3,92
0,0,13710020,,3,0,1,3,87
0,4,13710001,"0,3,2,4",1,0,1,1,240
0,4,13710002,"4,2,1,0",3,1,1,2,113
0,4,13710003,"5,4,1,3",1,0,1,1,240
0,4,13710004,"4,5,3,2",1,0,1,1,240
0,4,13710005,"0,5,2,1",2,0,1,2,240
0,4,13710006,"2,0,3,1",1,0,1,1,240
0,4,13710007,"2,3,5,0",1,0,1,1,240
0,4,13710008,"3,1,2,0",2,1,1,1,240
0,4,13710009,"4,5,1,0",1,0,1,1,240
0,4,13710010,"1,0,2,5",3,0,1,3,85
0,4,13710011,"0,2,3,4",1,0,1,1,240
0,4,13710012,"2,0,3,4",3,0,1,3,121
0,4,13710013,"0,1,5,2",1,0,1,1,240
0,4,13710014,"1,5,4,0",1,0,1,1,240
0,4,13710015,"5,2,3,4",1,0,1,1,240
0,4,13710016,"0,2,1,4",1,0,1,1,240
0,4,13710017,"3,2,5,1",3,0,1,3,107
0,4,13710018,"0,5,3,1",1,0,1,1,240
0,4,13710019,"4,3,5,1",1,0,1,1,240
0,4,13710020,"5,3,0,2",1,0,1,1,240
0,5,13710001,"0,3,2,4,1",1,0,1,1,240
0,5,13710002,"4,2,1,0,5",3,1,1,2,117
0,5,13710003,"5,4,1,3,2",1,0,1,1,240
0,5,13710004,"4,5,3,2,1",1,0,1,1,240
0,5,13710005,"0,5,2,1,3",0,0,0,0,240
0,5,13710006,"2,0,3,1,4",1,0,1,1,240
0,5,13710007,"2,3,5,0,1",1,0,1,1,240
