seed,pole,composition,defender_ids,attacker_ids,blue_score,red_score,blue_win,draw,steps,blue_alive_end,red_alive_end,genome_id,pole_config_hash,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count,arm
20300036,A,2A_2D,"0,1","2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,108,372,363,117,178,0,FIXED_2A2D
20300037,A,2A_2D,"0,1","2,3",3,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,368,112,162,318,167,0,FIXED_2A2D
20300038,A,2A_2D,"0,1","2,3",2,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,384,96,185,295,155,0,FIXED_2A2D
20300039,A,2A_2D,"0,1","2,3",4,2,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,336,144,263,217,169,0,FIXED_2A2D
20300040,A,2A_2D,"0,1","2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,252,228,209,271,187,0,FIXED_2A2D
20300041,A,2A_2D,"0,1","2,3",5,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,240,240,291,189,123,0,FIXED_2A2D
20300042,A,2A_2D,"0,1","2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,86,394,398,82,209,0,FIXED_2A2D
20300043,A,2A_2D,"0,1","2,3",2,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,230,250,212,268,152,0,FIXED_2A2D
20300044,A,2A_2D,"0,1","2,3",2,3,0,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,328,152,324,156,220,0,FIXED_2A2D
20300045,A,2A_2D,"0,1","2,3",3,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,258,222,297,183,176,0,FIXED_2A2D
20300046,A,2A_2D,"0,1","2,3",2,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,198,282,339,141,175,0,FIXED_2A2D
20300047,A,2A_2D,"0,1","2,3",2,2,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,392,88,261,219,199,0,FIXED_2A2D
20300048,A,2A_2D,"0,1","2,3",4,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,328,152,259,221,120,0,FIXED_2A2D
20300049,A,2A_2D,"0,1","2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,402,78,62,418,172,0,FIXED_2A2D
20300050,A,2A_2D,"0,1","2,3",0,1,0,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,134,346,397,83,219,0,FIXED_2A2D
20300051,A,2A_2D,"0,1","2,3",3,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,340,140,251,229,188,0,FIXED_2A2D
20300052,A,2A_2D,"0,1","2,3",2,2,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,392,88,224,256,186,0,FIXED_2A2D
20300053,A,2A_2D,"0,1","2,3",2,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,312,168,273,207,162,0,FIXED_2A2D
20300054,A,2A_2D,"0,1","2,3",3,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,366,114,116,364,142,0,FIXED_2A2D
20300055,A,2A_2D,"0,1","2,3",1,1,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,402,78,155,325,184,0,FIXED_2A2D
20300056,A,2A_2D,"0,1","2,3",3,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,236,244,306,174,174,0,FIXED_2A2D
20300057,A,2A_2D,"0,1","2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,70,410,429,51,209,0,FIXED_2A2D
20300058,A,2A_2D,"0,1","2,3",1,1,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,250,230,299,181,174,0,FIXED_2A2D
20300059,A,2A_2D,"0,1","2,3",2,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,238,242,331,149,194,0,FIXED_2A2D
20300060,A,2A_2D,"0,1","2,3",3,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,312,168,257,223,173,0,FIXED_2A2D
20300061,A,2A_2D,"0,1","2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,264,216,289,191,214,0,FIXED_2A2D
20300062,A,2A_2D,"0,1","2,3",3,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,292,188,288,192,153,0,FIXED_2A2D
20300063,A,2A_2D,"0,1","2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,170,310,325,155,196,0,FIXED_2A2D
20300064,A,2A_2D,"0,1","2,3",3,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,370,110,125,355,131,0,FIXED_2A2D
20300065,A,2A_2D,"0,1","2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,96,384,432,48,138,0,FIXED_2A2D
20300066,A,2A_2D,"0,1","2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,92,388,421,59,212,0,FIXED_2A2D
20300067,A,2A_2D,"0,1","2,3",2,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,260,220,343,137,200,0,FIXED_2A2D
