scale,strategy,pole,arm,seed,blue,red,win,n_decisions,n_waypoint_actions
2v2,GUARD,A,ORIGINAL,17600001,3,1,1,0,0
2v2,GUARD,A,ORIGINAL,17600002,2,0,1,0,0
2v2,GUARD,A,ORIGINAL,17600003,1,2,0,0,0
2v2,GUARD,A,ORIGINAL,17600004,2,1,1,0,0
2v2,GUARD,A,ORIGINAL,17600005,2,1,1,0,0
2v2,GUARD,A,ORIGINAL,17600006,3,1,1,0,0
2v2,GUARD,A,ORIGINAL,17600007,2,0,1,0,0
2v2,GUARD,A,ORIGINAL,17600008,1,1,0,0,0
2v2,GUARD,A,ORIGINAL,17600009,2,1,1,0,0
2v2,GUARD,A,ORIGINAL,17600010,3,1,1,0,0
2v2,GUARD,A,ORIGINAL,17600011,2,0,1,0,0
2v2,GUARD,A,ORIGINAL,17600012,3,1,1,0,0
2v2,GUARD,A,ORIGINAL,17600013,0,3,0,0,0
2v2,GUARD,A,ORIGINAL,17600014,0,2,0,0,0
2v2,GUARD,A,ORIGINAL,17600015,2,1,1,0,0
2v2,GUARD,A,ORIGINAL,17600016,1,0,1,0,0
2v2,GUARD,A,ORIGINAL,17600017,1,0,1,0,0
2v2,GUARD,A,ORIGINAL,17600018,2,0,1,0,0
2v2,GUARD,A,ORIGINAL,17600019,1,1,0,0,0
2v2,GUARD,A,ORIGINAL,17600020,2,1,1,0,0
2v2,GUARD,A,ORIGINAL,17600021,2,1,1,0,0
2v2,GUARD,A,ORIGINAL,17600022,2,0,1,0,0
2v2,GUARD,A,ORIGINAL,17600023,0,0,0,0,0
2v2,GUARD,A,ORIGINAL,17600024,1,0,1,0,0
2v2,GUARD,A,PROJECTED,17600001,2,0,1,185,26
2v2,GUARD,A,PROJECTED,17600002,1,0,1,145,9
2v2,GUARD,A,PROJECTED,17600003,3,0,1,82,3
2v2,GUARD,A,PROJECTED,17600004,0,3,0,187,24
2v2,GUARD,A,PROJECTED,17600005,0,0,0,131,9
2v2,GUARD,A,PROJECTED,17600006,3,1,1,95,11
2v2,GUARD,A,PROJECTED,17600007,1,0,1,152,16
2v2,GUARD,A,PROJECTED,17600008,3,1,1,146,11
