arm,z,pole,seed,blue,red,win,margin
RUNG0_BLOCK2,z1,A,11970029,0,0,0,0
RUNG0_BLOCK2,z1,A,11970030,0,0,0,0
RUNG0_BLOCK2,z1,A,11970031,1,0,1,1
RUNG0_BLOCK2,z1,A,11970032,1,0,1,1
RUNG0_BLOCK2,z1,A,11970033,0,0,0,0
RUNG0_BLOCK2,z1,A,11970034,0,0,0,0
RUNG0_BLOCK2,z1,A,11970035,3,0,1,3
RUNG0_BLOCK2,z1,A,11970036,0,0,0,0
RUNG0_BLOCK2,z1,A,11970037,1,0,1,1
RUNG0_BLOCK2,z1,A,11970038,0,0,0,0
RUNG0_BLOCK2,z1,A,11970039,3,0,1,3
RUNG0_BLOCK2,z1,A,11970040,1,1,0,0
RUNG0_BLOCK2,z1,A,11970041,1,0,1,1
RUNG0_BLOCK2,z1,A,11970042,0,0,0,0
RUNG0_BLOCK2,z1,A,11970043,1,1,0,0
RUNG0_BLOCK2,z1,A,11970044,0,0,0,0
RUNG0_BLOCK2,z1,A,11970045,0,0,0,0
RUNG0_BLOCK2,z1,A,11970046,3,0,1,3
RUNG0_BLOCK2,z1,A,11970047,0,0,0,0
RUNG0_BLOCK2,z1,A,11970048,0,0,0,0
RUNG0_BLOCK2,z1,A,11970049,0,0,0,0
RUNG0_BLOCK2,z1,A,11970050,0,0,0,0
RUNG0_BLOCK2,z1,A,11970051,0,0,0,0
RUNG0_BLOCK2,z1,A,11970052,2,1,1,1
RUNG0_BLOCK2,z1,A,11970053,0,0,0,0
RUNG0_BLOCK2,z1,A,11970054,0,0,0,0
RUNG0_BLOCK2,z1,A,11970055,0,0,0,0
RUNG0_BLOCK2,z1,A,11970056,0,0,0,0
RUNG0_BLOCK2,z1,A,11970057,3,0,1,3
RUNG0_BLOCK2,z1,A,11970058,0,0,0,0
RUNG0_BLOCK2,z1,A,11970059,0,0,0,0
RUNG0_BLOCK2,z1,A,11970060,1,1,0,0
RUNG0_BLOCK2,z1,A,11970061,2,0,1,2
RUNG0_BLOCK2,z1,A,11970062,0,0,0,0
RUNG0_BLOCK2,z1,A,11970063,1,1,0,0
RUNG0_BLOCK2,z1,A,11970064,1,1,0,0
RUNG0_BLOCK2,z0,B,11970001,0,1,0,-1
RUNG0_BLOCK2,z0,B,11970002,0,0,0,0
RUNG0_BLOCK2,z0,B,11970003,0,0,0,0
RUNG0_BLOCK2,z0,B,11970004,0,0,0,0
RUNG0_BLOCK2,z0,B,11970005,0,1,0,-1
RUNG0_BLOCK2,z0,B,11970006,1,0,1,1
RUNG0_BLOCK2,z0,B,11970007,2,0,1,2
RUNG0_BLOCK2,z0,B,11970008,1,0,1,1
RUNG0_BLOCK2,z0,B,11970009,1,0,1,1
RUNG0_BLOCK2,z0,B,11970010,0,0,0,0
RUNG0_BLOCK2,z0,B,11970011,0,1,0,-1
RUNG0_BLOCK2,z0,B,11970012,2,0,1,2
RUNG0_BLOCK2,z0,B,11970013,0,0,0,0
RUNG0_BLOCK2,z0,B,11970014,0,0,0,0
RUNG0_BLOCK2,z0,B,11970015,0,0,0,0
RUNG0_BLOCK2,z0,B,11970016,0,0,0,0
RUNG0_BLOCK2,z0,B,11970017,0,0,0,0
RUNG0_BLOCK2,z0,B,11970018,0,0,0,0
RUNG0_BLOCK2,z0,B,11970019,0,0,0,0
RUNG0_BLOCK2,z0,B,11970020,0,0,0,0
RUNG0_BLOCK2,z0,B,11970021,0,0,0,0
RUNG0_BLOCK2,z0,B,11970022,0,0,0,0
