policy,pole,seed,steps,won,blue_score,red_score,macro_switch_rate,all_identical_cmd,distinct_cmds,distinct_macros,n_get_flag,n_go_home,n_go_to,n_mine,mean_pair_dist,n_defenders,n_attackers,mean_d_own_flag,mean_d_enemy_flag,n_tagged,any_carrying,n_pressured,mean_support_dist
A_t0,A,18700001,240,0,0,0,0.16736401673640167,0.004166666666666667,3.15,2.120833333333333,1.7958333333333334,0.45,1.7458333333333333,0.008333333333333333,3.4094972242704693,0.18333333333333332,2.904166666666667,12.521961443622907,3.0468510520954926,0.09166666666666666,0.9083333333333333,0.2875,2.168082199494044
A_t0,A,18700002,240,1,1,0,0.14539748953974896,0.008333333333333333,3.120833333333333,1.9583333333333333,1.8291666666666666,0.35833333333333334,1.8041666666666667,0.008333333333333333,3.391296482106877,0.1875,2.6416666666666666,11.835602402687073,3.3840590583781403,0.17916666666666667,0.8916666666666667,0.2125,4.275424186140299
A_t0,A,18700003,240,1,1,0,0.13702928870292888,0.025,3.0125,1.95,1.8541666666666667,0.2791666666666667,1.8583333333333334,0.008333333333333333,3.4579949541017414,0.24583333333333332,2.558333333333333,11.43915808002154,3.529353762914737,0.17916666666666667,0.8458333333333333,0.2625,1.9533441695007119
A_t0,A,18700004,240,1,1,0,0.15690376569037656,0.05,2.9458333333333333,1.8666666666666667,1.6666666666666667,0.3458333333333333,1.975,0.0125,3.599671308096084,0.2916666666666667,2.5791666666666666,11.292632901171844,3.793303461621205,0.35,0.8458333333333333,0.4041666666666667,1.8518074314903328
A_t0,A,18700005,240,1,2,1,0.16317991631799164,0.0375,2.8041666666666667,1.7291666666666667,2.245833333333333,0.2791666666666667,1.4625,0.0125,4.24107508721451,0.5625,1.9291666666666667,9.07571564813455,5.1004620830217995,0.7625,0.6125,0.7916666666666666,2.658363944540421
A_t0,A,18700006,240,1,2,0,0.1684100418410042,0.025,2.933333333333333,1.9375,2.1,0.3333333333333333,1.5333333333333334,0.03333333333333333,3.8769730153804023,0.3541666666666667,2.475,10.771492096781731,4.100745473553737,0.42916666666666664,0.7541666666666667,0.44166666666666665,2.257355340756476
A_t0,A,18700007,240,1,1,0,0.1600418410041841,0.016666666666666666,3.2125,2.0375,1.75,0.48333333333333334,1.725,0.041666666666666664,4.519173723159152,0.2,2.275,11.046920432647068,4.267003266264995,0.35833333333333334,0.8375,0.3458333333333333,2.2304614930288165
A_t0,A,18700008,240,1,2,0,0.1788702928870293,0.04583333333333333,3.0083333333333333,1.8833333333333333,2.095833333333333,0.325,1.5583333333333333,0.020833333333333332,3.256475285730428,0.38333333333333336,2.525,10.57242037455241,4.044388245542844,0.5416666666666666,0.7708333333333334,0.7125,2.1688648614709236
A_t0,A,18700009,240,0,0,0,0.1694560669456067,0.016666666666666666,3.2083333333333335,2.0541666666666667,1.8791666666666667,0.4,1.6625,0.058333333333333334,3.4072584863648645,0.1125,2.8041666666666667,12.340382967392603,3.346205824861924,0.24166666666666667,0.8375,0.2916666666666667,2.616457636278819
A_t0,A,18700010,240,1,1,0,0.16422594142259414,0.020833333333333332,3.095833333333333,2.025,1.8666666666666667,0.4625,1.65,0.020833333333333332,3.6648618615128927,0.25833333333333336,2.5833333333333335,11.312018716832002,3.764949572831392,0.3625,0.8416666666666667,0.4791666666666667,2.6396718215746957
A_t0,A,18700011,240,1,1,0,0.16631799163179917,0.008333333333333333,3.125,1.9625,1.825,0.37916666666666665,1.7875,0.008333333333333333,3.7683111691019593,0.25,2.5708333333333333,11.315236881375313,3.8732551398376622,0.31666666666666665,0.8125,0.26666666666666666,2.3890405472433356
A_t0,A,18700012,240,1,1,0,0.14644351464435146,0.03333333333333333,3.0166666666666666,1.7541666666666667,2.533333333333333,0.19166666666666668,1.2291666666666667,0.04583333333333333,4.3945875787900555,0.5375,1.7125,9.19667787651221,5.58785098195076,0.8875,0.5291666666666667,1.0541666666666667,2.798766986839033
A_t0,A,18700013,240,1,1,0,0.1694560669456067,0.0625,3.175,1.925,1.7625,0.3333333333333333,1.8708333333333333,0.03333333333333333,4.02400313106676,0.25416666666666665,2.3875,11.145115152001381,4.102927533040444,0.30833333333333335,0.8083333333333333,0.35833333333333334,2.030549615858093
A_t0,A,18700014,240,0,0,0,0.16213389121338911,0.029166666666666667,2.9458333333333333,1.8583333333333334,1.9541666666666666,0.26666666666666666,1.7708333333333333,0.008333333333333333,3.388642192362911,0.24583333333333332,2.5375,11.4490924735864,3.867427643140157,0.4,0.7708333333333334,0.4791666666666667,2.75594107442432
A_t0,A,18700015,240,1,2,0,0.1705020920502092,0.041666666666666664,3.0791666666666666,2.0708333333333333,1.8041666666666667,0.375,1.775,0.04583333333333333,3.968469317650629,0.3125,2.425,10.93967562019825,3.8871876654525597,0.475,0.8083333333333333,0.5666666666666667,2.1696553345463703
A_t0,A,18700016,240,1,1,0,0.1684100418410042,0.020833333333333332,3.191666666666667,2.0125,1.875,0.35,1.7541666666666667,0.020833333333333332,3.7588696726494364,0.3416666666666667,2.3875,10.803689423700174,4.037859194229046,0.42083333333333334,0.7833333333333333,0.5541666666666667,3.0834654651362183
A_t0,A,18700017,240,1,1,0,0.14958158995815898,0.004166666666666667,3.220833333333333,2.058333333333333,1.775,0.45416666666666666,1.7541666666666667,0.016666666666666666,3.919997875599398,0.2708333333333333,2.6041666666666665,11.471572373310725,3.6212785338362057,0.3125,0.8625,0.3,3.2988340112898085
A_t0,A,18700018,240,0,0,0,0.14853556485355648,0.008333333333333333,3.0833333333333335,1.9833333333333334,1.9916666666666667,0.38333333333333336,1.6041666666666667,0.020833333333333332,4.3120094249438905,0.2916666666666667,2.0875,10.773282070954641,4.61762380550305,0.5375,0.7333333333333333,0.38333333333333336,3.6393295171506264
A_t0,A,18700019,240,0,0,0,0.16108786610878661,0.0125,3.1166666666666667,1.9958333333333333,1.7875,0.36666666666666664,1.8083333333333333,0.0375,3.245600206591189,0.15,2.6625,12.07761882742246,3.3064223413666087,0.2791666666666667,0.8541666666666666,0.2791666666666667,1.9197693841130128
A_t0,A,18700020,240,1,1,0,0.1705020920502092,0.0375,3.0375,2.004166666666667,2.0791666666666666,0.4375,1.4833333333333334,0.0,3.9772062413187492,0.5083333333333333,2.1,9.987845931450526,4.692810892562071,0.5958333333333333,0.7,0.5708333333333333,3.4756862595677376
A_t0,A,18700021,240,1,1,0,0.16527196652719664,0.029166666666666667,3.2041666666666666,2.125,1.8,0.5291666666666667,1.6625,0.008333333333333333,3.7499359121339193,0.29583333333333334,2.629166666666667,11.238553720712662,3.6715348958969116,0.35,0.8541666666666666,0.3875,1.7424224940715012
A_t0,A,18700022,240,0,0,0,0.14435146443514643,0.07916666666666666,2.8541666666666665,1.9791666666666667,1.85,0.4083333333333333,1.7041666666666666,0.0375,3.336915942654014,0.1625,2.745833333333333,12.096806999047597,3.3817742856840294,0.16666666666666666,0.875,0.15833333333333333,2.5667227834895034
A_t0,A,18700023,240,0,0,0,0.14853556485355648,0.0375,3.0,1.775,2.325,0.30416666666666664,1.3541666666666667,0.016666666666666666,4.283201697158317,0.45,1.9833333333333334,10.259775863091152,5.072031942009926,0.6583333333333333,0.6208333333333333,0.6416666666666667,3.171112372930294
A_t0,A,18700024,240,1,1,0,0.17782426778242677,0.025,3.120833333333333,2.0125,1.6625,0.3375,1.9541666666666666,0.04583333333333333,3.7374761469869147,0.20833333333333334,2.425,11.51170220375061,3.7746913810571034,0.25416666666666665,0.8416666666666667,0.3125,2.505080889964449
A_t0,A,18700025,240,1,2,0,0.16736401673640167,0.041666666666666664,3.0125,1.9541666666666666,2.0791666666666666,0.3875,1.525,0.008333333333333333,3.6914603923136995,0.375,2.5416666666666665,10.776453174153964,4.042581899215778,0.475,0.7416666666666667,0.5208333333333334,2.486772193837522
A_t0,A,18700026,240,1,1,0,0.15690376569037656,0.07083333333333333,2.8833333333333333,1.9458333333333333,1.8208333333333333,0.3875,1.7708333333333333,0.020833333333333332,3.6123315500095488,0.18333333333333332,2.658333333333333,11.712416894237201,3.4725879043340684,0.17916666666666667,0.8708333333333333,0.30416666666666664,1.7108730428359087
A_t0,A,18700027,240,1,1,0,0.14435146443514643,0.020833333333333332,3.058333333333333,1.95,1.7958333333333334,0.35833333333333334,1.825,0.020833333333333332,3.884135121976336,0.325,2.4625,11.057238030433655,3.9185075302918753,0.38333333333333336,0.8083333333333333,0.39166666666666666,2.5868297792143293
A_t0,A,18700028,240,0,0,0,0.1506276150627615,0.03333333333333333,3.175,2.0541666666666667,1.7083333333333333,0.4,1.8833333333333333,0.008333333333333333,3.5659428466939267,0.175,2.529166666666667,11.915315686662991,3.5761309057474135,0.25833333333333336,0.8666666666666667,0.2875,2.155511097982526
A_t0,A,18700029,240,1,2,1,0.16527196652719664,0.05,2.9791666666666665,1.8583333333333334,1.9541666666666666,0.29583333333333334,1.75,0.0,3.9611178850134214,0.5458333333333333,2.1,9.359743396937848,4.8130971853931745,0.6375,0.6625,0.8041666666666667,2.411289738448146
A_t0,A,18700030,240,1,1,0,0.13179916317991633,0.0,3.4291666666666667,2.0625,2.0,0.42916666666666664,1.5375,0.03333333333333333,3.62675846065912,0.30833333333333335,2.595833333333333,11.433741924166679,3.561956250667572,0.20833333333333334,0.8625,0.3375,2.3983487344923473
A_t0,A,18700031,240,0,0,1,0.17782426778242677,0.029166666666666667,3.0458333333333334,1.9708333333333334,2.120833333333333,0.35,1.4958333333333333,0.03333333333333333,4.1983595723493226,0.37916666666666665,1.9416666666666667,10.306003334124883,5.086954420804977,0.575,0.6333333333333333,0.675,2.8626278300176966
A_t0,A,18700032,240,1,1,0,0.15271966527196654,0.008333333333333333,3.3958333333333335,2.1375,1.8125,0.475,1.7041666666666666,0.008333333333333333,3.390047123841941,0.2625,2.779166666666667,11.651771468420824,3.3342680307726065,0.275,0.8625,0.4708333333333333,1.581337414833964
