arm,pole,seed,steps,blue,red,win,margin,defender_id
pi_A,B,22000020,240,2,0,1,2,-1
A_closest,B,22000020,240,0,0,0,0,5
pi_B,B,22000020,101,3,0,1,3,-1
pi_A,A,22000021,240,1,0,1,1,-1
A_closest,A,22000021,81,3,0,1,3,4
pi_B,A,22000021,240,1,0,1,1,-1
pi_A,B,22000021,240,2,0,1,2,-1
A_closest,B,22000021,240,0,0,0,0,4
pi_B,B,22000021,240,1,0,1,1,-1
pi_A,A,22000022,240,1,0,1,1,-1
A_closest,A,22000022,240,1,0,1,1,3
pi_B,A,22000022,240,0,0,0,0,-1
pi_A,B,22000022,240,2,0,1,2,-1
A_closest,B,22000022,240,1,0,1,1,3
pi_B,B,22000022,240,2,0,1,2,-1
pi_A,A,22000023,240,1,0,1,1,-1
A_closest,A,22000023,240,2,0,1,2,4
pi_B,A,22000023,240,1,0,1,1,-1
pi_A,B,22000023,109,3,0,1,3,-1
A_closest,B,22000023,123,3,0,1,3,4
pi_B,B,22000023,88,3,0,1,3,-1
pi_A,A,22000024,240,1,0,1,1,-1
A_closest,A,22000024,240,2,0,1,2,4
pi_B,A,22000024,240,2,1,1,1,-1
pi_A,B,22000024,108,3,0,1,3,-1
A_closest,B,22000024,240,2,0,1,2,4
pi_B,B,22000024,240,1,0,1,1,-1
pi_A,A,22000025,240,1,0,1,1,-1
A_closest,A,22000025,159,3,0,1,3,2
pi_B,A,22000025,240,1,0,1,1,-1
pi_A,B,22000025,240,2,0,1,2,-1
A_closest,B,22000025,207,3,1,1,2,2
pi_B,B,22000025,240,2,0,1,2,-1
pi_A,A,22000026,240,1,0,1,1,-1
A_closest,A,22000026,240,2,0,1,2,0
pi_B,A,22000026,240,1,0,1,1,-1
pi_A,B,22000026,91,3,0,1,3,-1
A_closest,B,22000026,240,1,0,1,1,0
pi_B,B,22000026,83,3,0,1,3,-1
pi_A,A,22000027,240,1,0,1,1,-1
A_closest,A,22000027,95,3,0,1,3,2
pi_B,A,22000027,240,1,0,1,1,-1
pi_A,B,22000027,240,1,0,1,1,-1
A_closest,B,22000027,123,3,1,1,2,2
pi_B,B,22000027,84,3,0,1,3,-1
pi_A,A,22000028,240,2,1,1,1,-1
A_closest,A,22000028,240,0,0,0,0,4
pi_B,A,22000028,240,1,0,1,1,-1
pi_A,B,22000028,147,3,0,1,3,-1
A_closest,B,22000028,188,3,1,1,2,4
pi_B,B,22000028,229,3,0,1,3,-1
pi_A,A,22000029,240,0,0,0,0,-1
A_closest,A,22000029,161,3,0,1,3,4
pi_B,A,22000029,240,1,0,1,1,-1
pi_A,B,22000029,99,3,0,1,3,-1
A_closest,B,22000029,155,3,0,1,3,4
pi_B,B,22000029,240,1,0,1,1,-1
pi_A,A,22000030,170,3,0,1,3,-1
A_closest,A,22000030,136,3,0,1,3,0
pi_B,A,22000030,240,1,0,1,1,-1
pi_A,B,22000030,86,3,0,1,3,-1
A_closest,B,22000030,240,2,0,1,2,0
pi_B,B,22000030,102,3,0,1,3,-1
pi_A,A,22000031,240,2,0,1,2,-1
A_closest,A,22000031,202,3,0,1,3,1
pi_B,A,22000031,240,1,0,1,1,-1
pi_A,B,22000031,240,2,0,1,2,-1
A_closest,B,22000031,240,0,0,0,0,1
pi_B,B,22000031,240,1,0,1,1,-1
pi_A,A,22000032,240,1,0,1,1,-1
A_closest,A,22000032,103,3,0,1,3,3
pi_B,A,22000032,240,0,0,0,0,-1
pi_A,B,22000032,240,1,0,1,1,-1
A_closest,B,22000032,240,2,0,1,2,3
pi_B,B,22000032,85,3,0,1,3,-1
pi_A,A,22000033,240,1,0,1,1,-1
A_closest,A,22000033,106,3,0,1,3,3
pi_B,A,22000033,240,1,0,1,1,-1
pi_A,B,22000033,240,2,0,1,2,-1
A_closest,B,22000033,93,3,0,1,3,3
pi_B,B,22000033,85,3,0,1,3,-1
pi_A,A,22000034,240,1,0,1,1,-1
A_closest,A,22000034,240,1,0,1,1,3
pi_B,A,22000034,240,1,0,1,1,-1
pi_A,B,22000034,240,2,0,1,2,-1
A_closest,B,22000034,240,2,0,1,2,3
pi_B,B,22000034,88,3,0,1,3,-1
pi_A,A,22000035,240,1,0,1,1,-1
A_closest,A,22000035,123,3,0,1,3,1
pi_B,A,22000035,240,2,0,1,2,-1
pi_A,B,22000035,240,2,0,1,2,-1
A_closest,B,22000035,240,1,0,1,1,1
pi_B,B,22000035,90,3,0,1,3,-1
pi_A,A,22000036,240,1,0,1,1,-1
A_closest,A,22000036,86,3,0,1,3,0
pi_B,A,22000036,240,1,0,1,1,-1
pi_A,B,22000036,240,1,0,1,1,-1
A_closest,B,22000036,152,3,0,1,3,0
pi_B,B,22000036,240,1,0,1,1,-1
pi_A,A,22000037,240,1,0,1,1,-1
A_closest,A,22000037,240,0,0,0,0,1
pi_B,A,22000037,240,1,0,1,1,-1
pi_A,B,22000037,87,3,0,1,3,-1
A_closest,B,22000037,204,3,0,1,3,1
pi_B,B,22000037,88,3,0,1,3,-1
pi_A,A,22000038,240,0,0,0,0,-1
A_closest,A,22000038,212,3,0,1,3,0
pi_B,A,22000038,240,1,0,1,1,-1
pi_A,B,22000038,152,3,0,1,3,-1
A_closest,B,22000038,120,3,0,1,3,0
pi_B,B,22000038,82,3,0,1,3,-1
pi_A,A,22000039,240,0,0,0,0,-1
A_closest,A,22000039,240,1,0,1,1,0
pi_B,A,22000039,240,0,0,0,0,-1
pi_A,B,22000039,161,3,0,1,3,-1
A_closest,B,22000039,240,1,0,1,1,0
pi_B,B,22000039,240,1,0,1,1,-1
pi_A,A,22000040,240,0,0,0,0,-1
A_closest,A,22000040,240,1,0,1,1,2
pi_B,A,22000040,240,1,0,1,1,-1
pi_A,B,22000040,103,3,0,1,3,-1
A_closest,B,22000040,240,1,0,1,1,2
pi_B,B,22000040,106,3,0,1,3,-1
pi_A,A,22000041,240,2,0,1,2,-1
A_closest,A,22000041,240,0,0,0,0,3
pi_B,A,22000041,240,1,0,1,1,-1
pi_A,B,22000041,161,3,0,1,3,-1
A_closest,B,22000041,159,3,0,1,3,3
pi_B,B,22000041,106,3,0,1,3,-1
pi_A,A,22000042,240,1,0,1,1,-1
A_closest,A,22000042,240,1,0,1,1,0
pi_B,A,22000042,240,1,0,1,1,-1
pi_A,B,22000042,200,3,0,1,3,-1
A_closest,B,22000042,240,0,0,0,0,0
pi_B,B,22000042,117,3,0,1,3,-1
pi_A,A,22000043,240,1,0,1,1,-1
A_closest,A,22000043,240,2,0,1,2,0
pi_B,A,22000043,240,1,0,1,1,-1
pi_A,B,22000043,240,1,0,1,1,-1
A_closest,B,22000043,240,1,0,1,1,0
pi_B,B,22000043,100,3,0,1,3,-1
pi_A,A,22000044,240,1,0,1,1,-1
A_closest,A,22000044,148,3,0,1,3,3
pi_B,A,22000044,240,0,0,0,0,-1
pi_A,B,22000044,240,1,0,1,1,-1
A_closest,B,22000044,240,2,0,1,2,3
pi_B,B,22000044,240,3,0,1,3,-1
pi_A,A,22000045,240,2,0,1,2,-1
A_closest,A,22000045,240,1,0,1,1,1
pi_B,A,22000045,240,1,0,1,1,-1
pi_A,B,22000045,94,3,0,1,3,-1
A_closest,B,22000045,194,3,0,1,3,1
pi_B,B,22000045,159,3,0,1,3,-1
pi_A,A,22000046,240,2,0,1,2,-1
A_closest,A,22000046,240,1,0,1,1,3
pi_B,A,22000046,240,1,0,1,1,-1
pi_A,B,22000046,115,3,0,1,3,-1
A_closest,B,22000046,136,3,0,1,3,3
pi_B,B,22000046,133,3,0,1,3,-1
pi_A,A,22000047,240,1,0,1,1,-1
A_closest,A,22000047,117,3,0,1,3,0
pi_B,A,22000047,240,1,0,1,1,-1
pi_A,B,22000047,192,3,0,1,3,-1
A_closest,B,22000047,240,0,0,0,0,0
pi_B,B,22000047,240,2,0,1,2,-1
pi_A,A,22000048,240,1,0,1,1,-1
A_closest,A,22000048,240,2,0,1,2,3
pi_B,A,22000048,240,1,0,1,1,-1
pi_A,B,22000048,108,3,0,1,3,-1
A_closest,B,22000048,138,3,0,1,3,3
pi_B,B,22000048,240,1,0,1,1,-1
pi_A,A,22000049,240,1,0,1,1,-1
A_closest,A,22000049,240,1,0,1,1,1
pi_B,A,22000049,240,1,0,1,1,-1
pi_A,B,22000049,88,3,0,1,3,-1
A_closest,B,22000049,240,2,0,1,2,1
pi_B,B,22000049,88,3,0,1,3,-1
pi_A,A,22000050,240,1,0,1,1,-1
A_closest,A,22000050,240,0,0,0,0,3
pi_B,A,22000050,240,1,0,1,1,-1
pi_A,B,22000050,125,3,0,1,3,-1
A_closest,B,22000050,240,1,0,1,1,3
pi_B,B,22000050,240,1,0,1,1,-1
pi_A,A,22000051,240,1,0,1,1,-1
A_closest,A,22000051,240,1,0,1,1,5
pi_B,A,22000051,240,1,0,1,1,-1
pi_A,B,22000051,86,3,0,1,3,-1
A_closest,B,22000051,233,3,0,1,3,5
pi_B,B,22000051,82,3,0,1,3,-1
pi_A,A,22000052,240,2,0,1,2,-1
A_closest,A,22000052,80,3,0,1,3,0
pi_B,A,22000052,240,1,0,1,1,-1
pi_A,B,22000052,99,3,0,1,3,-1
A_closest,B,22000052,234,3,0,1,3,0
pi_B,B,22000052,85,3,0,1,3,-1
pi_A,A,22000053,240,0,0,0,0,-1
A_closest,A,22000053,82,3,0,1,3,2
pi_B,A,22000053,240,1,0,1,1,-1
pi_A,B,22000053,104,3,0,1,3,-1
A_closest,B,22000053,223,3,0,1,3,2
pi_B,B,22000053,87,3,0,1,3,-1
pi_A,A,22000054,151,3,0,1,3,-1
A_closest,A,22000054,117,3,0,1,3,2
pi_B,A,22000054,240,1,0,1,1,-1
pi_A,B,22000054,240,0,0,0,0,-1
A_closest,B,22000054,240,0,0,0,0,2
pi_B,B,22000054,240,0,0,0,0,-1
pi_A,A,22000055,240,1,0,1,1,-1
A_closest,A,22000055,240,1,0,1,1,5
pi_B,A,22000055,240,1,0,1,1,-1
pi_A,B,22000055,240,2,0,1,2,-1
A_closest,B,22000055,88,3,0,1,3,5
pi_B,B,22000055,83,3,0,1,3,-1
pi_A,A,22000056,240,1,0,1,1,-1
A_closest,A,22000056,240,0,0,0,0,5
pi_B,A,22000056,240,1,0,1,1,-1
pi_A,B,22000056,102,3,0,1,3,-1
A_closest,B,22000056,240,1,0,1,1,5
pi_B,B,22000056,135,3,0,1,3,-1
pi_A,A,22000057,240,1,0,1,1,-1
A_closest,A,22000057,190,3,0,1,3,4
pi_B,A,22000057,240,1,0,1,1,-1
pi_A,B,22000057,93,3,0,1,3,-1
A_closest,B,22000057,240,2,0,1,2,4
pi_B,B,22000057,123,3,0,1,3,-1
pi_A,A,22000058,240,1,0,1,1,-1
A_closest,A,22000058,240,1,0,1,1,4
pi_B,A,22000058,240,1,0,1,1,-1
pi_A,B,22000058,92,3,0,1,3,-1
A_closest,B,22000058,240,2,0,1,2,4
pi_B,B,22000058,240,2,0,1,2,-1
pi_A,A,22000059,240,2,1,1,1,-1
A_closest,A,22000059,240,0,0,0,0,1
pi_B,A,22000059,240,1,0,1,1,-1
pi_A,B,22000059,206,3,0,1,3,-1
A_closest,B,22000059,128,3,0,1,3,1
pi_B,B,22000059,240,1,0,1,1,-1
pi_A,A,22000060,118,3,0,1,3,-1
A_closest,A,22000060,240,2,0,1,2,1
pi_B,A,22000060,240,2,1,1,1,-1
pi_A,B,22000060,147,3,0,1,3,-1
A_closest,B,22000060,220,3,0,1,3,1
pi_B,B,22000060,240,1,0,1,1,-1
pi_A,A,22000061,240,1,0,1,1,-1
A_closest,A,22000061,240,1,0,1,1,5
pi_B,A,22000061,240,1,0,1,1,-1
pi_A,B,22000061,240,2,0,1,2,-1
A_closest,B,22000061,240,2,1,1,1,5
pi_B,B,22000061,240,2,0,1,2,-1
pi_A,A,22000062,240,0,0,0,0,-1
A_closest,A,22000062,159,3,0,1,3,0
pi_B,A,22000062,240,0,0,0,0,-1
pi_A,B,22000062,240,0,0,0,0,-1
A_closest,B,22000062,175,3,1,1,2,0
pi_B,B,22000062,240,1,1,0,0,-1
pi_A,A,22000063,240,1,0,1,1,-1
A_closest,A,22000063,93,3,0,1,3,4
pi_B,A,22000063,240,1,0,1,1,-1
pi_A,B,22000063,220,3,0,1,3,-1
A_closest,B,22000063,160,3,0,1,3,4
pi_B,B,22000063,148,3,0,1,3,-1
pi_A,A,22000064,240,2,0,1,2,-1
A_closest,A,22000064,240,1,0,1,1,1
pi_B,A,22000064,240,1,0,1,1,-1
pi_A,B,22000064,240,1,0,1,1,-1
A_closest,B,22000064,240,2,0,1,2,1
pi_B,B,22000064,92,3,0,1,3,-1
