arm,pole,seed,k_defend,defender_ids,attacker_ids,blue_score,red_score,win,draw,margin,steps,genome_id,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
5A_1D_closest,A,22100047,1,5,"0,1,2,3,4",3,0,1,0,3,240,SDS2_A_payoff_INIT_3,1200,240,715,485,100,140,299,0
3A_3D_closest,A,22100047,3,"0,1,5","2,3,4",2,0,1,0,2,240,SDS2_A_payoff_INIT_3,720,720,246,474,493,227,258,0
5A_1D_closest,B,22100047,1,5,"0,1,2,3,4",1,0,1,0,1,240,SDS_PARENT_OP7,1200,240,1060,140,84,156,506,0
3A_3D_closest,B,22100047,3,"0,1,5","2,3,4",1,0,1,0,1,240,SDS_PARENT_OP7,720,720,663,57,131,589,314,0
5A_1D_closest,A,22100048,1,0,"1,2,3,4,5",4,1,1,0,3,240,SDS2_A_payoff_INIT_3,1200,240,755,445,115,125,274,0
3A_3D_closest,A,22100048,3,"0,1,5","2,3,4",0,0,0,1,0,240,SDS2_A_payoff_INIT_3,720,720,639,81,172,548,271,0
5A_1D_closest,B,22100048,1,0,"1,2,3,4,5",3,0,1,0,3,240,SDS_PARENT_OP7,1200,240,835,365,24,216,345,0
3A_3D_closest,B,22100048,3,"0,1,5","2,3,4",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,699,21,119,601,327,0
5A_1D_closest,A,22100049,1,5,"0,1,2,3,4",1,0,1,0,1,240,SDS2_A_payoff_INIT_3,1200,240,290,910,196,44,187,0
3A_3D_closest,A,22100049,3,"3,4,5","0,1,2",2,0,1,0,2,240,SDS2_A_payoff_INIT_3,720,720,471,249,315,405,247,0
5A_1D_closest,B,22100049,1,5,"0,1,2,3,4",1,0,1,0,1,240,SDS_PARENT_OP7,1200,240,425,775,191,49,253,0
3A_3D_closest,B,22100049,3,"3,4,5","0,1,2",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,708,12,121,599,340,0
5A_1D_closest,A,22100050,1,2,"0,1,3,4,5",1,0,1,0,1,240,SDS2_A_payoff_INIT_3,1200,240,220,980,198,42,155,0
3A_3D_closest,A,22100050,3,"2,4,5","0,1,3",0,0,0,1,0,240,SDS2_A_payoff_INIT_3,720,720,276,444,525,195,318,0
5A_1D_closest,B,22100050,1,2,"0,1,3,4,5",0,0,0,1,0,240,SDS_PARENT_OP7,1200,240,1115,85,62,178,548,0
3A_3D_closest,B,22100050,3,"2,4,5","0,1,3",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,717,3,111,609,350,0
5A_1D_closest,A,22100051,1,0,"1,2,3,4,5",1,0,1,0,1,240,SDS2_A_payoff_INIT_3,1200,240,130,1070,217,23,154,0
3A_3D_closest,A,22100051,3,"0,3,4","1,2,5",2,2,0,1,0,240,SDS2_A_payoff_INIT_3,720,720,453,267,476,244,296,0
5A_1D_closest,B,22100051,1,0,"1,2,3,4,5",3,0,1,0,3,240,SDS_PARENT_OP7,1200,240,905,295,135,105,404,0
3A_3D_closest,B,22100051,3,"0,3,4","1,2,5",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,714,6,250,470,348,0
5A_1D_closest,A,22100052,1,1,"0,2,3,4,5",2,0,1,0,2,240,SDS2_A_payoff_INIT_3,1200,240,320,880,185,55,195,0
3A_3D_closest,A,22100052,3,"1,3,4","0,2,5",2,0,1,0,2,240,SDS2_A_payoff_INIT_3,720,720,372,348,309,411,235,0
5A_1D_closest,B,22100052,1,1,"0,2,3,4,5",4,0,1,0,4,240,SDS_PARENT_OP7,1200,240,510,690,128,112,250,0
3A_3D_closest,B,22100052,3,"1,3,4","0,2,5",1,0,1,0,1,240,SDS_PARENT_OP7,720,720,642,78,80,640,305,0
5A_1D_closest,A,22100053,1,0,"1,2,3,4,5",1,0,1,0,1,240,SDS2_A_payoff_INIT_3,1200,240,555,645,94,146,232,0
3A_3D_closest,A,22100053,3,"0,1,5","2,3,4",2,1,1,0,1,240,SDS2_A_payoff_INIT_3,720,720,327,393,500,220,299,0
5A_1D_closest,B,22100053,1,0,"1,2,3,4,5",2,0,1,0,2,240,SDS_PARENT_OP7,1200,240,995,205,2,238,460,0
3A_3D_closest,B,22100053,3,"0,1,5","2,3,4",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,717,3,143,577,347,0
5A_1D_closest,A,22100054,1,4,"0,1,2,3,5",1,1,0,1,0,240,SDS2_A_payoff_INIT_3,1200,240,485,715,166,74,257,0
3A_3D_closest,A,22100054,3,"0,3,4","1,2,5",2,1,1,0,1,240,SDS2_A_payoff_INIT_3,720,720,504,216,428,292,268,0
5A_1D_closest,B,22100054,1,4,"0,1,2,3,5",1,1,0,1,0,240,SDS_PARENT_OP7,1200,240,1000,200,68,172,461,0
3A_3D_closest,B,22100054,3,"0,3,4","1,2,5",0,1,0,0,-1,240,SDS_PARENT_OP7,720,720,693,27,286,434,376,0
5A_1D_closest,A,22100055,1,4,"0,1,2,3,5",0,0,0,1,0,240,SDS2_A_payoff_INIT_3,1200,240,360,840,153,87,221,0
3A_3D_closest,A,22100055,3,"1,4,5","0,2,3",0,0,0,1,0,240,SDS2_A_payoff_INIT_3,720,720,78,642,604,116,304,0
5A_1D_closest,B,22100055,1,4,"0,1,2,3,5",3,0,1,0,3,240,SDS_PARENT_OP7,1200,240,690,510,49,191,330,0
3A_3D_closest,B,22100055,3,"1,4,5","0,2,3",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,687,33,133,587,333,0
5A_1D_closest,A,22100056,1,2,"0,1,3,4,5",0,0,0,1,0,240,SDS2_A_payoff_INIT_3,1200,240,170,1030,200,40,155,0
3A_3D_closest,A,22100056,3,"0,1,2","3,4,5",3,0,1,0,3,240,SDS2_A_payoff_INIT_3,720,720,522,198,246,474,185,0
5A_1D_closest,B,22100056,1,2,"0,1,3,4,5",1,0,1,0,1,240,SDS_PARENT_OP7,1200,240,245,955,179,61,175,0
3A_3D_closest,B,22100056,3,"0,1,2","3,4,5",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,705,15,211,509,347,0
5A_1D_closest,A,22100057,1,3,"0,1,2,4,5",3,0,1,0,3,240,SDS2_A_payoff_INIT_3,1200,240,455,745,160,80,209,0
3A_3D_closest,A,22100057,3,"3,4,5","0,1,2",2,1,1,0,1,240,SDS2_A_payoff_INIT_3,720,720,555,165,278,442,253,0
5A_1D_closest,B,22100057,1,3,"0,1,2,4,5",1,0,1,0,1,240,SDS_PARENT_OP7,1200,240,1050,150,130,110,493,0
3A_3D_closest,B,22100057,3,"3,4,5","0,1,2",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,699,21,232,488,336,0
5A_1D_closest,A,22100058,1,2,"0,1,3,4,5",1,0,1,0,1,240,SDS2_A_payoff_INIT_3,1200,240,370,830,130,110,191,0
3A_3D_closest,A,22100058,3,"1,2,3","0,4,5",3,1,1,0,2,240,SDS2_A_payoff_INIT_3,720,720,555,165,142,578,221,0
5A_1D_closest,B,22100058,1,2,"0,1,3,4,5",0,0,0,1,0,240,SDS_PARENT_OP7,1200,240,700,500,90,150,389,0
3A_3D_closest,B,22100058,3,"1,2,3","0,4,5",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,714,6,29,691,348,0
5A_1D_closest,A,22100059,1,3,"0,1,2,4,5",4,0,1,0,4,240,SDS2_A_payoff_INIT_3,1200,240,665,535,95,145,290,0
3A_3D_closest,A,22100059,3,"1,2,3","0,4,5",0,0,0,1,0,240,SDS2_A_payoff_INIT_3,720,720,303,417,483,237,280,0
5A_1D_closest,B,22100059,1,3,"0,1,2,4,5",2,1,1,0,1,240,SDS_PARENT_OP7,1200,240,965,235,42,198,465,0
