arm,pole,seed,k_defend,defender_ids,attacker_ids,blue_score,red_score,win,draw,margin,steps,genome_id,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
3A_3D_closest,B,22100034,3,"0,3,4","1,2,5",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,687,33,216,504,336,0
5A_1D_closest,A,22100035,1,0,"1,2,3,4,5",1,0,1,0,1,240,SDS2_A_payoff_INIT_3,1200,240,135,1065,202,38,137,0
3A_3D_closest,A,22100035,3,"0,3,4","1,2,5",3,1,1,0,2,240,SDS2_A_payoff_INIT_3,720,720,549,171,318,402,249,0
5A_1D_closest,B,22100035,1,0,"1,2,3,4,5",1,0,1,0,1,240,SDS_PARENT_OP7,1200,240,1030,170,0,240,496,0
3A_3D_closest,B,22100035,3,"0,3,4","1,2,5",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,717,3,131,589,353,0
5A_1D_closest,A,22100036,1,4,"0,1,2,3,5",1,0,1,0,1,240,SDS2_A_payoff_INIT_3,1200,240,150,1050,208,32,137,0
3A_3D_closest,A,22100036,3,"1,3,4","0,2,5",2,0,1,0,2,240,SDS2_A_payoff_INIT_3,720,720,507,213,309,411,270,0
5A_1D_closest,B,22100036,1,4,"0,1,2,3,5",2,0,1,0,2,240,SDS_PARENT_OP7,1200,240,985,215,22,218,472,0
3A_3D_closest,B,22100036,3,"1,3,4","0,2,5",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,708,12,94,626,346,0
5A_1D_closest,A,22100037,1,4,"0,1,2,3,5",1,1,0,1,0,240,SDS2_A_payoff_INIT_3,1200,240,385,815,171,69,212,0
3A_3D_closest,A,22100037,3,"0,1,4","2,3,5",2,0,1,0,2,240,SDS2_A_payoff_INIT_3,720,720,432,288,453,267,298,0
5A_1D_closest,B,22100037,1,4,"0,1,2,3,5",0,0,0,1,0,240,SDS_PARENT_OP7,1200,240,1090,110,15,225,519,0
3A_3D_closest,B,22100037,3,"0,1,4","2,3,5",1,0,1,0,1,240,SDS_PARENT_OP7,720,720,672,48,234,486,318,0
5A_1D_closest,A,22100038,1,0,"1,2,3,4,5",2,0,1,0,2,240,SDS2_A_payoff_INIT_3,1200,240,250,950,207,33,169,0
3A_3D_closest,A,22100038,3,"0,4,5","1,2,3",2,0,1,0,2,240,SDS2_A_payoff_INIT_3,720,720,585,135,213,507,245,0
5A_1D_closest,B,22100038,1,0,"1,2,3,4,5",0,0,0,1,0,240,SDS_PARENT_OP7,1200,240,1095,105,9,231,520,0
3A_3D_closest,B,22100038,3,"0,4,5","1,2,3",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,717,3,158,562,342,0
5A_1D_closest,A,22100039,1,1,"0,2,3,4,5",1,0,1,0,1,240,SDS2_A_payoff_INIT_3,1200,240,150,1050,209,31,141,0
3A_3D_closest,A,22100039,3,"1,2,3","0,4,5",1,1,0,1,0,240,SDS2_A_payoff_INIT_3,720,720,579,141,273,447,273,0
5A_1D_closest,B,22100039,1,1,"0,2,3,4,5",1,0,1,0,1,240,SDS_PARENT_OP7,1200,240,1020,180,8,232,448,0
3A_3D_closest,B,22100039,3,"1,2,3","0,4,5",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,714,6,259,461,342,0
5A_1D_closest,A,22100040,1,2,"0,1,3,4,5",3,0,1,0,3,240,SDS2_A_payoff_INIT_3,1200,240,560,640,116,124,241,0
3A_3D_closest,A,22100040,3,"1,2,5","0,3,4",3,1,1,0,2,240,SDS2_A_payoff_INIT_3,720,720,420,300,418,302,253,0
