opponent,map,episode_index,episode_seed,cell_seed,return_z0,return_z1,return_z2,return_z3,V_z0,V_z1,V_z2,V_z3,mean_z_return,oracle_selected_adv,online_proxy,oracle_best_z,critic_best_z
OP10,map_b,88,2130,2042,-0.07210046,-7.85931,-0.7581501,0.02797756,-1.3219244,-1.2866223,-1.317708,-1.3375261,-2.1653957,-5.6939144,-6.572688,3,1
OP10,map_b,89,2131,2042,-13.037438,-0.85626894,-1.16178,-5.265421,-1.4956686,-1.476954,-1.6165347,-1.5893729,-5.080227,4.223958,0.62068504,1,1
OP10,map_b,90,2132,2042,-6.215438,-2.5147824,-1.6177821,0.008863737,-1.0424855,-1.0367303,-1.1080663,-1.0072377,-2.584785,0.070002556,-1.4780521,3,3
OP10,map_b,91,2133,2042,-12.041537,-1.5685465,-4.7182517,-0.4151341,-1.3974411,-1.3911884,-1.4430382,-1.4565363,-4.6858673,3.1173208,-0.17735815,3,1
OP10,map_b,92,2134,2042,-5.3571744,-2.4183316,-3.8575544,-15.936973,-1.194618,-1.096461,-1.2826793,-1.2624319,-6.8925085,4.474177,-1.3218706,1,1
OP10,map_b,93,2135,2042,-5.7434754,-8.7239,-9.178418,-8.434047,-1.3630917,-1.3633907,-1.50016,-1.4075017,-8.01996,-0.70393944,-7.360509,0,0
OP10,map_b,94,2136,2042,-5.2670174,-3.7374277,-2.6578624,-2.4559977,-1.3720334,-1.3391676,-1.3935661,-1.415379,-3.5295763,-0.20785141,-2.39826,3,1
OP10,map_b,95,2137,2042,-2.1275702,-7.930608,-1.0233535,-0.14118628,-1.445591,-1.4525304,-1.4667311,-1.4348679,-2.8056796,-5.1249285,-6.4780774,3,3
OP10,map_b,96,2138,2042,-1.9693221,0.14193843,0.021361226,-1.0400822,-1.3458338,-1.3889999,-1.5030112,-1.4323759,-0.71152616,0.8534646,1.5309384,1,0
OP10,map_b,97,2139,2042,-4.329648,-1.9570525,-5.436899,-3.9431872,-1.3200166,-1.3185132,-1.4300454,-1.3566344,-3.9166965,1.9596441,-0.6385393,1,1
OP10,map_b,98,2140,2042,-7.8699102,-3.7371643,-8.21125,-8.204455,-1.346704,-1.2379286,-1.3690896,-1.384203,-7.0056953,3.268531,-2.4992356,1,1
