episode_seed,blue_style,map,resolved_map,opponent,blue_first_capture_step,red_first_capture_step,blue_captured,red_captured,blue_score,red_score,capture_count,win_margin,blue_captures_by_60,red_captures_by_60,blue_home_defense_fraction,blue_forward_commitment_fraction,mean_num_attackers,mean_num_defenders,mean_num_home_defenders,blue_tag_successes,red_tag_successes,cooldown_denials,first_flag_contact_step,first_pickup_step,first_flag_drop_step,carrier_return_steps,episode_steps,ruleset_id,taggers_required,tag_min_interval_seconds,tag_nearest_only,tag_channel_seconds,suppression_attackers_required
2200020,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,29,35,1,1,3,2,5,1,1,1,0.6844919786096256,0.44385026737967914,0.8877005347593583,1.1016042780748663,0.9732620320855615,10,10,9,12,13,29,58,187,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200020,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,30,35,1,1,3,1,4,2,2,1,0.989247311827957,0.24193548387096775,0.4838709677419355,1.4946236559139785,1.2365591397849462,4,0,6,12,13,30,50,93,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200021,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,30,66,1,1,3,2,5,1,1,0,0.7047619047619048,0.45714285714285713,0.9142857142857143,1.0666666666666667,0.8571428571428571,4,4,3,11,12,30,50,105,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200021,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,28,40,1,1,3,1,4,2,1,1,0.9946524064171123,0.25133689839572193,0.5026737967914439,1.4866310160427807,1.3636363636363635,8,4,13,11,12,28,52,187,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200022,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,42,34,1,1,3,2,5,1,1,1,0.6666666666666666,0.5,1.0,0.9863945578231292,0.8231292517006803,6,6,8,15,16,23,63,147,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200022,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,32,38,1,1,3,1,4,2,1,1,0.993103448275862,0.2482758620689655,0.496551724137931,1.4896551724137932,1.3172413793103448,5,2,14,16,16,32,48,145,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200023,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,28,78,1,1,3,1,4,2,2,0,0.6551724137931034,0.4482758620689655,0.896551724137931,1.0804597701149425,0.8045977011494253,3,1,6,12,12,28,49,87,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200023,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,44,41,1,1,3,1,4,2,1,1,0.9905660377358491,0.22169811320754718,0.44339622641509435,1.5377358490566038,1.320754716981132,3,1,21,27,28,44,49,106,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200024,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,32,60,1,1,3,1,4,2,1,1,0.8260869565217391,0.3858695652173913,0.7717391304347826,1.2065217391304348,0.9565217391304348,5,2,5,15,15,32,49,92,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200024,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,42,37,1,1,3,1,4,2,1,1,0.9906542056074766,0.21962616822429906,0.4392523364485981,1.5420560747663552,1.3177570093457944,3,1,18,25,26,42,51,107,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
