episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
14,22468-1783299155277854900,22468,1051028,18,101,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP11,10,0,2,3,-1,148,0.6399999856948853,0,1,7,17,11,7,10,5,3,2,2,1,5,2,0,0,1,3,6,2,36.0,7.0265824601456925,-1.149999976158142,-0.46796339750289917,0.005946740508079529,0.019999999552965164,-1.0,-100.0,0.0,-0.5735982656478882
15,22468-1783299155277854900,22468,1051312,18,172,1,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP11,10,1,3,2,1,197,0.5199999809265137,1,0,6,62,0,22,3,16,0,7,0,3,0,8,0,5,2,3,0,4,46.0,6.563803116077094,1.149999976158142,0.5389814972877502,-0.001359105110168457,0.029999999329447746,1.0,100.0,0.0,0.5876281261444092
16,22468-1783299155277854900,22468,1051468,18,211,1,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP12,11,0,2,3,-1,110,0.7199999690055847,1,0,3,41,3,11,6,6,2,3,0,2,1,4,3,0,0,3,1,3,32.0,5.660791015625,-1.149999976158142,-0.47974205017089844,0.006055966019630432,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.6080408096313477
17,22468-1783299155277854900,22468,1051876,19,57,2,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP9,8,1,2,1,1,240,0.8799999952316284,0,2,3,148,6,18,5,9,3,5,1,2,1,4,0,0,1,1,2,7,170.0,5.978224690755209,1.149999976158142,-0.03720920905470848,0.015262320637702942,0.029999999329447746,0.0,0.0,0.0,0.27385494112968445
18,22468-1783299155277854900,22468,1051928,19,70,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP9,8,0,0,0,0,240,0.6800000071525574,0,3,3,133,8,17,12,0,4,9,0,0,0,0,6,0,0,0,5,0,,6.002439880371094,-0.5,0.019801540300250053,0.009920790791511536,0.0,0.0,0.0,0.0,-0.11886496841907501
19,22468-1783299155277854900,22468,1052272,19,156,2,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP9,8,0,0,0,0,240,0.7599999904632568,0,1,6,110,9,20,0,8,6,9,0,0,0,0,0,3,0,0,0,3,,6.843457539876302,-0.5,0.0,0.0037519633769989014,0.0,0.0,0.0,-0.20000000298023224,-0.17300769686698914
20,22468-1783299155277854900,22468,1052384,19,184,2,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP8,7,0,2,3,-1,229,0.8799999952316284,0,1,8,37,8,10,10,7,2,2,1,2,3,6,2,1,2,2,4,2,67.0,7.855868010541758,-1.149999976158142,-0.46735498309135437,-0.007565826177597046,0.019999999552965164,-1.0,-100.0,0.0,-0.574062705039978
21,22468-1783299155277854900,22468,1052816,20,36,1,OP3,OPPONENT_POOL,train,map_b_split_lane,0,0,SCRIPTED:OP8,7,1,3,2,1,222,0.7599999904632568,0,1,6,43,8,8,10,13,5,1,0,3,1,4,2,2,4,0,2,7,70.0,8.044740419130068,1.149999976158142,0.4990290403366089,0.008966341614723206,0.029999999329447746,1.0,100.0,0.0,0.5814778804779053
22,22468-1783299155277854900,22468,1052836,20,41,3,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP9,8,0,0,0,0,240,0.7199999690055847,0,2,9,119,9,19,6,0,6,9,0,0,0,0,3,0,0,0,3,0,,6.540103149414063,-0.5,0.01831628754734993,-0.004191145300865173,0.019999999552965164,0.0,0.0,0.0,-0.11886823177337646
23,22468-1783299155277854900,22468,1052856,20,46,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP12,11,1,3,2,1,118,0.6800000071525574,1,0,2,25,1,11,5,7,1,3,0,3,0,3,0,1,1,1,4,3,40.0,6.886172537076271,1.149999976158142,0.7306249737739563,-0.0052420347929000854,0.0,1.0,100.0,-0.20000000298023224,0.5848671793937683
24,22468-1783299155277854900,22468,1053120,20,112,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP8,7,1,3,2,1,212,0.8799999952316284,0,1,11,39,5,7,10,9,1,1,0,3,4,3,1,1,3,1,5,7,76.0,7.517047234301297,1.149999976158142,0.5543749928474426,-0.009572796523571014,0.0,1.0,100.0,0.0,0.5885831713676453
25,22468-1783299155277854900,22468,1053528,20,214,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,0,SCRIPTED:OP11,10,1,3,1,2,173,0.5999999642372131,0,1,4,46,6,12,3,12,3,4,0,3,1,3,0,0,1,2,2,8,49.0,7.399077487129697,1.2999999523162842,0.5892894864082336,-0.04423967003822327,0.029999999329447746,1.0,100.0,0.0,0.6177957057952881
26,22468-1783299155277854900,22468,1053592,20,230,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP11,10,1,3,2,1,184,0.7999999523162842,1,0,12,49,6,6,3,10,4,2,1,2,1,1,0,2,0,2,2,4,61.0,7.243412183678669,1.149999976158142,0.5355691909790039,0.0018357634544372559,0.04999999701976776,1.0,100.0,-0.20000000298023224,0.554344892501831
