blue_style,red_style,map,episode_index,episode_seed,success,blue_score,red_score,win_margin,steps,return,outcome,time_to_first_score,collision_free,zone_coverage
BLUE_RUSH,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,0,551001,1,1,0,1,240,-11.302743557549547,win,42.0,0,0.7599999904632568
BLUE_TURTLE,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,0,551001,0,1,1,0,240,-7.2818767098360695,draw,231.0,1,0.8399999737739563
BLUE_SPLIT,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,0,551001,1,3,0,3,119,-3.751505654421635,win,41.0,1,0.8799999952316284
BLUE_ESCORT,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,0,551001,1,2,0,2,240,-3.9776262515515555,win,107.0,0,0.6399999856948853
BLUE_RUSH,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,1,551002,0,2,3,-1,186,-5.592751468328061,loss,36.0,1,0.7599999904632568
BLUE_TURTLE,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,1,551002,0,0,0,0,240,-11.61099016375374,draw,,0,0.6399999856948853
BLUE_SPLIT,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,1,551002,1,3,0,3,98,-1.1495766156876925,win,44.0,1,0.8399999737739563
BLUE_ESCORT,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,1,551002,1,1,0,1,240,-7.674647073843516,win,80.0,1,0.7199999690055847
BLUE_RUSH,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,2,551003,0,1,1,0,240,-5.446357985783834,draw,183.0,0,0.6399999856948853
BLUE_TURTLE,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,2,551003,1,1,0,1,240,-6.800874114735052,win,179.0,0,0.5999999642372131
BLUE_SPLIT,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,2,551003,1,3,0,3,96,-0.9843227355740964,win,41.0,1,0.7599999904632568
BLUE_ESCORT,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,2,551003,1,2,1,1,240,-6.790328701521503,win,84.0,0,0.6800000071525574
BLUE_RUSH,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,3,551004,1,2,1,1,240,-5.075237678713165,win,107.0,1,0.6800000071525574
BLUE_TURTLE,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,3,551004,1,1,0,1,240,-7.642484806885477,win,206.0,0,0.5999999642372131
BLUE_SPLIT,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,3,551004,1,3,1,2,110,-2.0656781358993612,win,41.0,1,0.7999999523162842
BLUE_ESCORT,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,3,551004,0,0,1,-1,240,-7.46581709527527,loss,135.0,1,0.47999998927116394
BLUE_RUSH,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,4,551005,1,1,0,1,240,-5.183796120487386,win,237.0,1,0.6399999856948853
BLUE_TURTLE,OP11_ADAPTIVE_EXPLOITER,map_b_split_lane,4,551005,0,0,0,0,240,-10.182515378663084,draw,,0,0.5999999642372131
