condition,condition_display,opponent,map,cell_seed,episode_index,episode_seed,return,success,steps,blue_score,red_score,score_margin,strategy_switches,strategy_resamples,strategy_unique_count,strategy_entropy_mean,strategy_dominant,checkpoint
learned_qphi_switching,learned_router,OP10,map_b,13000,8,2038744223,-0.7060939721413888,1,94,3,0,3,0,3,1,1.3768622380621889,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP10,map_b,13000,9,3951542792,-4.625297886610497,1,150,3,2,1,0,5,1,1.376493998368581,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,13100,0,2777372960,-5.3378409382130485,1,143,3,1,2,0,5,1,1.3769627559435118,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,13100,1,3407611472,-6.898606857226696,1,195,3,0,3,0,7,1,1.3766618337386693,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,13100,2,15168419,-0.7590799788886216,1,112,3,0,3,0,4,1,1.3770502018077033,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,13100,3,926867686,-12.728850385581609,1,262,3,0,3,0,9,1,1.3767019951616535,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,13100,4,2767448926,-3.530605717882281,1,123,3,1,2,0,4,1,1.3768261535380915,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,13100,5,4145272665,-1.5720209188002627,1,97,3,2,1,0,4,1,1.3760554704469503,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,13100,6,767378748,-5.8003867251682095,1,160,3,1,2,0,5,1,1.3769103042781352,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,13100,7,3685093027,-3.4918637855444103,1,124,3,0,3,0,4,1,1.3771671902748845,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,13100,8,726531779,-5.048200952558545,1,135,3,1,2,0,5,1,1.376317857812952,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,13100,9,2562741175,-5.687829187721945,1,141,3,1,2,0,5,1,1.3764703273773193,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b,12000,0,1567454902,-3.0267194341577124,1,114,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b,12000,1,828165341,-1.755606940801954,1,109,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b,12000,2,2288446678,-3.8511972743144725,1,161,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b,12000,3,1246762053,-2.133858081535436,1,106,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b,12000,4,4204714612,-0.7757786275760736,1,86,3,0,3,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b,12000,5,3390190298,-1.0793010118068196,1,93,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b,12000,6,3786980591,-3.459876168461051,1,141,3,2,1,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b,12000,7,206865822,-3.278732775186654,1,127,3,2,1,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b,12000,8,3902646178,-3.7424699422554113,1,150,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b,12000,9,2768330915,-1.0343335634679534,1,91,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,12100,0,812546814,-0.1475043382961303,1,87,3,0,3,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,12100,1,1217414495,-0.5188729758083355,1,91,3,0,3,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,12100,2,2711509458,-3.4902495805290528,1,115,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,12100,3,932595850,-7.748300294333603,1,208,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,12100,4,3185858285,-0.4338936523417942,1,86,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,12100,5,3646931710,-6.738438879488967,1,181,3,0,3,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,12100,6,3540334443,-0.5530607474502176,1,75,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,12100,7,4255550319,-7.384050126449438,1,216,3,0,3,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,12100,8,3918272334,-4.514038291556062,1,142,3,0,3,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,12100,9,689111831,-9.709990437957458,1,241,3,0,3,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b,13000,0,284427023,-2.4231218062050175,1,107,3,2,1,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b,13000,1,2715975335,-8.415452034590999,1,196,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b,13000,2,1039790048,-0.5315465112798847,1,79,3,0,3,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b,13000,3,1121016425,-8.517953980597667,1,194,3,2,1,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b,13000,4,3746914714,-4.89703674451448,1,152,3,0,3,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b,13000,5,603743737,-0.36873530849698,1,94,3,0,3,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b,13000,6,3842096435,-7.48553628573427,1,176,3,2,1,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b,13000,7,1635050873,-2.0205818971735425,1,131,3,2,1,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b,13000,8,2038744223,-3.0804837198229507,1,141,3,0,3,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b,13000,9,3951542792,-13.016849514649948,1,285,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,13100,0,2777372960,-1.148802546755178,1,92,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,13100,1,3407611472,-1.9146414002170786,1,99,3,2,1,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,13100,2,15168419,-7.260734103649156,1,215,3,0,3,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,13100,3,926867686,-2.803572589356918,1,135,3,0,3,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,13100,4,2767448926,-12.268782307364745,1,267,3,0,3,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,13100,5,4145272665,-1.699165072030155,1,115,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,13100,6,767378748,-5.19606941199163,1,175,3,0,3,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,13100,7,3685093027,0.016898339352337644,1,70,3,0,3,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,13100,8,726531779,-4.434429582150187,1,146,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,13100,9,2562741175,-3.781826461519813,1,123,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
