checkpoint,opponent,latent_z,map,episode_index,cell_seed,episode_seed,success,blue_score,red_score,steps,return,zone_coverage,collision_free,win_margin,time_to_first_score,mean_inter_robot_dist,episode_start_phase,fixed_latent_id,outcome,collisions_per_episode,collision_events_per_episode,obstacle_collision_events_per_episode,blue_stuck_steps,red_stuck_steps,blue_blocked_movement_events,blue_obstacle_collision_events,blue_route_switches,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,blue_upper_lane_steps,blue_lower_lane_steps,blue_neutral_lane_steps,blue_movement_attempts,blue_successful_movement_steps,blue_repeated_blocked_movement_events,near_misses_per_episode,decision_steps,reward_total,reward_sparse_points,reward_offense,behavior_team_spread,behavior_num_attackers,behavior_num_defenders,behavior_num_go_to,behavior_carrier_escort_count,behavior_nearest_blue_to_carrier,behavior_nearest_blue_to_enemy_carrier,behavior_n_intercept_near_enemy_carrier,behavior_avg_blue_to_enemy_flag,behavior_avg_blue_to_own_flag,behavior_intercept_pressure,behavior_defense_pressure,behavior_attack_defense_ratio,coord_pairwise_head0_pearson_mean,coord_head0_team_agreement_rate,coord_full_action_team_agreement_rate,coord_trajectory_steps,strategy_switches,strategy_switch_rate,strategy_resamples,strategy_resample_rate,strategy_unique_count,strategy_entropy_mean,strategy_dominant,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,strategy_phase_blue_attack_occupancy_0,strategy_phase_blue_attack_occupancy_1,strategy_phase_blue_attack_occupancy_2,strategy_phase_blue_attack_occupancy_3,strategy_phase_blue_defense_occupancy_0,strategy_phase_blue_defense_occupancy_1,strategy_phase_blue_defense_occupancy_2,strategy_phase_blue_defense_occupancy_3,strategy_phase_neutral_occupancy_0,strategy_phase_neutral_occupancy_1,strategy_phase_neutral_occupancy_2,strategy_phase_neutral_occupancy_3,strategy_phase_both_flags_occupancy_0,strategy_phase_both_flags_occupancy_1,strategy_phase_both_flags_occupancy_2,strategy_phase_both_flags_occupancy_3
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP9_SPLIT_LANE_FEINT,0,map_b_split_lane,0,6001,6001,0,2,3,142,-3.359162551627378,0.7199999690055847,0,-1,36.0,8.9049287178147,neutral,0,loss,1,1,7,0,0,1,3,6,2,0,0,3,2,0,166,24,94,265,264,0,19,142,-0.5751875638961792,-100.0,-0.4705987870693207,0.1224678992949636,0.4154929577464789,0.08450704225352113,1.5,0.028169014084507043,1.1059547268169028,0.9368821821687087,0.176056338028169,0.26637871143683584,0.3783649371963152,0.8248975784845756,0.8770136719858143,0.5827464788732394,0.07107638952470256,0.6690140845070423,0.5845070422535211,142.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP9_SPLIT_LANE_FEINT,0,map_b_split_lane,1,6001,6002,1,3,2,113,-2.4052672584657557,0.6800000071525574,1,1,34.0,8.449507181623341,neutral,0,win,0,0,0,0,0,1,0,5,4,0,0,3,0,0,73,17,136,217,216,0,14,113,0.6127219200134277,100.0,0.6994888186454773,0.13955799311366493,0.6371681415929203,0.336283185840708,0.9646017699115044,0.12389380530973451,0.9437956321753759,0.86356376541729,0.3274336283185841,0.24918217991635336,0.3339711727689853,0.8669323673290489,0.8640197731752312,0.581858407079646,0.008466042195181909,0.3893805309734513,0.23008849557522124,113.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP9_SPLIT_LANE_FEINT,0,map_b_split_lane,2,6001,6003,1,3,2,113,-1.6845572336605983,0.5999999642372131,1,1,33.0,6.95280740113385,neutral,0,win,0,0,3,0,0,2,0,3,2,0,1,2,2,0,118,10,98,195,193,0,23,113,0.618059515953064,100.0,0.7400000095367432,0.12917791247631596,0.6283185840707964,0.19469026548672566,1.176991150442478,0.1504424778761062,0.9349249497517548,0.8243771622666215,0.7079646017699115,0.24253137444302572,0.28431593554209816,0.8572249417811368,0.8696219958035292,0.6084070796460177,0.06412154637197776,0.584070796460177,0.5663716814159292,113.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP9_SPLIT_LANE_FEINT,0,map_b_split_lane,3,6001,6004,1,3,2,122,-2.8640457283181604,0.7999999523162842,1,1,34.0,7.806461521836578,neutral,0,win,0,0,2,0,0,1,0,7,2,1,0,3,3,0,66,38,140,242,241,0,18,122,0.6155441999435425,100.0,0.7231249809265137,0.13192633771505513,0.7540983606557377,0.06557377049180328,1.180327868852459,0.08196721311475409,0.9513851107082895,1.0673234612360352,0.27049180327868855,0.2494391005364109,0.29307475441791975,0.8579474179471125,0.8344715955804606,0.6721311475409836,-0.14833336484098023,0.47540983606557374,0.4344262295081967,122.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP9_SPLIT_LANE_FEINT,1,map_b_split_lane,0,6001,6001,1,3,1,103,-2.450277204567101,0.5600000023841858,1,2,32.0,6.938366343674151,neutral,1,win,0,0,4,0,0,0,0,1,1,1,0,3,0,6,8,64,134,206,206,0,27,103,0.607717752456665,100.0,0.7214931845664978,0.06437905225902796,1.4757281553398058,0.5242718446601942,0.0,0.5145631067961165,0.7690996122410865,0.8974122329823022,0.3883495145631068,0.1861694071948239,0.2717195231178143,0.8581252971899163,0.8592157537497364,0.7378640776699029,-0.34458063325799837,0.47572815533980584,0.47572815533980584,103.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP9_SPLIT_LANE_FEINT,1,map_b_split_lane,1,6001,6002,1,3,2,134,-4.479195040476043,0.5999999642372131,1,1,34.0,5.646522180357976,neutral,1,win,0,0,8,0,0,0,2,2,2,4,0,3,0,4,13,87,168,268,268,0,61,134,0.606872022151947,100.0,0.6648613214492798,0.044882306655340674,1.5,0.44776119402985076,0.029850746268656716,0.44776119402985076,0.8626596952107415,0.8704526692267451,0.5597014925373134,0.20658206159193346,0.27044613363304687,0.8334442172477494,0.853106292326059,0.7686567164179104,-0.3447037426296504,0.5298507462686567,0.5298507462686567,134.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP9_SPLIT_LANE_FEINT,1,map_b_split_lane,2,6001,6003,1,3,2,105,-1.6738311245280784,0.5999999642372131,1,1,34.0,6.241534714471726,neutral,1,win,0,0,0,0,0,0,0,2,2,2,1,2,1,2,32,43,135,210,210,0,43,105,0.292022705078125,0.0,0.2549999952316284,0.05096894432568834,1.4666666666666666,0.5333333333333333,0.0,0.5333333333333333,0.7388828761343446,0.9237341105937957,0.4,0.1785454174769776,0.2739353570200148,0.850828176453,0.8657376289367675,0.7333333333333333,-0.34671607736546295,0.4666666666666667,0.4666666666666667,105.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP9_SPLIT_LANE_FEINT,1,map_b_split_lane,3,6001,6004,1,3,2,110,-2.058165201538941,0.4399999976158142,0,1,34.0,5.719037974964489,neutral,1,win,2,2,0,0,0,0,0,0,0,2,0,3,0,5,0,81,139,220,220,0,45,110,0.619016170501709,100.0,0.7456250190734863,0.05326602429320866,1.4545454545454546,0.5454545454545454,0.0,0.4636363636363636,0.7467985682189464,0.9015208671038801,0.8090909090909091,0.1860976278189231,0.22003597789867357,0.862487626617605,0.8497669171203267,0.7272727272727273,-0.3684612200047533,0.45454545454545453,0.45454545454545453,110.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP9_SPLIT_LANE_FEINT,2,map_b_split_lane,0,6001,6001,1,3,1,103,-2.450277204567101,0.5600000023841858,1,2,32.0,6.938366343674151,neutral,2,win,0,0,4,0,0,0,0,1,1,1,0,3,0,6,8,64,134,206,206,0,27,103,0.607717752456665,100.0,0.7214931845664978,0.06437905225902796,1.4757281553398058,0.5242718446601942,0.0,0.5145631067961165,0.7690996122410865,0.8974122329823022,0.3883495145631068,0.1861694071948239,0.2717195231178143,0.8581252971899163,0.8592157537497364,0.7378640776699029,-0.34458063325799837,0.47572815533980584,0.47572815533980584,103.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP9_SPLIT_LANE_FEINT,2,map_b_split_lane,1,6001,6002,1,3,2,134,-4.479232354264241,0.5999999642372131,1,1,34.0,5.647430419921875,neutral,2,win,0,0,8,0,0,0,2,2,2,4,0,3,0,4,13,87,168,268,268,0,64,134,0.6069843769073486,100.0,0.664867103099823,0.04463179230884607,1.5298507462686568,0.3880597014925373,0.05970149253731343,0.44776119402985076,0.862158666628955,0.8712347471085724,0.5597014925373134,0.20633154730104022,0.27084260215676986,0.8334442172477494,0.853106292326059,0.7910447761194029,-0.07654305201405691,0.5298507462686567,0.5298507462686567,134.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
