timestamp,telemetry_mode,env_count,rollout_index,rollout_duration_seconds,rollout_transitions,rollout_transitions_per_second,optimization_duration_seconds,optimization_samples,optimization_samples_per_second,peak_allocated_cuda_bytes,peak_reserved_cuda_bytes
1782622745.6765387,off,16,0,13.86449089999951,1024,73.85774258757934,0.341958799999702,1024,2994.512789262602,1648890368,2822766592
1782622760.547344,off,16,1,14.532189000001381,1024,70.46426384902527,0.33694890000333544,1024,3039.0364829499767,1648890368,2822766592
1782622774.529878,off,16,2,13.646701499998017,1024,75.03644745216629,0.334725000000617,1024,3059.227724245612,1648890368,2822766592
1782622789.0759127,off,16,3,14.198216400000092,1024,72.12173495256724,0.346037699997396,1024,2959.215137563641,1648890368,2822766592
1782622803.885109,off,16,4,14.467661700000463,1024,70.77854191185347,0.3401387000012619,1024,3010.53658403528,1648890368,2822766592
1782622819.0815263,off,16,5,14.858520400000998,1024,68.91668702086456,0.33651839999947697,1024,3042.924250209176,1648890368,2822766592
1782622833.3177285,off,16,6,13.898716600000625,1024,73.67586730993234,0.3368913000012981,1024,3039.5560823210762,1648890368,2822766592
1782622847.5819383,off,16,7,13.922322900001745,1024,73.55094457691911,0.34055670000088867,1024,3006.8414451905596,1648890368,2822766592
1782622861.9369235,off,16,8,14.02695390000008,1024,73.00230736482239,0.3267366000000038,1024,3134.0229408030445,1648890368,2822766592
1782622876.008255,off,16,9,13.726813900000707,1024,74.59851990853808,0.34319959999993443,1024,2983.686461173602,1648890368,2822766592
1782622935.6552687,off,64,0,18.998980299998948,4096,215.59051777111569,0.9317395000034594,4096,4396.078517638022,6273231872,7889485824
1782622957.0246806,off,64,1,20.44337860000087,4096,200.358271504096,0.9248900000020512,4096,4428.6347565558235,6273232896,7889485824
1782622977.970385,off,64,2,20.003109199999017,4096,204.76816674080854,0.9408828000014182,4096,4353.358356634669,6273232896,7889485824
1782622999.8669262,off,64,3,20.96302079999805,4096,195.3916870606922,0.9320764000003692,4096,4394.489550425671,6273232896,7889485824
1782623021.1804652,off,64,4,20.37025580000045,4096,201.07749456930773,0.9396240000023681,4096,4359.190484693534,6273232896,7889485824
1782623042.6643577,off,64,5,20.54742990000159,4096,199.3436658469721,0.9335329999994428,4096,4387.632788559638,6273231872,7889485824
1782623063.7201076,off,64,6,20.124031500003184,4096,203.5377454064983,0.9279575999971712,4096,4413.994777361041,6274149376,7889485824
1782623084.9815164,off,64,7,20.319459899998037,4096,201.5801610947541,0.9389856999987387,4096,4362.153758044986,6273232896,7889485824
1782623106.3558404,off,64,8,20.431180100000347,4096,200.4778960369465,0.9391823000005388,4096,4361.2406238891535,6273232896,7889485824
1782623128.3013773,off,64,9,21.004972499998985,4096,195.00144549107114,0.9363639000002877,4096,4374.3677004194005,6273232896,7889485824
