policy,map,requested_opponent,resolved_opponent,opponent,episodes,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,stuck_steps,repeated_blocked_movement,upper_lane_use,lower_lane_use,route_switches,episode_steps,route_crossings,upper_lane_fraction
baseline,map_b_split_lane,OP8,OP8,OP8,2,2.5,2.0,0.5,0.5,0.0,0.5,,3.0,1.5,4.0,9.5,4.0,128.5,13.5,0.2962962962962963
candidate,map_b_split_lane,OP8,OP8,OP8,2,3.0,2.0,1.0,0.0,0.0,1.0,,0.5,0.5,7.0,4.0,4.5,107.5,11.0,0.6363636363636364
